Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4792075014272585,1.185133569133036,0.02733067937675546,0.869770054076177,1.7358505036244891,1.3479623575413888,0.03184630670654792,0.8295979746700247
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.489390289249461,1.22062624170796,0.028199201025184164,0.8717205179729742,1.6318787659963994,1.3695596152908263,0.03192064219843584,0.8307280067524276
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5426826294510032,1.2723483442583414,0.029493430571461896,0.8603136150578256,1.4545477044941315,1.194894898711595,0.027594969662091552,0.873898782343247
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.465707803484243,1.1859936370692459,0.027467205385342353,0.8736504736879688,1.4231264781118118,1.162462682814902,0.0266942120615802,0.878993399647413
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.49255938368248,1.226339741839271,0.028407371972581086,0.867384054072357,1.6503891566524898,1.379740783317747,0.0319105089121809,0.8464864263883154
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4491209880347622,1.1909625068453584,0.027408838052662813,0.8739143871590208,1.583182578864439,1.2668913785317515,0.029744345784037535,0.8614722853754113
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4646544501803953,1.1963151030799943,0.027607666212757256,0.8733745113717304,1.4200865948638564,1.1681150035155472,0.026946270783786655,0.882639132267635
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4833107120840006,1.2214402087771508,0.02830943403879466,0.8686076623516986,1.6694122326171879,1.3935345384092044,0.03224182451285085,0.8447930651617742
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4635401844669695,1.1813848956419077,0.027353498899621288,0.8772192499177103,1.463871686444522,1.1522329275520282,0.026236436404457757,0.8573574567558924
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4707128451480327,1.20236411583296,0.027744279016862047,0.8738067330191137,1.4155766738622084,1.132131061624671,0.026075642281564775,0.8773318568473869
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4497303577699416,1.1709095283339799,0.027000968419350208,0.8742506320311845,1.7064997425875037,1.2897519277784002,0.03006991425385308,0.8375801039249747
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4784091154677952,1.2034911907089663,0.027869955324926077,0.8738731409873708,1.3609383215175317,1.1287746511285486,0.025503978732862538,0.8776307361330944
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4843193454199777,1.2175175898687693,0.02812980936509109,0.8703844635294259,1.6389778732453375,1.3673602640487579,0.03196388073777404,0.8412751762496118
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.44990764153409,1.1730266619600167,0.027084031052507382,0.8737879989978001,1.763078344646508,1.4183267146876049,0.033386716996729855,0.8291971960976501
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4682684444494023,1.2048847671337906,0.02784860262635738,0.8747215603885097,1.425324773694194,1.1053293743934904,0.025479327036487854,0.8734555051688327
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0412483570512756,0.7852442365835246,0.017502139047336832,0.921016275357973,1.0454844338964946,0.7960750775405971,0.018081963078036216,0.9231161609649311
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3518446756686142,1.0717949907235627,0.02422638832401197,0.8769348233009128,2.02340707738497,1.7805317957904099,0.04229663456872879,0.7322486383910555
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7618784778134945,0.6011109856622073,0.013799045150582933,0.9595576370755927,3.037366201277139,1.7034406156456972,0.041381050914655805,0.3653094311553705
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0211337599316748,0.7324549581500933,0.017534600510459904,0.9424414448821499,1.5577205242788015,1.3868917576961264,0.03302265523212246,0.864982367028203
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1413949930341964,0.9202818651111558,0.021984808316045223,0.9301262809575835,2.3035678725566506,1.6881844607065601,0.04082149880942299,0.6286953201164509
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.0485026788336942,0.7881900240402786,0.01762104414873217,0.9205036318246591,1.3660652165159108,1.032682683439421,0.023545824125501404,0.8754281082816056
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.208660301102504,0.9213239666964061,0.02079421246469643,0.8987955676926493,2.018007293346218,1.8517023490930657,0.04291189003485044,0.7028289318904197
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.325724300893701,1.1278011164917945,0.02546907268033801,0.8802136001891614,1.6808424960568409,1.062569007263925,0.025853468173966925,0.8335836439918037
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4056246814416395,1.1454876524831699,0.02630777140045518,0.8712638374630313,1.7827516204253502,1.4631766985001957,0.03535329850374192,0.8209329014734316
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4621203971912797,1.190997716071644,0.02752221422913215,0.8670289757316721,2.4094244140600396,2.1089177040566778,0.051796915082634135,0.6835917996965564
Local Model,209,J,Chemical + Feature Engineering,"(708, 11)",,Decision Tree,,,,,,Out of time Split,"{""Test Size"": 0.2}",1.3205617101847353,1.0908295602883078,0.024951454319297562,0.8915563712771958,2.3832213128585717,2.0991080518058975,0.05133328443748092,0.6829834710084766
