Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(708, 13)",1,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.6547089112189517,0.4305401305892004,2.7681969520023886,0.29590095248574705,0.06413684361528643,0.0073424848001233,0.13709435940552042,0.216666802115184,5.806620499282782,1.2253390049551711,4.4728576633848,1.0386005894798125,0.10600468342853155,0.025391283707533987,-1.2526413211015763,0.7843220755037515
Local Model,209,"(708, 13)",1,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.239735329582554,0.05743461780442762,0.9918830889554693,0.051486298754297916,0.022359061135269587,0.0011898755742616178,0.904219804100319,0.00899844161498216,2.3222480275648008,0.345074243587461,1.5563629257846872,0.06450184456697475,0.03795127196117393,0.0017656050574816286,0.6923510449252316,0.09332128031457715
Local Model,209,"(708, 13)",1,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3029025537742929,0.0561629209104834,1.0413165929393184,0.049407651716987765,0.02380535379407655,0.0010783674816769709,0.8997997045837353,0.009395136047668144,2.389838828395945,1.0501259955472262,1.2793066619714528,0.17163998877057252,0.029258957328338425,0.0038879367279472925,0.593321309283221,0.3263318925077002
Local Model,209,"(708, 13)",1,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9955522058756563,0.9547569219684217,1.5681717702359133,0.7287501560478835,0.035006585235563915,0.016128776992240156,0.6562519229877191,0.3474742144432588,5.83170444432679,2.4570663069337613,2.9329322692095223,1.4097045772479233,0.06687463069428397,0.02967334604744345,-1.4449681143154034,1.8081444448075812
Local Model,209,"(708, 13)",7,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2070721796286636,0.3641099009479212,0.9720501998901365,0.3151913440444449,0.021772892032695605,0.00617800628663921,0.895197067833158,0.08072740513917322,5.042414695763012,1.8441684708148416,4.453852072323069,1.8244223604056917,0.1029257615934816,0.04341514406464769,-1.0804698273137128,1.3630842058681776
Local Model,209,"(708, 13)",7,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.2556821826030826,0.29498415561548386,1.0482167497582096,0.2941578745633958,0.024008701735452748,0.006968586771296166,0.8970569800228133,0.047093271352264876,2.9954791475701246,0.48945238475194025,2.2483542985182527,0.48724704253893936,0.05450945617687173,0.011777836295579042,0.49883423725376397,0.15036938105406608
Local Model,209,"(708, 13)",7,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5268179253166674,0.3938439979613473,1.2872346950082745,0.37533652426349406,0.02943443824519489,0.008620052307866864,0.8543486800545685,0.07108316178669251,3.2415708891511708,1.3855890062845222,1.9978006938372463,0.46192338862936416,0.045860022626171795,0.010192970533758599,0.2778311662731658,0.6088843455925436
Local Model,209,"(708, 13)",7,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0601870677401763,0.10734388158943399,0.8670796438946204,0.0936919587582912,0.019223075432391778,0.001926162729959512,0.9239491482603658,0.016234885944900388,4.477807077347374,1.8788447915908615,3.284513600187481,1.7188250664843383,0.07577100564378186,0.03718115813583271,-0.5351477008168339,1.1888306465885223
Local Model,209,"(708, 13)",14,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2593854562329398,0.10893613163715407,1.0321833552870632,0.12114281015974933,0.02405220014239643,0.002954376831955525,0.9028732028733919,0.02006811836071053,5.30296116317054,0.8097379946224635,4.867042872110999,0.9499855030440906,0.11790988837365225,0.02410435945437883,-1.424271214555092,0.7324652013899273
Local Model,209,"(708, 13)",14,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.87369344353873,0.0898416897149566,0.6999817346643519,0.07867376640864347,0.015721165893778283,0.0015715822912806272,0.9527889603209028,0.00993165285327707,4.564444825308975,1.827157923297734,2.8606811348049095,0.6705922332841806,0.07084821767151227,0.01700022862607828,-0.3205572349148383,1.0014682360303448
Local Model,209,"(708, 13)",14,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0247795882399395,0.1403816102463868,0.8201878953893976,0.12060313624233632,0.018482517378410782,0.002635608573379782,0.9374925800666873,0.01797696135918955,2.774142097677378,1.218873743955842,1.7540430845711477,0.5300237235018634,0.040225945605817506,0.011425099414635091,0.46712871985271737,0.45644497657803007
Local Model,209,"(708, 13)",14,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0623721872161878,0.21430006412538655,0.8658391391378981,0.19242379709105809,0.019533866492247774,0.004445577888916426,0.9233056176479197,0.03261380693296859,6.964700418291703,3.9774840534790115,4.07297054124915,1.5483003663915202,0.09357020777142684,0.03205148475783938,-2.7458573235857062,3.4720738865442167
