Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(708, 13)",1,Chemical + CS1 + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.607367393599928,0.520112802101706,3.402025784083775,0.34406371283446824,0.07878354348347788,0.007927249240294922,-0.3875294526938807,0.3748042322630066,6.612099007616209,1.238899271640227,4.898936036208582,0.6934359289868863,0.11626010246296871,0.016946506541658544,-1.909591316330851,0.8638089292704597
Local Model,209,"(708, 13)",1,Chemical + CS1 + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.607404260968748,0.7117191110658141,1.2352307165750205,0.5224067990483953,0.027995383728652946,0.011712099553881762,0.8078297146116008,0.1645301572791109,2.4225573908894593,1.3007829864378242,1.8903587198033598,1.0688965036430869,0.044551979815826835,0.024556342906473308,0.5779906268907403,0.40953622903849246
Local Model,209,"(708, 13)",1,Chemical + CS1 + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2215800042766096,0.07617298395782422,0.9638586450781319,0.06868722675471356,0.02197513654490308,0.001481040023479258,0.9117489783704159,0.0113412689549052,1.8955538527741151,0.8709646446484518,1.1121920666618272,0.15678341981956953,0.025281631177221174,0.0033762757289896752,0.7457841685775592,0.2501818753533318
Local Model,209,"(708, 13)",1,Chemical + CS1 + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.8701525678808806,1.3859114790171934,2.2082799379812124,1.024797777847898,0.04969506038543792,0.02305378839395451,0.28780046416134536,0.6026172207566067,5.637782852496277,2.72949221866849,3.1976304704051914,1.7352174333843706,0.07245611308615431,0.037925685085121424,-1.4564569356982473,2.0235958989639573
Local Model,209,"(708, 13)",7,Chemical + CS1 + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8106526843528115,0.788529594951463,1.5402383377075197,0.7787611240374885,0.03533579952963319,0.018094740495740492,0.757987148244743,0.1926564645984849,5.120009770426211,1.45880827801908,4.333009356330421,1.4086106835779317,0.10148029469287533,0.03008610927450723,-1.055326181869625,1.1477920532031152
Local Model,209,"(708, 13)",7,Chemical + CS1 + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.559059946356018,0.2517891431469772,1.2883795700348672,0.18352263626792487,0.030055452671967117,0.004743769554017731,0.8456822659575635,0.05066223087768198,3.645875662045322,0.48054352023989977,2.691191400381237,0.28676712623878864,0.06631365793806442,0.007276763582927313,0.26431903425292375,0.18273452110073984
Local Model,209,"(708, 13)",7,Chemical + CS1 + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2051078621763045,0.29957660126149266,0.9874276683849269,0.28126074070750834,0.022537099499309477,0.006035580803946635,0.9099297710282724,0.049565102956209535,1.854346793735808,0.557333282576892,1.298566268669164,0.29171877702790766,0.02979759016002141,0.006175873987158088,0.7793032598322146,0.1373646706432865
Local Model,209,"(708, 13)",7,Chemical + CS1 + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5284233565697494,0.20063708869856825,1.2785230644561245,0.1770748407884436,0.0284513661290873,0.003657594458867144,0.8410789521244715,0.04173458829084171,3.299622992944845,2.1300355565483184,2.6325861531383583,1.9577331858622868,0.05859342857435765,0.04116430915335773,-0.014823454366409194,1.3422178413659573
Local Model,209,"(708, 13)",14,Chemical + CS1 + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.718984139544331,0.2299116325755315,1.4166530272018083,0.17553457624939564,0.031702431730664206,0.0038607923542804657,0.8185082939647583,0.05121372563780456,3.3150372168725353,1.3904272417108876,3.1356075032552115,1.3711844203486483,0.07422686241602286,0.03071806419676256,-0.2577872750352196,1.3191609628610295
Local Model,209,"(708, 13)",14,Chemical + CS1 + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.2814424654355931,0.02327161801167172,1.0735849728996372,0.02611301232488493,0.02396578370501796,0.0008583406041516169,0.8994692923274057,0.00364118449111876,2.7748037569608948,0.8304081107662965,1.9598821530396922,0.42812147505240766,0.04765717282157881,0.01020356625649057,0.5417011059783757,0.27057362138943586
Local Model,209,"(708, 13)",14,Chemical + CS1 + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0177454197061935,0.09860438139540727,0.8122673635846013,0.08906939939932128,0.01857445497359186,0.0019010370140989635,0.9390333415494169,0.011372558842701693,1.7249986733874776,1.0762959633241322,1.1481956400072975,0.4230702760881938,0.02648182579761782,0.009104319786431852,0.752256657565159,0.43392912514940246
Local Model,209,"(708, 13)",14,Chemical + CS1 + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3448647163535663,0.3610950878339233,1.104775809579703,0.30477622150003153,0.02462358903133529,0.006830261892186532,0.872531606158444,0.06775333092896542,4.683360788319629,3.105278187052796,3.0581940725575323,1.9288486649951218,0.07062556919636309,0.04294375050171794,-0.9423907525668276,2.0507171695050985
