Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9218673722866508,0.7426360539434924,0.017305397544289884,0.9787939266342176,0.9206735146713289,0.7413490671747973,0.017277226104121895,0.9781389018016053
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9346227580676102,0.7647521028960587,0.01798760542881336,0.9779496787259828,0.9356343268069615,0.7590501839448179,0.017856062239066686,0.9784479658627421
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9213384184661072,0.7498081686250836,0.01775277593376394,0.9785893249422452,0.9354669008802514,0.7601792259957582,0.017879145628706756,0.9783325781409085
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9162463672948636,0.7460354729439996,0.01733597273849728,0.9790117918992725,1.0052798646304235,0.8024003192804692,0.018691290413029728,0.9741307313014103
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8883887978704809,0.7056291032799693,0.01630650921169577,0.9801382337741744,0.8681374568786945,0.703213415445235,0.016273131127700867,0.9812172923794086
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9000614903087747,0.7250282415894654,0.016898609774635472,0.9796081556211067,0.8967163062216265,0.7177767036563433,0.016701061991308185,0.9799816974586009
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9006920767182286,0.7225869185899583,0.01667192547044226,0.9796006070076183,0.9544449630105044,0.7622787270310757,0.017558212887466267,0.9772258695076089
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8935989730118833,0.7064344426085245,0.016095658838626545,0.9799660607737969,0.879611395580994,0.6874947335509791,0.015556649135818392,0.9804499727468488
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8290270452957746,0.6444067543041196,0.014770301953971034,0.9827509346804711,0.8362401864244435,0.6633927668869412,0.015296124864440786,0.9823832719256987
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9744140545587011,0.7963519750689172,0.018396009225313554,0.9761853520376395,0.9801242980210089,0.7971818362294483,0.018481764181935367,0.9756585681821126
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9933156072668599,0.8153851462052005,0.01890884144061891,0.9751677354727725,1.0258187222771529,0.8364114747097324,0.019474697131881095,0.9737871269157576
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8891535836552094,0.7072228008321583,0.016084300586423485,0.9800771221508288,0.9610891316686789,0.7494615323874979,0.017090375668108546,0.9770563023148253
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.027553213623918,0.8348712732973654,0.018970799359231755,0.973780969628389,1.0758313692380113,0.876588344146316,0.019831839496527743,0.9695360429152788
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9114756874031577,0.7344611351800074,0.01718302053713896,0.9792164170954542,0.9111565573997034,0.7407633121416349,0.01731341309557249,0.9788020479145162
Local Model,209,K,Chemical + CS7,"(3345, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8282468874844282,0.6480391620698712,0.014829268011499783,0.9825944489672215,0.8075899488600375,0.6251093250040893,0.014255898289106145,0.9842537702759422
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1732363655211555,0.9585109808506115,0.022058451890672997,0.9654988186432394,1.3093863836530404,1.0681493300800153,0.024525253422089218,0.9552001998369168
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1711006639844908,0.9646635118832597,0.02230114640181,0.9652291013908161,1.3014044768632493,1.041545912868294,0.024047435621129896,0.9576889450224738
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.244616659862363,1.0205287078926464,0.02357371618511134,0.9607654658403045,1.477569959374429,1.175455290328624,0.026845641380686035,0.945115875862941
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1147086421496426,0.9173772607633607,0.02121267549466306,0.9688140330911191,1.3445147130236157,1.080594401987949,0.025221624318886738,0.952835525143602
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1193374079233858,0.912626267917915,0.021008766390667004,0.968337022962288,1.2426770226639534,0.9969931657184923,0.023179574026324732,0.9611003911770445
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2444868588572524,1.026300453600301,0.023711447291846478,0.9608519579491801,1.3747543922838772,1.10595711523248,0.025866058883663483,0.9521337471937321
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1442490949736135,0.934442399601771,0.021575685638431086,0.9669399635872326,1.33539683108922,1.0684198471187625,0.02468625724508265,0.9549942918877645
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2541119998107753,1.0320934453880808,0.023839047652537113,0.9604006138227498,1.336899139325107,1.0988770442045939,0.02540495545870069,0.9544049478009335
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3440724084024878,1.1142785597350982,0.026209498552795838,0.9544674271146326,1.4605809399356133,1.1850383610688442,0.02790039686667165,0.9454649788952056
Local Model,209,K,Chemical + CS7,"(3345, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2463339875154378,1.025278642058912,0.023733415554268788,0.9608952834459492,1.3593369209850563,1.084947610308033,0.025063076577996488,0.9525410499397992
