Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(3345, 12)",1,Chemical + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.8560566940476925,0.0332354326356654,0.6808928644768549,0.032632980263537885,0.015394519445476406,0.0011937209790132358,0.9805895365547977,0.004281868347168682,1.0325663760174135,0.19886741187199267,0.8031306024807606,0.13215824057896564,0.018471774180796433,0.0032705636858104286,0.9639858894314971,0.02279707424446807
Local Model,209,"(3345, 12)",1,Chemical + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",0.8532181897641055,0.04126097627340523,0.6417203225600053,0.027854919519918996,0.014234371773334675,0.000571379217782914,0.9825123097708941,0.0017054025313903139,0.9748501456506083,0.034088993108577416,0.7756335826316888,0.03324663973753938,0.01858187023582036,0.0009037520815499438,0.9655961365929372,0.0024221012318398835
Local Model,209,"(3345, 12)",1,Chemical + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9446662204222728,0.04789840230712212,0.7252239622829801,0.03598253219260025,0.01616575193418184,0.0007053536794002117,0.9775347027334312,0.002217681338799672,0.9628578980932779,0.07187711276093867,0.7374974485054264,0.057473726346700664,0.01645481221758235,0.0012241165925789845,0.9765119553474518,0.0038448051207284474
Local Model,209,"(3345, 12)",1,Chemical + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.8948900352733947,0.035364054210343936,0.7058513748652554,0.030034007813549122,0.015577773522148489,0.000659854475708869,0.980854532745912,0.0015877290785436917,1.0853573222153765,0.13406870021305178,0.8620903905461038,0.11375261475090372,0.019671941064348806,0.0023981104060983825,0.9676461551404922,0.008631270943148093
Local Model,209,"(3345, 12)",7,Chemical + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1621658731831852,0.04976074674502562,0.9559158276222699,0.04253591549897467,0.022091179178130714,0.0009907668395237731,0.9638740686773709,0.007150845711909011,1.512017962640032,0.20347273941974997,1.2463558209596584,0.15953891773212486,0.028916875400418936,0.0036525025223043267,0.9246560570418717,0.03093584309104936
Local Model,209,"(3345, 12)",7,Chemical + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.1520401309555646,0.04549602534897153,0.9447686757796848,0.03698905508053682,0.02161415031876769,0.0008450116281956772,0.9680349205776021,0.0025543805676048205,1.5585111725390728,0.0987173237829921,1.2543445171115961,0.07449536980897503,0.030515930979137632,0.0020034185480040847,0.9113545822879804,0.011007798860561288
Local Model,209,"(3345, 12)",7,Chemical + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1542921376815376,0.03772111480124011,0.9405613471060437,0.03302423912813568,0.021666755230899833,0.0008244065423930158,0.9663593019172462,0.0022107811548097945,1.3501922197321798,0.043804342646477354,1.0791519066468074,0.03515939997791997,0.02492642192379896,0.0007986323161975297,0.9535203572379553,0.0026901567983410412
Local Model,209,"(3345, 12)",7,Chemical + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.188134740913352,0.05039169932448081,0.9740177438383578,0.04265171189193289,0.022183904505248087,0.0011069487764820084,0.9660070779233092,0.002760674138890215,1.633094122022227,0.13805162294478326,1.3216165807485702,0.12096340698710481,0.031092383200777087,0.0023337321899146745,0.9273124578677712,0.01145835020680289
Local Model,209,"(3345, 12)",14,Chemical + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2059738887799216,0.03432148770637014,0.9912305495202838,0.025652991015904295,0.02300718891764668,0.0008912260130186459,0.9606108107299256,0.006768910684832629,1.8707943139383252,0.22507033947140118,1.5427461433107872,0.21007053663493305,0.035979605031995175,0.004685941191685218,0.8857423219493838,0.011604697435691235
