Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.398305739515671,1.12283229203903,0.024036779326559784,0.950245134054016,1.4862794754025375,1.1780398298068084,0.02556502021309022,0.9449874408106929
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3398590225923923,1.0580706807346492,0.022751867208058673,0.9546469683464625,1.4683930822020652,1.1670068100568693,0.024966108591152662,0.9447279598800195
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.397161825303962,1.1125482919762133,0.023807457950363726,0.9508184798543033,1.481422715071598,1.1750210447277714,0.02547879448616117,0.9431087762496785
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3677524946247643,1.0861076739485767,0.023267071363866642,0.9519220418605677,1.4427370236642343,1.143561810065495,0.02482732359712869,0.9500842196064432
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3558028969700615,1.0677968892613063,0.02314532539605848,0.9539030657280996,1.4606369562200279,1.1194653823527905,0.024111061321089044,0.9434823518156112
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.411313107856484,1.1257184152240576,0.024026255677145957,0.9491311930968241,1.5936794222794073,1.255382139387905,0.0272938182375437,0.9375207077506644
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3787388290202094,1.0790003128119214,0.0230976149840797,0.9518055937728084,1.4850285809360415,1.1963411230080532,0.025737471969483207,0.9442211735647233
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3380422547386457,1.0605923358030174,0.02280800251705727,0.9554507497658902,1.4191859931000652,1.124854861417844,0.02396782337422796,0.9445253426953416
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3373933648848484,1.070905819327087,0.022994983960910802,0.9549437482280889,1.4899778879356067,1.1384334092426625,0.024511400498175198,0.942458058473634
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.34060977051312,1.0544048673272552,0.02275776414522581,0.9537416612248125,1.4480116289711686,1.1326614731592506,0.02446732114773026,0.9497694073766386
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3416250053215266,1.0643594850089888,0.02297505062226894,0.955750014570269,1.4214273587381379,1.1280124224875088,0.02427953770218932,0.9408585403222333
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.416267063919793,1.1082696831363381,0.023941926761040146,0.9487875266648843,1.4885478722954733,1.1609987454363815,0.02558165806145754,0.9453885920908849
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.356120849005605,1.077854339437713,0.02323228460932806,0.9537993419139122,1.5245561540008914,1.2093244540480748,0.02604558574572115,0.9390376882657177
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.357988792838123,1.0748995294410708,0.02307565821654318,0.9533025620344542,1.4645230122338586,1.1512461524127673,0.02449868276508732,0.9455431531144047
Local Model,209,L,Chemical + Physical,"(1414, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3319556367577334,1.0496200662619657,0.0225414499768401,0.9535295495832489,1.4709158168475933,1.1635234886872847,0.02576371883318706,0.9511257086218122
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.052847724873024,0.829958012007639,0.017731232881946696,0.9716593339317067,1.571229299384814,1.2526999477170533,0.027166513426667514,0.9376427532832919
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2321173688529132,0.9889421697104183,0.02083462501655432,0.9614615510505538,1.6707131346725879,1.3352780669590225,0.02863429804420805,0.925186894595563
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1312759459850048,0.9031304730109455,0.01970692298348209,0.9675484684158376,1.5950675971700132,1.274040930981904,0.028060872387353164,0.9338602540037053
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2171524028647516,0.9766660246459196,0.02118436577524544,0.9616827307198997,1.5195067309250514,1.2076494036980374,0.026370055149241366,0.9433939223831598
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2061514848562496,1.9528242814562278,0.04074606355097271,0.8772115808072928,2.652812082394254,2.250374039158679,0.046974129178169205,0.8054953267201775
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0957409644314198,0.8724137813982836,0.018659286401525584,0.969156204788668,1.5557109175093575,1.244831343740786,0.027303565556451994,0.9388543605310566
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.12484353653228,0.8968282180333719,0.01916069284194555,0.9677805769370289,1.5422532882975202,1.2318146702028683,0.02673895450468532,0.9379828283055205
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.214741960937373,0.9639215596516925,0.02133997062948103,0.96309039658697,1.560766625854365,1.2222617936044362,0.02637627541311857,0.9307747982892922
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1912066749769634,0.9378674633098093,0.02005586201449518,0.9640497363057091,1.6584809007528316,1.3116814379422166,0.028118429321452598,0.9262804681040898
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.404584543099235,2.119688163497076,0.043323538449234686,0.850212731460411,2.5979842966818545,2.221415250951596,0.04608944806779174,0.8349067774546328
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1037055565545986,0.8736930660717351,0.0188932159485985,0.9699031828552737,1.4996012902878981,1.214719929821088,0.026054206753422352,0.9308566725795255
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.057981406107384,0.8379783853837633,0.01780641146069556,0.9712539283920556,1.526182739903766,1.2014690730256847,0.026171544669280705,0.9413793471203711
Local Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1040531403334333,0.8734091726681835,0.018718973833797753,0.9692082969997124,1.5620684484992213,1.214053083311836,0.026540133311980154,0.9343919646934593
