Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4921802880146573,1.174153451556974,0.025105301456044976,0.9433403513535432,1.5546399975859444,1.2210595713908596,0.026173067934364944,0.939810524086029
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4887590483344628,1.1669335315545828,0.025152885550007522,0.944006586900397,1.599901119325186,1.2539842127068739,0.02671502149164616,0.9343843976845059
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5357508921350107,1.2011975200191,0.025524348733617877,0.9405776149835237,1.6087596680600316,1.2744780960352602,0.027602862072281055,0.93290817331942
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5201820058610436,1.1979210351864713,0.025585804925822582,0.9406087919718215,1.4410667098332874,1.1479260609764927,0.02472131873366989,0.9501997316557295
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5260906568760202,1.1975533941693528,0.0254391989389206,0.9415964030719443,1.7018408950966175,1.3412751548171893,0.028370758546650582,0.9232749070500442
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.525929447571721,1.1999404669777685,0.025464398789668455,0.9405333176744927,1.6247807071924294,1.278769808388429,0.027652175243097106,0.9350582962183477
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5521385238902843,1.2203777164152305,0.02593754280488364,0.9389207666887032,1.5888769493278478,1.263397882683959,0.026747794197757763,0.9361471513111425
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4906560988874202,1.1680252251932841,0.024969144674116373,0.9447088446520227,1.5808687526847205,1.2603911081051244,0.026804874874190292,0.9311652679249627
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5020093348173056,1.190865443977606,0.025481104837548375,0.9431694322176084,1.5920071431270628,1.170725379647299,0.024867794394009563,0.9343076362746905
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5589563411759801,1.2290890521800981,0.02601145365469747,0.9374462748433396,1.6261443596449912,1.2936812164090217,0.027765068084268762,0.9366506159077683
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5263546350854091,1.1869209692944058,0.025440179500418065,0.9427254423669436,1.5049658124893286,1.216259884783741,0.02579946753291573,0.9337026808056288
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4759863763770424,1.1631779451648507,0.024911688422985162,0.9443775470165233,1.5976567570172038,1.2446123399498596,0.0271914519723324,0.9370892704628191
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.511024692364978,1.1941597613563164,0.025546052245825627,0.9426419340716898,1.7118149765681112,1.28308847865452,0.027513274691506568,0.9231421520282367
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5090065043554064,1.1909269981485464,0.025424365958685927,0.9423389023219825,1.5921742643024122,1.2215243201373762,0.025714387785256046,0.9356362572002398
Local Model,209,L,Chemical + CS7,"(1414, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5858849694865413,1.2413732434330056,0.02635333527457678,0.934121951172405,1.6319546369886482,1.2943891173558886,0.02822407509672744,0.9398381748764799
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4151229815719184,1.128600778091307,0.023939492293868183,0.9488003143154142,1.5855503998281555,1.2788228391251477,0.02728296501602782,0.9365008522678322
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5004675112896562,1.2016555813552021,0.025523118618452297,0.9428464429188138,1.7601693465084383,1.4160045177531708,0.029997441454850556,0.9169608652592625
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3724112110032571,1.0980303317581552,0.023644143289058728,0.9522397483001594,1.6438315901577267,1.3357036052200035,0.029384069686769813,0.9297544233951628
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4575144872121812,1.1603610865617813,0.024454260750819586,0.9450547201280995,1.5657294536965218,1.2673711150547236,0.027249316856261974,0.939897678282337
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4117428787489605,1.1369519500458474,0.02440120335675035,0.9497196884653909,1.685533154022582,1.3268878306764564,0.02801529065305367,0.9214779434772717
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4683581081339878,1.1625665067962347,0.024528375580062677,0.9446119614086228,1.6613754251510973,1.3289246647672814,0.028844961369449782,0.9302662120764056
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4480171563595112,1.1472662631820583,0.024376925135694907,0.9466074159349912,1.6424291960993085,1.3200026285423412,0.02818018499476443,0.9296646165391853
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4430533798568799,1.1620948696907636,0.02484753262119136,0.9479121892717101,1.7374394658920702,1.3845409632268961,0.029518258376045454,0.9142157310352678
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4199308605709613,1.128579327633868,0.024209083408943736,0.9489186648794836,1.6098374353722562,1.257017701346921,0.026761307298735323,0.9305414577317117
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3893032997226074,1.105160080997049,0.02340801497714538,0.9499978206580699,1.6436846311751279,1.3293224912701254,0.028586919094797547,0.9339164766080175
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.642054876597412,1.3129683144458861,0.02740127516661046,0.9333823289757393,1.7858006784812759,1.458387031411223,0.03063528424678292,0.901946154207997
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.417247070527986,1.1235183064614134,0.023899540453201022,0.9484161718627028,1.7105388542983713,1.3776418606740128,0.030006902799639128,0.9263617493846664
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4101993139611715,1.1271684653118506,0.024217351898973626,0.9497640346150205,1.577445831164311,1.249732902670809,0.027040959894345556,0.9330938836836637
Local Model,209,L,Chemical + CS7,"(1414, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5996881523380178,1.295722942232336,0.02721058075748112,0.9348539243581993,1.9564810606805882,1.5402957498802354,0.03270620331299772,0.8998433005242206
