Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5074670571114703,1.9125407137141412,0.042455168134096125,0.8400067163055425,2.659011740608171,1.997489953462311,0.044922382366962235,0.8239234996585332
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4338530465837658,1.8533714132536632,0.04121685780106574,0.8503499667352001,2.899488869499559,2.119950424571764,0.04673931874184942,0.7844918359303067
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.522603085172724,1.9313804011256375,0.042898407689370394,0.8396731088124924,2.395430517239802,1.8086831249870605,0.040484898444938106,0.851250870527236
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.472680241449047,1.8831596947896816,0.041843258705981476,0.842867181363724,2.738498367897971,2.032766413604411,0.04572517642340503,0.820159092862373
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.458510672888848,1.8853574208235997,0.042009698516281654,0.8484265541166711,2.729805270115705,2.0190569635485938,0.044616363958267076,0.8025928639113781
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.502196760038076,1.9030863249734062,0.04214813118455431,0.8401002752479637,2.7158161936595078,2.0066518377836515,0.045456553130439614,0.818559214078083
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4884464746944808,1.9091553820433822,0.04241209551180228,0.8430037684200378,2.713703030844422,2.0449314589213974,0.04532309142320979,0.8137379460673764
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5048966425230432,1.8954387939345205,0.04234075716209886,0.8438721556045277,2.4935271540667014,1.907492959929016,0.04130504345223918,0.8287446295065304
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.499027791563938,1.916151082842462,0.04254877567167943,0.842681823670832,2.6325145903412097,1.9686598626126686,0.04377677203320306,0.8203751417082954
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.40829297183641,1.8555020250785472,0.04119924505958843,0.850719215610308,2.999392042623953,2.1748190156111513,0.04892354727974476,0.7844784645020979
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5187504316101625,1.9193568331366828,0.042729092749076096,0.8440371654575054,2.383476507366355,1.7705030439936222,0.0386793466649628,0.8337106444836895
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3965484927412715,1.8506236095748894,0.0410421778337334,0.8533581665149705,2.9529180428047406,2.086033560277716,0.04685606492196419,0.7850880586289667
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.522991002021766,1.9211711402576022,0.04271282438424005,0.8400873650802734,2.427588097053253,1.905100959804791,0.042143988294017394,0.8454302247522487
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4637698904227645,1.8732445352758378,0.0416938435460513,0.8462904082630488,2.7164895045173605,2.0177393532473324,0.04503992836385203,0.8126403122087389
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4595103953601214,1.8608886957337074,0.041313846632895015,0.8415491086188119,2.6542006620241776,2.054489622724818,0.04621867864881597,0.8408625685683868
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.0661391602565624,1.6542151760525197,0.037237523328211605,0.9062483092760726,3.0634794560573484,2.2621383399294155,0.04933671603925157,0.754032069654895
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.924964911951334,1.501385416666667,0.033465190401297265,0.9214951067170657,1.7384969669887091,1.3595301069293046,0.031217784078662256,0.9269621241865312
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.3995995051130596,1.8812142062717034,0.04221953258714738,0.8417447697648388,3.7878742865897195,2.9565762168482737,0.06503652614603589,0.6148286299666355
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.8920366484720372,1.5270886881510422,0.033966941200883165,0.9071911544212239,2.481015329346624,1.7471130772640873,0.04038071024710535,0.7864899709568443
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.6638243254176928,1.3222746005588109,0.029310612887929056,0.9120956867619098,2.694065380730944,1.9406056320458078,0.042407693545162696,0.808048062416964
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.0757250653508104,1.655188910831469,0.037157651117837545,0.9043678630989076,2.7160318946181317,2.0735419447878582,0.04407667765184354,0.8397028635529458
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.173421673035095,1.6776230357367294,0.0373460837721556,0.8971035671339231,3.000146736832423,2.153565502410236,0.04934093335800446,0.7680131292064956
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.353768202484878,1.8331804769970637,0.04073689852319618,0.8737198736993774,3.390323275944657,2.230408510898024,0.05178683309900504,0.6852168025624935
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.528003759253141,1.94946697477567,0.043311881969125575,0.8480541886397795,2.651582504241461,1.9409650469840831,0.04167696600562928,0.7996818411268012
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.564582970614526,1.937941480770872,0.04315139800464791,0.8382911718580609,2.470287446839892,1.8601780570821536,0.041716728091469195,0.8175777158652562
Local Model,209,L,Chemical,"(1414, 10)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",2.5883497125893777,1.9518047952694146,0.043492173900623626,0.8374755281328412,2.300095094189524,1.753087516218528,0.039182227339191245,0.8370947883109534
