Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.0363542636249776,0.22927682513442219,1.5860186247422965,0.19176627040303493,0.03414889214815348,0.004267240883974443,0.8931811410556516,0.02684750461596254,2.863805347377586,0.6507104092162567,2.13655822539748,0.5541989988244335,0.04707175984837992,0.012654106036788874,0.7646778905700502,0.11324286459943511
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",2.108973144809226,0.037187955599011245,1.561815820677668,0.05158772083101664,0.03385984957974203,0.0008958667334972736,0.8920680634111603,0.003824490449476086,2.1753407921865513,0.03811691229011626,1.7056089807876569,0.02260849992745773,0.03686563305362543,0.0003837984960845052,0.8542423613594986,0.005094828025452302
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.04094939329405,0.029292760037671194,1.51877832181464,0.024265490881232987,0.03299357799700452,0.0005899781735148346,0.8944355448178268,0.002653735162589317,2.350593761439187,0.1386031336623243,1.716270973775593,0.08223754292045632,0.03763668200329014,0.0018074082353728479,0.85918246147092,0.014107712314956753
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.035197318310175,0.07928920975453393,1.5254948645898807,0.06441480732987005,0.03296392420069586,0.0015106415851844,0.9042169890267514,0.010952025484622336,2.963104380746442,0.423199455182167,2.2172912600902803,0.29126994015921365,0.04847189599400513,0.006333063442873147,0.7641613458679991,0.05868690436162288
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7368551523544582,0.14831793036533658,1.4619131398224035,0.11849414629967435,0.031221396136549857,0.0031313346907589023,0.9200888312625606,0.017942521843186197,5.646155586154589,2.764361470980945,4.610616583408455,2.5451159970802006,0.09659951128114529,0.049948509634755986,-0.1612693237104545,0.9495722920929808
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.6086404602693165,0.327399095991564,1.292753690872124,0.2802344553277328,0.027810749575798214,0.0058183420998627125,0.9343028981301785,0.02748723818576177,2.7724791532144946,0.5762127127235928,2.3109854970488164,0.5470275641805533,0.04944524371829317,0.011214690389261692,0.7455248223506376,0.10862095928291064
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4797528315052058,0.30326373473470125,1.1933953706901588,0.2909627244528389,0.025534126134257876,0.005771703986653425,0.9416684814709004,0.028755667623545818,2.30907482154123,0.2567327349274708,1.8279781985954497,0.21204329509889927,0.03986697957595794,0.004215843022950815,0.8591899241698587,0.031156693731869967
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.50864145621654,0.1825062025558465,1.2231770214909499,0.1597206954266991,0.025908774861801535,0.0032955786186294775,0.9463513190879901,0.012739579005599105,3.6286429667986186,1.0288927020521021,2.848366811725951,0.8092143990808646,0.06249558581676331,0.017158940729019457,0.6354040948537464,0.1654158567848629
Local Model,209,"(1414, 11)",14,Chemical + Feature Engineering,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3849377431337855,0.10276780931434834,1.1099699967907315,0.08675478374832679,0.023516208060871686,0.0021829915875771883,0.9479704598604612,0.01348809908432034,3.6666294673652837,2.354316912652356,3.2510347137451183,2.2066043082710505,0.06576803503394663,0.0443329034506667,-0.11429544785463461,0.6791908643542525
