Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.809585327048952,0.11535751522811016,2.2306365887451176,0.07465998085285701,0.047807052593552515,0.0015434963629998915,0.7980017328823404,0.029859364788627052,4.772818285796431,0.6224812045119621,3.575421235469352,0.5796891523958784,0.07821719798497662,0.012804389702850532,0.36528200204424166,0.14688212983333077
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",2.1163504605918235,0.018455209159039955,1.5696428514250675,0.03773324823123449,0.03413223566752563,0.0006210938313496098,0.8913371592800604,0.0019008104091510288,2.2535185266531896,0.07326110359245945,1.7714464517869715,0.06215596505286773,0.038298978360797396,0.0013915279772396378,0.8434603297802958,0.010091794436201276
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.028192519743055,0.03409828464138452,1.515010201233578,0.02454136122214106,0.032843607686844106,0.000565668286400083,0.8957460984511574,0.0030940117417934,2.3815375243349166,0.13779959153273078,1.738541756845194,0.08727474483909813,0.03805368980794535,0.0019377679671262647,0.8554785945627355,0.014048361241961892
Local Model,209,"(1414, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.1172311238226404,0.1319279800263881,1.6134020638999844,0.12696040348053672,0.034870274105500004,0.002599871985519113,0.8963714078211766,0.01334158309757191,3.5375823792995793,0.8637530982334959,2.5783858508820234,0.5815729846703128,0.05727389499178721,0.012847680402386269,0.6627660966282599,0.1223320806427735
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6320377866098117,0.23665797964273666,1.3250853056239629,0.20870562012478103,0.0281731227899879,0.004530114436333105,0.9265432055188741,0.026746463721436176,6.237373001032899,1.6777525457418359,5.015979484362479,1.0773999035215271,0.1090383652107418,0.025846594899710987,-0.2412990900322968,0.5151627055155288
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.685829845454305,0.33659790431364967,1.3583118782603265,0.2911474104863263,0.02918131943905036,0.005945156452766622,0.9279546712841403,0.02941546519835163,2.9740825048188406,0.7644678489484602,2.504023057469783,0.7486595965985815,0.053737135307464746,0.015346456684657811,0.7007488815985571,0.15578535727119916
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6426600917457936,0.37349456835896583,1.3433335580678958,0.36421623461683084,0.028404302980401627,0.007328816151149691,0.9274435942974335,0.0384904544937633,2.233043211273947,0.283928429453885,1.7803613021375118,0.27032415318666875,0.03838928472415863,0.005271276805846012,0.867880299749069,0.03423585701117644
Local Model,209,"(1414, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5447838500972602,0.18899055637599693,1.255598441333617,0.1717894250942925,0.0268855377905721,0.0037473464045768936,0.9436533563286634,0.014906981758243924,4.2316168620947625,2.680219225379425,3.2283909614668462,1.9119674044652364,0.07040411295813394,0.03978151972489039,0.4172594796931578,0.6830326589849806
Local Model,209,"(1414, 11)",14,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6255600900963876,0.2604274116557266,1.321950114260438,0.2510315476632666,0.028251611483714016,0.005448860211070526,0.9291738217214263,0.019845398127643958,8.684748773957386,8.91113226667804,7.616485178629556,8.207406249970463,0.16081501184529662,0.17960291561218847,-6.19319246850762,8.553475905575619
Local Model,209,"(1414, 11)",14,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.2937384822740166,0.019149106316839786,1.044478996658792,0.024146232780336285,0.022312565067648896,0.0003760757475433701,0.9590861823904508,0.0012100137055698445,2.2560530057419093,0.14883031433190583,1.8250271072804611,0.11373198349853052,0.03910085830633891,0.0020760630209635386,0.8332565855161645,0.021514869131474948
Local Model,209,"(1414, 11)",14,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3275424985420272,0.10019947239744295,1.0713660380384746,0.08629764517081008,0.022819255981735016,0.001694541102574311,0.9545393389789074,0.007233474037921159,2.0854564476667137,0.18905346903896258,1.6617733622249888,0.13344793743656141,0.03614175187379934,0.0031923954023337577,0.8833859510483506,0.021269528503176583
Local Model,209,"(1414, 11)",14,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8494003545928879,0.6693705980042326,1.5799489312639854,0.6791019753522688,0.03350340796216431,0.014085035546117203,0.9103651579991276,0.06760417852105492,3.9610756932198465,1.8004286278869872,3.0793710510098204,1.3828190634852233,0.06720985318219903,0.029584013999333424,0.5356152406787532,0.3559575025663292
