Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1414, 10)",1,Chemical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6402257389479453,0.2038256801492125,1.292009376220705,0.13123161600455227,0.0280020862621132,0.003058314690764439,0.9300089797129213,0.020956693458723395,2.9020182859680967,0.540218302034565,2.134066110711349,0.23915069344224063,0.04605061399955058,0.004781914335717052,0.7623038921621036,0.08142851131348945
Local Model,209,"(1414, 10)",1,Chemical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.9235788705899386,0.017402239476956738,1.471430707145082,0.0104382146992131,0.03233075566454222,0.00032943887925200794,0.9102305849273016,0.0016198988435128007,2.342441306758125,0.09278634238881449,1.9068788139783586,0.09697297412216382,0.04127069317097448,0.002068104807556771,0.8307760932877907,0.013475448434765757
Local Model,209,"(1414, 10)",1,Chemical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8501219360808052,0.0484650112561278,1.433221770045458,0.034579478853720175,0.03139687505954502,0.0008894951939070902,0.913214743926441,0.004368776314791613,2.387153830179186,0.19504360299117326,1.723751349073047,0.10133041852397633,0.03795808807160201,0.0024932183538229763,0.8548406745549957,0.01820626983849568
Local Model,209,"(1414, 10)",1,Chemical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7744138381041923,0.09731701147030357,1.342069139445041,0.09235216226737963,0.029164161399299195,0.0022359708251051694,0.9269511119791093,0.0110240157952716,2.844086987935355,0.4895936004306275,2.0695110713877574,0.3034480244586031,0.045236162132760334,0.007372475488372752,0.7788820815543123,0.07393822795283506
Local Model,209,"(1414, 10)",7,Chemical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4757717622910929,0.08302837938277223,1.1503231341228388,0.08769650921854662,0.024851665752856574,0.002034875504196311,0.9428400614853676,0.00966115974888978,3.581568828851721,2.7592309035597817,3.049884705372349,2.4368222590714557,0.06347998553932892,0.046949519733096204,0.4168047969953591,0.8575798419876742
Local Model,209,"(1414, 10)",7,Chemical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.4893274555183451,0.01808706380043659,1.1809625539811082,0.01601388621585091,0.025838311212536626,0.00038905284013127854,0.9459188780335553,0.0013139364410336876,2.0958175930589342,0.049851090662273126,1.7088602135616275,0.04283946768724632,0.03636501029716047,0.0008904703791011126,0.860525074403076,0.006684254997102187
Local Model,209,"(1414, 10)",7,Chemical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.438024343363385,0.02599159787575449,1.1386609252689859,0.02265514740483292,0.024956533016813272,0.0005021471086466537,0.9472783741287354,0.0021935787807476326,2.052227786090944,0.13729255178848454,1.6184483412223343,0.10017971730567435,0.03530245610784184,0.0021074805510933325,0.8887250819993892,0.019604378051027393
Local Model,209,"(1414, 10)",7,Chemical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4456502355424121,0.06402674237357242,1.134177219176046,0.05615536192885721,0.02460235085105619,0.0011615079438023032,0.9513054919742291,0.005584394837098743,3.0500966363896493,0.7811522690851865,2.3393075198687723,0.5408946209252865,0.05052229624257042,0.0111461961453582,0.7287498628318263,0.1560197919604841
Local Model,209,"(1414, 10)",14,Chemical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4774104137485145,0.17544522006934835,1.1739770606256306,0.15190129388376536,0.025426603949785145,0.0035603743953325517,0.9404415303064259,0.01870145150913479,4.34233236580044,2.9767551999583746,3.908858946058486,2.8802929189726836,0.0788526444648658,0.057679613376819455,-6.548209926452941,12.985642753581926
Local Model,209,"(1414, 10)",14,Chemical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.5026697357421117,0.005127687796498763,1.194499270447299,0.007750281205294635,0.0264085875767404,0.000209101709125505,0.9448158937508934,0.00037706268897789535,2.2752447411941583,0.2357452978619084,1.82499584135462,0.18440158412566626,0.038599191535019256,0.003946842084651872,0.8293296801812166,0.03522081703972633
Local Model,209,"(1414, 10)",14,Chemical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.467333841610599,0.03447448281882591,1.1719759751807004,0.02954267900755863,0.025772849531698946,0.0007293279713755096,0.9448009822127387,0.0024046520468945223,2.1155846981546493,0.232633859480899,1.6853496883095265,0.17166743727907668,0.03664430494057864,0.003778918483137297,0.8792128175612375,0.028553159967307527
Local Model,209,"(1414, 10)",14,Chemical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.48693383708936,0.1101212661652249,1.1682361246567898,0.09900407879481135,0.02550460029219753,0.0021197186914908095,0.9481418858231273,0.008627522409724604,3.201092580669267,1.0797547591571754,2.458925433567592,0.7076233897642769,0.054826041320869504,0.01867459178553195,0.6793373346229341,0.20962433357373889
