Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5421637504716446,1.1722334436007917,0.02694295467442656,0.9529034757077193,1.8531244824468949,1.4644698803241438,0.033386312853085715,0.9324301588757757
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.609367184414291,1.2338083094331878,0.028078288344868616,0.9489461039538393,2.379921483607118,1.813392677761263,0.04258903630249684,0.8869488045331198
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5397091637553137,1.1836265785024582,0.02705313737616617,0.9535607939709894,2.305426038662004,1.5607562087831028,0.03550574057342729,0.8912157266161034
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4433384505883864,1.099277245236718,0.025382271240303515,0.9582177184005893,2.1386397503020933,1.5396409239087805,0.03573394237981287,0.9147801122472435
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4732247405701715,1.127272422529792,0.0259189875788848,0.9573903779170546,1.8345742208411275,1.3715325923193087,0.03203964443466486,0.9315576683861424
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5318333998293097,1.1671345483689097,0.026672592713927606,0.9533793113504798,2.172941424054482,1.5732641998832748,0.03597770683176996,0.9087948721238883
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.49897766381675,1.1639864361835282,0.027174673081089416,0.9553259606985618,1.686546528341823,1.3370229062579948,0.03178740978638006,0.9445463693193457
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5562579621908543,1.1698311277165645,0.026711483874247374,0.9520947362505607,1.7739777806059094,1.367693031401861,0.031487040095574466,0.9379291773180559
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4219630738273974,1.0792909262261823,0.024743556104815163,0.9607166310461975,2.083348090623787,1.610317866007489,0.03669463754432975,0.9068433498115169
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5719699883424452,1.187475494679512,0.02694044341941769,0.9509399132512388,2.7306542044489825,1.7575531210218198,0.041217959404305136,0.8551309613977269
Local Model,209,N,Chemical + Physical,"(841, 28)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5014426336795013,1.1522768979980849,0.026100451638563036,0.9561704486671588,2.1204198473568314,1.5815944784491724,0.036953212356352585,0.9050500676816969
