Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1905626037553374,0.9280895409129929,0.021177099226748937,0.9719306503488873,1.146600428442052,0.9229882731240183,0.020894901701525987,0.974131698760836
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1559485010089052,0.9072983196196208,0.020745642940780556,0.9736612246130879,1.3537280830562224,1.0821535927908796,0.02483362970465724,0.9634226045838311
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1677516969537927,0.9403791657174349,0.02183525466668952,0.9732878766776739,1.3038609425427043,0.9799058505467025,0.022512472406090805,0.9652042437788343
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2751004301566193,1.0156755705290723,0.023302283841686706,0.9673904674402676,1.375699352075886,1.0982533681960378,0.025181023003417888,0.9647375280287396
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.23814223971206,0.9715944298663441,0.022274891922041715,0.9699038629988557,1.323325254046343,1.0560423760187068,0.024672163258895097,0.9643887331167796
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.096165114874148,0.8599152990749933,0.019572913075540557,0.976126968640905,1.2508368290454948,0.9639295544144694,0.022044698373438393,0.9697779069756004
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2073852652714345,0.9591352970072295,0.021968863891065282,0.9710161120598767,1.1542376534497423,0.9112858227321068,0.021335590631114648,0.9740268988292303
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1710515645248363,0.942830901691502,0.021704836096912997,0.9728748530244191,1.238694413057772,0.9500212669372572,0.021569539046450606,0.9697364753220603
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1760485657963111,0.922396897065163,0.021032479699369784,0.9731290759129729,1.4117882080923267,1.088937745775496,0.0245321061212772,0.9572211322392549
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.288643001481088,1.0225334762641274,0.02409940954653192,0.9670310549964009,1.3986840229417665,1.133781637464254,0.02707345163489047,0.9619914420907382
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2883207882749899,1.0020578327633105,0.022458608337489944,0.9677301039040874,1.3202119926353013,1.0050088352000202,0.02263920372629111,0.9631923335012244
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1218291738258552,0.8701702259624888,0.020100121955301593,0.9745686867380078,1.1821241610960338,0.9553983938126361,0.022247938702034682,0.9746591530299864
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2172553115155917,0.958384251134004,0.021699819081723293,0.9709306822242556,1.3870903034876203,1.0973522640409972,0.026020094846328883,0.9604194236279232
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1457526273442646,0.9124496097196279,0.021285880776159796,0.9741288094840976,1.3244712365995706,1.0247735636574897,0.023867637581258476,0.9649841975248512
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1474764396108716,0.9098948327074454,0.021323001244036514,0.9738727081124617,1.2106336127484307,0.9636309987022765,0.02153514784127122,0.9710830037252765
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.800134694176258,1.5487148728210265,0.03473029238393141,0.9354003614304099,1.9904398689446112,1.5848061113168073,0.03470811318245656,0.9200397079995557
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1693390161416233,0.953102260327521,0.021636752168691036,0.9729734353477134,1.548976117219924,1.2374136454264353,0.028914611408333287,0.9523947681950963
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1242947315865077,0.918988632901024,0.021113891265813155,0.9751982324571398,1.4909790148884214,1.1470355173746734,0.02634448282319443,0.9536080780352127
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.254131908090674,1.0176362586567425,0.023216649941971455,0.9683406258301421,1.5658013721760287,1.2525725987752314,0.028862489501920604,0.9531796778225965
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3998979198376162,1.135762036738505,0.02527198230464321,0.9613619279607957,1.6580183204966379,1.3185189768473333,0.03012154741454101,0.9436045334158895
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2562560556818765,0.9917921468752258,0.021998623766958807,0.9684482220625357,1.7626829037602083,1.423452693105531,0.03170077617593617,0.9385546098521022
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4780100054622913,1.2180146079027023,0.02701457679110018,0.9564697294995895,1.7357395024449769,1.3562915395100907,0.03107352202999832,0.9404809252309737
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.011209324483243,0.7982197768815612,0.018257266000767085,0.9797168453291872,1.5103606456816234,1.1844167480468746,0.027149180437419637,0.9542416828356546
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7788673947661917,1.5127974176770858,0.034376688794157395,0.938299884394167,2.177518050994855,1.8140011189778646,0.04122026760228237,0.8982752961348502
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3832751210293248,1.1373041575191578,0.025451011189468842,0.9619207751293182,1.7073942688910468,1.3359174880981466,0.03075372478223155,0.9411310197220707
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4115672876090328,1.1513233803098732,0.02513871391249712,0.961125356037365,1.784519726991337,1.4028058184693175,0.03146866592823091,0.931151421996291
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3149473843003783,1.0637925260121583,0.024115758021485762,0.964836411101023,1.6150321749513965,1.269055244445799,0.02943646892002344,0.9523549833770862
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7405269880184302,1.4923569861259154,0.034061648750115844,0.9404572062447417,1.9542466482491445,1.5465117670695026,0.03598838545694289,0.9194849363353288
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2570157880318296,1.0166222632022306,0.023009103935216407,0.9687976079614357,1.7281993965688196,1.3646877390543617,0.030473406822721028,0.9380593619094726
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2945200875115601,1.0400997889860903,0.02352710653553619,0.9666197150182698,1.8375609516444986,1.430188588460289,0.03245678005121916,0.9308966189424718
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0967626139487192,0.8690875289941107,0.019413471397342313,0.9756993690767779,1.2882806657981916,1.002271951528698,0.02239027704442135,0.9659823376372252
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.128152663504736,0.9166844701917409,0.021235872975213264,0.9744646571407307,1.410441609838318,1.1636282159376499,0.027541701166118072,0.9574431032478159
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9246806002700845,0.7444717972812619,0.01726521459449197,0.9829849218052011,1.5352271632146577,1.2032658776571572,0.028385404731744,0.9505992216471706
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0020395664062602,0.801897420792927,0.019057601494456337,0.9795568921271819,1.5721594999568909,1.2923317487849781,0.03041463491311162,0.9512627346915803
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0060214784510957,0.7897706462005725,0.0182185806959164,0.9798295538235481,1.6283726646591266,1.2050289301909243,0.027541011951509844,0.9427116290649478
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.243691248625787,0.9948552618282868,0.021988619103435036,0.968636120479225,1.4363989146820124,1.1489346020038294,0.0260427705920236,0.9589701067595243
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0363672787163623,0.8448189347324325,0.020297847121170068,0.9782436701415748,1.4148055047206771,1.1444155907446116,0.027759315121835434,0.9583151388454306
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9851505869567168,0.7821299688297132,0.018011027854100893,0.9805397341757979,1.5134195492800246,1.1882997912029893,0.02764772023854679,0.953745893122918
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3726804098151453,1.135356962041525,0.028308430041253347,0.9628414784097168,1.7707102099390446,1.4702191552450494,0.03520640822950368,0.9306374453209812
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.238472012412687,1.044694108692255,0.024079358155649294,0.9690843599608472,1.919864344455459,1.5501694967580422,0.035994740485689666,0.9233195070451079
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.113455220332741,0.9032126813891567,0.021036050177731448,0.9755553558695103,1.3230418765068053,1.0943256847675016,0.025447046517786273,0.962654483429532
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9494289618951391,0.7697953305409934,0.018361624683196315,0.9814403175462051,1.2907430606459442,1.075032540254815,0.025694749943270073,0.9690510497408505
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0388067820853695,0.8330425370754877,0.018768701704491658,0.9784558832797395,1.5349868473186032,1.2656330433926855,0.03023818897278956,0.9503446281465306
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9532809246731682,0.7612128850413439,0.01742058402977271,0.9817832218075051,1.320548494404427,1.0186239493909708,0.023335502986082206,0.963861841398164
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",14,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9357585282120925,0.7450871897796735,0.01745237391307348,0.9823093823185076,1.5455737905393485,1.28358414524286,0.029072704580498755,0.9489530094409899
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.809628990935015,3.11608428670399,0.07335736328694484,0.7218289776534839,9.309847126824023,7.573815895529348,0.16763336273998702,-0.3206427878327758
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.588424599690552,2.85832468573727,0.0678629296213497,0.7641751992008827,5.385664468394014,3.8639757380766024,0.09183157849060412,0.4426548262892922
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.7805471548752037,2.89303781879482,0.06801474276545631,0.7482862947269384,8.848523007304703,7.004787344091075,0.1514547803531568,-0.5393911327925567
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",1,GRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.928401713864268,3.0912098101715513,0.07354325187113615,0.6690068207211374,6.075102337594964,4.7439429339240595,0.10886541526713844,0.220522823811232
