Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2266579551644219,0.9515561478478589,0.021729853357774147,0.9702028425496254,1.1658463205439573,0.9769723564915419,0.022376903812392795,0.9732560024954667
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3026167802818147,1.0257684398724818,0.02364313692750733,0.966553402541408,1.6081879589385586,1.3125515619913763,0.031202982816809083,0.9483793448058511
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.746861958279256,1.4012960793890556,0.03248812305469393,0.9402243136569997,1.9518655700844143,1.452648126511349,0.033652379064297216,0.9220235365885228
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.438775969278593,1.1422667436755627,0.026185215195685247,0.9584814536053903,1.4650934727784106,1.1329076539902498,0.025814670639921024,0.9600058606467696
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7745722607887828,1.384266423399702,0.031800409023001595,0.938176006840697,1.738954041372483,1.3899630455743714,0.032518656492894565,0.9385063273724111
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3648229226640851,1.085213711715882,0.025261062250624917,0.9629909249422122,1.5326828289293308,1.1922431313779942,0.027813552415958367,0.9546238335782519
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2846145446167438,1.0253014523419752,0.02355095259831708,0.9671896722513169,1.3239413335820054,1.0339007491157164,0.024222312598425683,0.9658279672480626
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3074427319268211,1.0298816199111396,0.02387715443453664,0.966188424088546,1.2794314206168464,1.0064561298915347,0.022963075423675577,0.9677131873403064
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.542101070181821,1.2066012570974927,0.02843510761899466,0.9537983202041088,1.7362705675138814,1.369247736249654,0.031454052871824734,0.935296914380139
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6097503939013758,1.2798413830738722,0.029729540771070255,0.9485533747955869,1.6363559488996458,1.2953835941496388,0.03052994826675995,0.9479767208169951
Local Model,209,N,Chemical + CS3 + CS7,"(841, 23)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3655234719809966,1.0704572825204781,0.02446851564573483,0.9637466722678265,1.5112440927461908,1.1840591791818824,0.027278455838455732,0.9517696769557716
