Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6186286828971035,1.3207411697932663,0.03147594185538175,0.9481173272831058,1.6038863925842646,1.3413954334146172,0.03179711468829025,0.9493836393422307
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.607835336279481,1.3236662435319073,0.03159432290363707,0.9490432472239299,1.6086983050458474,1.278036617097401,0.030122846809728883,0.9483465767697714
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6059328644371083,1.3057379553966328,0.031178269642880816,0.9494801365000823,1.727248845359902,1.4081482705615864,0.03370101526212488,0.9389376450629626
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5865765768791662,1.2992540685418479,0.031001180271742607,0.9495131975607207,1.8717402810326744,1.5404921667916436,0.03708959209174059,0.9347234997543514
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6087150293356731,1.3110246065998519,0.031284212652782965,0.949192489728208,1.563859121213245,1.2725223813738158,0.03013120554741762,0.9502664479944565
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6065140950578982,1.3081857306616662,0.031189226469295006,0.9487227535633797,1.671907402863202,1.3661818419687846,0.03270396591899497,0.9460057317703597
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6027635283528343,1.3038168239735226,0.031086456606424152,0.9489255378936569,1.6322983481526074,1.345318907783147,0.032539024892644305,0.9480563559278519
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6054442011505947,1.307656378554732,0.031246626086073873,0.9490187482670425,1.7038751222998811,1.4278444880530976,0.03355149405974774,0.9427379787681169
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.615629033208967,1.3291444854963075,0.03178012397610638,0.9492874572709897,1.6447301525418223,1.2845481055123469,0.029873891109099666,0.9419396707666869
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5934608794895342,1.2999296157179423,0.030981666167463267,0.9495893122459638,1.7800023238458604,1.4552921022687666,0.035080043608548446,0.9384421698708318
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6134212620079056,1.3160390479224084,0.03145124033284273,0.9493889800538069,1.6084997636334715,1.2767385448929827,0.030227451100833136,0.9453622330849567
Local Model,209,N,Chemical + CS7,"(841, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.59705832815897,1.302933259598392,0.03106198486913863,0.9484585201947622,1.7229321917069285,1.4242168244861433,0.03411327998789497,0.9461691410506823
