Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(841, 26)",1,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.472794442555926,0.19951614989414326,1.9350063699750766,0.1405530695353821,0.04517038384429908,0.002763954247235492,0.8767558487893816,0.019366339318546106,5.5341043234263445,0.7979302406771619,4.387615237516518,0.7497601152496419,0.09853190890175618,0.015856772178730393,0.3784996231362869,0.07223096449511889
Local Model,209,"(841, 26)",1,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.2353807044729643,0.05520980843352645,0.9717103659160572,0.03334209170058313,0.02249624565045526,0.0006540481115956904,0.9713113014193612,0.0025504036336019536,2.511212679094449,0.10595995302518939,2.0291392377142365,0.08808662466232275,0.047421109977064176,0.003453137844778524,0.8401200064901281,0.01358308349407382
Local Model,209,"(841, 26)",1,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.279088681396415,0.03686060155064412,1.0046232403879225,0.024699020763250354,0.023226270462299865,0.0005852233797584458,0.9676470211030231,0.0018058275570526576,1.600809890525235,0.12875229624569448,1.2448684818616809,0.09947200482276645,0.028937443157649203,0.002507860027723634,0.9488117600085609,0.00821673025028487
Local Model,209,"(841, 26)",1,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.583118256843943,0.387664314266695,1.2648139523434163,0.32911999994044694,0.029859525886153315,0.00826181277150406,0.9510573062462424,0.02541286045887696,3.4604458117037895,1.2589743548259449,2.67286263711112,0.9465714343279147,0.0631886108822774,0.02295806350079722,0.737293399825398,0.16490262061463756
Local Model,209,"(841, 26)",7,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7363136977669114,0.24645183752581085,1.4986812769133464,0.2619183092919254,0.03360896966503424,0.005657391773938444,0.9372951406903784,0.022687851770898385,6.608688590616524,2.188947127686604,5.356521816253663,1.8896746597630196,0.12490699449270437,0.03876581572833391,-0.01815534134030723,0.6316617081378142
Local Model,209,"(841, 26)",7,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.2931447911941578,0.24970977505176117,1.0756172942337525,0.23571402412090048,0.025051703463221203,0.0054250529604189125,0.9674175851879862,0.011384549102717405,2.938457942999845,0.6192661214414138,2.4045052913640492,0.5190421500249575,0.05471835652815595,0.011704473083699365,0.7706981100122952,0.08570179153296056
Local Model,209,"(841, 26)",7,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9939235770102426,0.11491193148505856,0.7911783410042124,0.09977672334675995,0.01842402541576975,0.0025891727070469573,0.9801437817130348,0.004710783995777162,1.9860183361689325,0.15472836363063808,1.586586563711048,0.1247726858138318,0.03720751422871206,0.003089885714151561,0.9197323596157257,0.012546386729855688
Local Model,209,"(841, 26)",7,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3991799852810005,0.2140949754674326,1.1468296853873123,0.17725991010770314,0.025757728976324522,0.003393299218673644,0.9630029149101458,0.011687544703594937,5.6166136509441555,1.7726033910198196,4.495735043384989,1.337957051704689,0.1082073738120833,0.03615645982670419,0.31116265638468105,0.3706071956804401
Local Model,209,"(841, 26)",14,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.9792123746524263,0.0212808855055001,0.7881095169091493,0.021254445008877184,0.018432729275767903,0.000690049813572138,0.9817689829857531,0.0007981183390636531,2.4582193560369157,0.2000460551523085,1.974877091432229,0.13196856424158168,0.046113922313198795,0.0031436921700375865,0.839306700007722,0.0263654055365982
Local Model,209,"(841, 26)",14,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9612947997918703,0.05823834810306727,0.7677606005649188,0.053974333249074295,0.01809356918558487,0.0015350843898033954,0.9813655178567052,0.0022743851404637234,2.056703706142308,0.24330640046169158,1.6405839278650114,0.22203600642932286,0.03867099681707414,0.005733791285037105,0.9109267194055678,0.02205692426433312
Local Model,209,"(841, 26)",14,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.161256674058112,0.13406601942417143,0.9406229127594968,0.11214900100566404,0.021702788130594463,0.0026244730356616685,0.9739434767448935,0.006981085754694651,4.006746421868616,0.9156486465147697,3.26696158682946,0.7208896856386425,0.07744305447770011,0.017126292624339026,0.6606826293834708,0.13443570693093063
