Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(841, 22)",1,Chemical + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.113383402396838,0.3378381365867893,3.2298244556028446,0.23089052972364665,0.07611860714006867,0.005369479577823787,0.6547498199514317,0.07749887354477382,7.450519496739391,1.722084205036511,5.891727122138529,1.4193722243232825,0.1313803898440041,0.028963038342637182,-0.14111619132373973,0.3822283463956329
Local Model,209,"(841, 22)",1,Chemical + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.0991306090617017,0.08746051965931302,0.8714867818923243,0.06681763483379491,0.020138761661317523,0.0016269915289887132,0.9771922478723806,0.0037082069387543697,1.7982605722133782,0.12622874665242417,1.4373889629657441,0.10121894089865104,0.03443865744710131,0.0025379401099949453,0.917757840999217,0.011664544753393893
Local Model,209,"(841, 22)",1,Chemical + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2064222302337761,0.03234257006908639,0.9521879932458623,0.027876628240489386,0.021930013683197847,0.00080429235442649,0.971224511407062,0.00142438015852198,1.3167365338349846,0.08851216588597241,1.0427166102008012,0.06793584556265649,0.02405762734982797,0.001732327084412536,0.9653218189045796,0.005320499836185159
Local Model,209,"(841, 22)",1,Chemical + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8973499134307599,0.8869765908761197,1.492691163388283,0.7048883675887709,0.03498865622512112,0.016715293441689937,0.9188618847328269,0.07784103436098588,3.6038910680675724,2.4442412886385676,2.739991253989085,1.8779580478883264,0.06441164745550793,0.04295884361429857,0.6512456800327968,0.43107082369422967
Local Model,209,"(841, 22)",7,Chemical + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3035344518655174,0.18129953924922967,1.049376141778354,0.15695982311699824,0.024345925341266197,0.003583402727937697,0.9660278007322779,0.005762013535220592,6.729123013562059,2.576487342147472,6.033744425773621,2.6428708621721824,0.142387923247964,0.0667028231892902,0.027978645934412703,0.5179326591673288
Local Model,209,"(841, 22)",7,Chemical + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.4487536655092625,0.5181472130262875,1.2173243130869587,0.5020711721657132,0.02756651069790945,0.011383508451646306,0.9555313120184241,0.03175532103169483,2.108027002739588,0.33292956666122886,1.748037047733533,0.27954919561150876,0.03989456069199091,0.006522297412848662,0.8841893995975799,0.03371338819333528
Local Model,209,"(841, 22)",7,Chemical + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4257859079937716,0.25733021335669704,1.1731800411457771,0.2446797976498481,0.02654417436559021,0.0055347476261996325,0.9584238551974587,0.015652159618537845,1.8207822457544542,0.20345828044011063,1.4562897158220645,0.19120019035771624,0.03328600406744,0.004170549029807538,0.9317134958724548,0.018574015627286576
Local Model,209,"(841, 22)",7,Chemical + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4694735038178879,0.32137706612468553,1.1705144603005064,0.2985563784925532,0.02605358292526479,0.0064784210125564115,0.9583689440187845,0.019075694607221975,5.302385408117669,3.1175490599267377,4.055781014864562,2.3025300605724914,0.09715319909345081,0.057289029616624194,0.30436211597174817,0.7120120329164421
Local Model,209,"(841, 22)",14,Chemical + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.2644353483310686,0.30299906126149684,1.0419407800852223,0.28241952219128724,0.023607212822488094,0.0063345632194468406,0.9678712201152647,0.015267193173555463,1.8755484267742848,0.4230664348096209,1.4607199478149413,0.31856458006193206,0.03479391688096047,0.007833358885901144,0.9023437073895981,0.04139022093522037
Local Model,209,"(841, 22)",14,Chemical + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1010770416639843,0.1451766734509466,0.8907164361543791,0.1275671448218075,0.02072772214811803,0.0033551212780551357,0.9752297697211006,0.006818908081051279,1.5519544603188915,0.21191051552493653,1.2591370354146103,0.17708268199581761,0.02937470726450319,0.0043604109655979535,0.9488790282292511,0.015576209145221448
Local Model,209,"(841, 22)",14,Chemical + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2578274605624087,0.11216487538732305,1.0115633304199643,0.09842352603883017,0.023361737140301174,0.002935649640027509,0.9697812481071932,0.005584003136456091,4.677217425602982,2.365168061998267,3.7137232223359673,1.7987105489427289,0.0885559662504917,0.041210008055490084,0.47635730909159624,0.4709149369303962
