Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0263702304523077,0.8123068882440001,0.01653044775878612,0.6795918518091777,1.2679595887015225,1.0156147471361998,0.020771023994755607,0.6726068232954929
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0718750450181185,0.8548043107645774,0.017425750046916967,0.703939468900958,1.0999014005579069,0.8156782474724568,0.016565633710318026,0.5168052399426397
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0844498185296718,0.8574761361262675,0.01746123357880485,0.7004658304833244,1.070614025114613,0.8244207534606675,0.016824039459493012,0.52107612250481
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0669613097751907,0.8351357390480119,0.016977463940758584,0.6835288427607071,1.1127946731839327,0.9047262993692267,0.018665959983249148,0.6562735020250725
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0696427734791902,0.8502996178264097,0.017381326186672503,0.6641850230848987,1.1022955174599685,0.874144010362629,0.01753316843505764,0.7168119016161707
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0918960655252727,0.8610251489011588,0.0175285315279578,0.685465427460757,1.0295890160703058,0.823772507427969,0.016813661194059998,0.6390947966001073
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0852688514833913,0.8518225820594113,0.017337598721360887,0.6730712944671907,1.0648474829367847,0.8588734749955479,0.017563689238528243,0.6945890671226376
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.045541286986457,0.814615995203836,0.016632229891682164,0.7006829243145365,1.208826712056826,0.982491286971526,0.019822732639937578,0.575724737688627
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0465738152500732,0.8408450336824368,0.017097635618389496,0.6833541927322182,1.2037474591886483,0.9296612747523617,0.019202146971684507,0.6491044883004803
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0365400765943529,0.8171854388137362,0.01668899077090337,0.7017314135827234,1.2584654482896676,1.0009954457170687,0.020197604456626564,0.5604002263157492
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.067794304672046,0.833248627184417,0.016989821076551403,0.6737484184372924,1.1329456363522536,0.9037209946920963,0.018332711495457683,0.688541332819592
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0926272030559494,0.8607419565015534,0.017541656359762643,0.6726272145090483,1.0008633309286497,0.8205469350732104,0.016701307502517075,0.7166582616960449
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0753570745077834,0.8499655654781492,0.017319181008902545,0.6840757766360381,1.0782775976255252,0.8557391616975928,0.017514963236167882,0.663730607781028
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0436460459820056,0.8196995476424093,0.016716868849079247,0.6948326787423795,1.1934191988830207,0.9546775176221362,0.019330524733905584,0.6295086052751008
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0475192635142228,0.844026186847152,0.017153471422333994,0.7067295733877992,1.1790248375511834,0.8736390869932236,0.017946813968823274,0.5305118016948531
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6408576864038219,0.5192683384778883,0.01083672279285814,0.7880436032819919,1.4144524739115714,1.223307323301368,0.024163172935812063,-0.07262859874700078
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9873105313636618,0.7408974819995262,0.014626221708951129,0.5460542073632604,0.8171717063712338,0.6921882130465965,0.014002510242369676,0.6995036810378467
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8724183118573168,0.6864365433748053,0.013953354690937367,0.7291287281731538,1.7250055311506076,1.333728934979107,0.025519743670799733,-0.564984469978187
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7056910089216187,0.5586113645501394,0.011423634998689852,0.7052299442347518,1.3068307432155808,1.1149014347427748,0.023178915588995413,-0.09071783014825896
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8331390336277954,0.6721753725866823,0.01423177784785856,0.789403753782305,1.139894330761037,0.96726996901057,0.01949397934062398,-1.505794941520909
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.6536088131549745,0.5320610586649168,0.011060917197610445,0.8317143347932134,1.6618691814080537,1.3625066558859726,0.026875230884729793,-0.5360871351182821
Local Model,209,P,Chemical + CS3 + CS7,"(294, 13)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.0239709360530227,0.7742251057736269,0.015620355331699764,0.7299183916906722,1.2651462082142764,1.0333958230721565,0.02123831658670934,0.24478874236350778
