Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2566773971704857,0.9821607486413381,0.02111195468935898,0.9630108295704808,1.2736578383712225,0.9857487733902479,0.021507592545813362,0.9633782195893892
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2224321026189602,0.9404089687905581,0.020347114825085673,0.9653781255305126,1.4146238348076936,1.058346252441406,0.02286756838869553,0.9529144641319697
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.208129446393516,0.932402786723246,0.02009473841656636,0.9660213629310794,1.4205587911834123,1.0727059040254752,0.022788516040374806,0.9532566324708939
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3008449828552158,1.0101647526459079,0.021749968408089956,0.960488760674773,1.2913054702293287,1.0071576066001713,0.021518236874869697,0.9619747241687299
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.268484095552649,0.988283510470043,0.02128249522535424,0.963027568592342,1.2552879387240703,0.9454374788648502,0.020725198431144422,0.9616292971372362
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2357489075390338,0.9548394846935466,0.02041614705772175,0.9643185999937152,1.4175216061889224,1.0604503016318014,0.022929219125104216,0.954247610783729
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.304603001952542,1.0108931360267877,0.02163500979929638,0.9611536943809869,1.3499643930788452,1.0510836004441764,0.02202692075262514,0.9534390995748079
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2551833206020948,0.9634181655859131,0.020472705733024614,0.9635731562023456,1.2379439271131754,0.9707135049270582,0.020856590266523888,0.9636529069295541
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.245525770160561,0.9646865659846242,0.02084713763154666,0.9640706650528988,1.2973318901981203,1.0104014819493954,0.021790547909507792,0.960365835608456
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2804308385991485,0.9976439560749997,0.021223284173106025,0.9610436945515352,1.391175707815765,1.0426017995791155,0.022534376428416537,0.958492306714108
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2675809360554684,0.980630816966175,0.020929898010059282,0.9615071710550228,1.4621315786910882,1.0289878303773927,0.02288499098133395,0.954806238142845
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2530859999593118,0.9762935314625628,0.02106890354935016,0.9636245200196077,1.278117941014405,0.9833576793055382,0.02095686380897616,0.9614565125222766
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2375265284817627,0.9626789185457738,0.020755048793290647,0.9648284293622118,1.2983253875786627,0.9621921144257086,0.020506745598899884,0.9586705875610575
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2866352266833776,0.9972890203719376,0.021367081539017396,0.9620506185823245,1.4037731051548008,1.1079068946221113,0.023471705552306002,0.951152964468144
Local Model,209,Q,Chemical + CS7,"(1547, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2572247208148304,0.9742924211098417,0.020866548591554342,0.9632533104072987,1.2879581417676091,1.0011852326130781,0.021708657896482728,0.9613388690275022
Local Model,209,Q,Chemical + CS7,"(1547, 11)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4056961648159636,1.1151019677654261,0.023820890078140252,0.9536938237010659,1.5229391092112305,1.2092985153198248,0.026317194061850832,0.9479613710192166
