Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.262461131450214,0.9978439614405012,0.021782878386559814,0.9626695680150286,1.2861000700874206,0.9772212780668869,0.021421074348582862,0.9626592159521217
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2500120934870798,0.9705207156708086,0.021156117109807512,0.9637982542636867,1.330870269504923,1.0840997587740389,0.023882912907318875,0.958324864376295
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.245841486245138,0.9748908121077869,0.021408514285418387,0.9638669524485353,1.3490168691278273,1.0552413281106954,0.02261026705223953,0.9578462385322688
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.284499269652514,0.9995500092680532,0.021834002349496624,0.9614754758650673,1.1981478503232075,0.9555832766812475,0.020904702936150023,0.9672632759738897
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2771991815303287,1.0060206152883524,0.021942822662009587,0.9625177871698686,1.2218989505276299,0.9338536292288447,0.020550545594308925,0.9636433695181061
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2446421027809054,0.9721147680159827,0.021174597236770926,0.9638031822192282,1.3519166194676104,1.0687740150201004,0.02358336972397977,0.9583845861787308
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2802581131709077,1.0023360394608496,0.021994516978717016,0.9625899706463582,1.2112665847042043,0.9573243077438081,0.020518088502449912,0.9625151121248812
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2805265408208137,1.0064584090114659,0.02198490518641506,0.9620873280547462,1.2126280230462594,0.9403987066632747,0.020629750979104366,0.965124299758472
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2636138970396116,0.9869681292176387,0.021604821656000722,0.9630195211506775,1.2770306669404747,1.004459070916943,0.02177601236865396,0.961596556113115
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2524194480686082,0.9813818542946836,0.02136271708886253,0.9627295087219244,1.3205067569761542,1.0265353626135367,0.022709264144505758,0.9626022147515217
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2646480473629307,0.988992292355487,0.02148489496796775,0.9616850919638922,1.2750684646337553,0.9961799237236113,0.02231616173015429,0.965630549519727
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.258712220833896,0.9852648437176349,0.021545290200833605,0.9632971427644828,1.2977069540908148,1.0226414291693988,0.022223999360410387,0.9602659888425993
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.258425794979856,0.9909359072384561,0.0216964781036992,0.9636304480122817,1.2987554422087577,0.9950290412032117,0.02148149898924796,0.9586432032873702
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2669281442454114,0.993256259497291,0.021768962962955878,0.9632042386418722,1.2667573346046743,0.9966876581697607,0.02150346111547623,0.9602230726496235
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2724508840951838,0.9917944536795391,0.021661370816531102,0.9623578472702985,1.2475858505980328,0.9868479410819953,0.021634422995748945,0.9637246227147345
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1758415083474572,0.9278858323169448,0.019422977754583886,0.964744943756478,1.4277538127261276,1.0399072794330164,0.02124862759505059,0.9525156962763608
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0871640964398166,0.8446359093440271,0.017929150532109243,0.9743941729109887,1.5707991288104997,1.17010733757417,0.02547197252140417,0.9335354048883777
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0481509816599954,0.8414280019814104,0.018958451080755164,0.9758255990746639,1.2312103030504629,0.9651237378900284,0.022119040582941552,0.9706499760153783
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0293910748338415,0.8301189581155749,0.01899487204364052,0.9759524262861713,1.3044765544909769,1.0307238717105118,0.023415528680030946,0.9291475307176161
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0948500265429586,0.8699168065533334,0.019416137519676625,0.9652974195777059,1.3802164169506252,0.9251458132372131,0.020421231082933266,0.9447505169982124
Local Model,209,Q,Chemical + CS3 + CS7,"(1547, 12)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.1947802871913513,0.9259916193827805,0.019324635759682657,0.963982131689106,1.3957717328061165,1.0624394593329374,0.022111872625074528,0.9577456164076534
