Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.247429332463102,0.9658708114848034,0.02060369596645022,0.9635532433061982,1.2930871787389606,1.0148904595213444,0.021839938138823293,0.9622523847269377
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.265533582117599,0.9696091221115553,0.02070061082594705,0.9628936332687715,1.3622995776752194,1.0507132427505814,0.022415777814621812,0.9563332551028638
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.231635362482451,0.9620249478295544,0.020595366117622773,0.9646862925549332,1.3869452219625107,1.0783756292699633,0.022819189680753336,0.9554425641726253
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2689393652491463,0.9923890030134692,0.021210915559242604,0.9624031638017438,1.2333304130507916,0.9666292535128467,0.020653238908371455,0.9653124781897996
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2746852256796184,0.9967087527635197,0.02123039671308345,0.9626651970536984,1.2319512269370432,0.9431268543743537,0.020387030812514487,0.9630427139499189
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.254052588427576,0.9764241823926415,0.020818565601098574,0.9632537594589198,1.352455080467253,1.0309380979202392,0.022204865226992495,0.9583514291932316
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2472700449458891,0.9660032245622471,0.020711957644598704,0.9644930016433804,1.2671197215094878,0.9827399706805038,0.020638934360063955,0.9589784521061278
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2655542540010742,0.9770230737681871,0.02083550377586408,0.962968716887284,1.1862411018075136,0.9437689579605227,0.02039400335334554,0.966625584294692
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2369105235365363,0.9606103566699555,0.02059160796013896,0.9645659892789801,1.320519570127553,1.0309467132901564,0.022015028351701434,0.9589363828193325
Local Model,209,Q,Chemical + CS7,"(1547, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2357894557615714,0.9582505990841332,0.020484393400720714,0.9637127144493689,1.3179621749655814,1.0230881494615616,0.022028608474779075,0.9627462049946482
