Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1547, 11)",1,Chemical + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3177355606814665,0.11662373374928245,1.0195730204717346,0.08024689276272622,0.022257880200594365,0.001709497704155737,0.957921010053283,0.007546478420901749,2.1000866739193884,0.4515810812909004,1.5467555733137242,0.2975234930477284,0.034501813684581176,0.006893975374785208,0.8776494209579135,0.04417191883163113
Local Model,209,"(1547, 11)",1,Chemical + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.2159689193168801,0.038194092758592764,0.9445948852358148,0.0287938397932605,0.02031749311635798,0.0005782278129426551,0.9672312604153493,0.002077272635709982,1.3714645516968187,0.014729831948238927,1.0310405628655535,0.013818065650947885,0.022772233756892597,0.00031926625373240397,0.9454367240716802,0.0011678134583039815
Local Model,209,"(1547, 11)",1,Chemical + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1886280452369269,0.033804793981861536,0.9173293094404167,0.02748539478571905,0.01975680711348736,0.0005773380501556196,0.9671335667396963,0.0018771497752790023,1.2808037208111942,0.08044161176912046,0.9755054016771694,0.05760318641109751,0.021067321812584344,0.00123137235587542,0.9614493878070702,0.0054864803410556665
Local Model,209,"(1547, 11)",1,Chemical + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2671533354599622,0.07218229813034703,0.9759229410650792,0.05731908281381519,0.020586836929126984,0.0009957318807051775,0.9624916129456977,0.006152828933798767,1.7578659418718567,0.5793901134010723,1.3601485432230236,0.43497171110738614,0.029890165171329582,0.009103634824633586,0.9170203177993153,0.052214191410758684
Local Model,209,"(1547, 11)",7,Chemical + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.500692842617952,0.20469884261285604,1.2512950193135852,0.19584871104070617,0.026876854744019633,0.004247238107040374,0.944488021666762,0.015886249539972995,4.216219572760801,1.2633544900851854,3.315074449943774,0.8556289024529666,0.07311380524364718,0.01879261749190629,0.30472973924017666,0.49411155678620916
Local Model,209,"(1547, 11)",7,Chemical + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.0757966745135181,0.038828551308596505,0.8481154216779915,0.04064980354950412,0.018560160058590753,0.0011171711035369708,0.9743629352384512,0.0018390194186480792,1.4841012761922416,0.07310284225452589,1.1909670346403758,0.040597612051828755,0.026355118439636064,0.0010953851486712278,0.9345013736764923,0.006326885881496131
Local Model,209,"(1547, 11)",7,Chemical + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1115307785505049,0.12691443483013165,0.8621247896745186,0.10435543783965684,0.01853614169637057,0.002116583594295081,0.9709214298164599,0.007060896738196269,1.4212020527958038,0.14530807615237903,1.0911957028720638,0.10858324044691847,0.023680182658123956,0.0020256979271711436,0.952341173687578,0.010230308999853907
Local Model,209,"(1547, 11)",7,Chemical + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2307509125918914,0.18739689093024595,0.9702320068910875,0.15982310054297663,0.02055233004436993,0.0030669487963758406,0.9636239959516469,0.014087141098728757,2.9559787664026067,1.711451403799285,2.333922464006283,1.3124376271255254,0.051720086593120745,0.028057442809097884,0.7307075817141936,0.32424743401477135
Local Model,209,"(1547, 11)",14,Chemical + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2446732751008545,0.2503832356589682,0.9976183415681893,0.20633658579541048,0.021546260449194,0.0038628177361378483,0.9598366508592707,0.017170035456397892,2.9437060128678927,0.9353250166741168,2.312629096476423,0.7944156761445741,0.05069917049285702,0.019849410717776014,-0.34650285107356843,1.4101388015733354
