Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1547, 15)",1,Chemical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.411171737842226,0.3364520110092147,2.6267480137216257,0.24318757663047658,0.057034107912974585,0.004906062626038761,0.7198277981209925,0.043730871980800515,6.704502550855791,1.730236577419672,5.1981999415736055,1.2992633687255446,0.11187984873857207,0.026975934646931696,-0.4516343386345173,0.9278291083799538
Local Model,209,"(1547, 15)",1,Chemical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.1889492675326123,0.012389411192766098,0.926965637535973,0.012345621221204138,0.020040564453649694,0.0004729733780480003,0.9686988479948738,0.0006545518445379878,1.4584377310912313,0.03837754163828832,1.1480298548872747,0.047584932970672726,0.024949286865181265,0.0011251494819695981,0.9382612875067778,0.0032227364270498216
Local Model,209,"(1547, 15)",1,Chemical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2400407650304575,0.042216020768859414,0.9669684321640701,0.037789444724688405,0.020871195209702695,0.0010484533890612105,0.9642189496342766,0.00242619561293503,1.3222021412332914,0.06975133367441863,1.0221307091802387,0.058978303410060884,0.02206199467026766,0.0013191675548258547,0.9589235939756761,0.005360330664026792
Local Model,209,"(1547, 15)",1,Chemical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7813214907872914,0.7014127149687399,1.4009422746957465,0.5579069652474514,0.029972742677271753,0.011612558181354041,0.9117431153428639,0.08309942122660384,2.838129481211672,2.1141352356829564,2.124725697142605,1.5238413708499787,0.046574449951653114,0.032063571559038107,0.7194902132060695,0.40571731656591403
Local Model,209,"(1547, 15)",7,Chemical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4943940692524476,0.2771563004012022,1.2120626655589712,0.24394762770286293,0.026753995058846753,0.005820057152455942,0.9445257886508445,0.019669918854819238,8.561748374561107,3.791975376480568,6.916970210612905,2.22828528710406,0.14859723003654474,0.047634067530430216,-1.6286415916093935,2.1146678566807755
Local Model,209,"(1547, 15)",7,Chemical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.2595954015559339,0.17266503176554715,1.0023684463313212,0.14619707948250504,0.021430117087571837,0.0027552543891075977,0.9642406435440521,0.009947194683331174,1.6454156495510637,0.16343947643622544,1.3280061817604647,0.1448724722125192,0.02897946842324427,0.00331320066042564,0.9188912182814114,0.01586505459979455
Local Model,209,"(1547, 15)",7,Chemical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2679903189483521,0.23056612429448303,1.0148136152598017,0.2069036399549244,0.021690904782410644,0.004187364311491066,0.9613746692618492,0.014724134608099149,1.4098046138794256,0.1950536938799162,1.1202526351816655,0.175066313234999,0.024120868074833633,0.003543164152545134,0.9527209184114024,0.013928536771989906
Local Model,209,"(1547, 15)",7,Chemical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4031273160430757,0.3089835556552314,1.1335340244086656,0.273944851841953,0.024033581096820664,0.005350890543180241,0.951197461773012,0.02675206571192236,3.5254537673174324,3.1960191886774463,2.7225925930773363,2.3369448796762553,0.05891397582068688,0.048756068472925206,0.49722711334402675,0.8490254276759596
Local Model,209,"(1547, 15)",14,Chemical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7506372100883316,0.39957036553582714,1.4491863190822114,0.3736540280956695,0.03098174171113677,0.007501007841324108,0.9206498132390267,0.03568366145313906,6.132460793908982,2.4954320676202086,5.090643194804148,2.1737386097230114,0.10805100351063525,0.04550631013139959,-4.963445819728,6.9733765152188
Local Model,209,"(1547, 15)",14,Chemical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.1771779637054893,0.06714712901036428,0.9355243893019939,0.056327176496500375,0.020409625331013273,0.001259687507508228,0.9692889389411431,0.003461672367409491,1.964598472298313,0.4220853794042854,1.5836557029358118,0.3608747939939312,0.034521955918166015,0.007912404926111146,0.8764126897274244,0.04702120427406814
Local Model,209,"(1547, 15)",14,Chemical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4325183818480336,0.323459693711077,1.1710825085075092,0.2947664112252997,0.025103997895430545,0.006007681260639681,0.9500526458556673,0.02144579977270463,1.6024628522903663,0.23858672466957714,1.2874959427720294,0.2032447119251851,0.02759941105391094,0.004015072380520349,0.93771295074384,0.01977091775788308
Local Model,209,"(1547, 15)",14,Chemical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2830055425445692,0.2672788822901507,1.018429503310195,0.22361770651837753,0.021469039429362086,0.004231221439369383,0.9590514947376151,0.022278372027848173,4.3446680617868765,5.076976409071081,3.6624364847141013,4.443926347395688,0.0777135432062487,0.09043183740133447,0.004018225752808946,2.0612807912698754
