Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7972021704222724,0.6001869507856589,0.014584540314487363,0.9767048392970015,0.8049275655873048,0.6292587458888012,0.015630525026225,0.9772218180949114
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7539379124263225,0.5585071633890721,0.013832935118461044,0.9794548686711081,1.130357909947256,0.6231950868332266,0.015446771275524452,0.9525172359571931
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7005345621216316,0.5314048460893409,0.013158023917106769,0.982176026233858,0.703614646342222,0.5197425765736059,0.012956150674243765,0.9820693233235425
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8062985926483248,0.6181855759891773,0.01503208955090583,0.9764877675617665,0.7361473117796841,0.5695410253212213,0.013907815998911496,0.9800272302761137
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7262718924255802,0.5610696352445157,0.014267847129334483,0.980883796835748,0.981920072228214,0.6769552326521375,0.016940894055452037,0.9647605364793863
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7151251250477131,0.5530195762481188,0.013930394311556597,0.9815442812573227,0.7413809175922691,0.5644671972778701,0.014320701354165266,0.9795686614620608
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7043345558107376,0.5223207330225306,0.013072751532630466,0.9819682931096522,0.731977198020405,0.540440301033964,0.013396330981146384,0.9806513431944732
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7399737755717167,0.5623022513246067,0.014196989649818447,0.9800543956581584,0.7891836112183307,0.5657748219161507,0.014225593886897274,0.9775690679050688
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6791346403647471,0.5063124532284942,0.012594539904873943,0.9832566723020598,1.1323178831300715,0.590140109875528,0.014967424302893224,0.9534578546717338
Local Model,209,S,Chemical + Physical,"(1495, 17)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6643692343280184,0.5104125638470599,0.0127948315137126,0.9839503611244041,0.7069728234072624,0.5514429022237229,0.0137086115053851,0.981833310526096
