Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7275401307805657,0.5494482397634449,0.013479257485335771,0.9805981709552037,0.8332803056054746,0.614874989691385,0.015349795058745641,0.9755888808312957
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8329167752427924,0.6277290044420932,0.015444526632680741,0.9749249981189236,0.876283015200352,0.659694314401683,0.01587839941834521,0.9714640178700193
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7831334407163082,0.6002519282210225,0.01467861857090717,0.9777250396786981,0.8010738259491552,0.5892340491049279,0.014403338754360001,0.9767580789708555
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8694866040538105,0.6840540748774795,0.01680968359576674,0.9726581526944693,0.8096479498236455,0.6424839951122902,0.015909271738910307,0.975839758289864
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7606765914737617,0.599903333147234,0.01524209881933911,0.9790297664411346,1.0023021705239166,0.7105132393215029,0.017774669577697938,0.9632823942732927
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.725147891972476,0.5498456540315053,0.013573617802699648,0.98102332729542,0.7623615093006614,0.5978513864370439,0.014946131628968058,0.9783959121190624
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7399480655027971,0.5635217551802307,0.01400016686957409,0.980098705557798,0.7550586686905414,0.5673139948510021,0.013976509134138991,0.9794118600157609
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7162907899566399,0.5418631097544803,0.01353815726907134,0.981310689629328,0.7527957706233211,0.5538832112698255,0.01375997179596103,0.9795898805710628
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7677515744124684,0.5850370400725392,0.0143904647107512,0.9786020857476174,0.7853707382613428,0.6257163720784765,0.01543033530685318,0.9776097420287087
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6833566358788673,0.5307925170081893,0.013234372554292821,0.9830198676339766,0.7383770631626526,0.5561320454779309,0.013819710726022597,0.9801835092665833
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7184288699859749,0.5504945831553982,0.013612285118443342,0.9812655519209159,0.7552767145998746,0.5896913917567017,0.01469156234075407,0.979224443873559
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7114132676471152,0.5380956815636684,0.013456402814971983,0.9816334759444071,0.6757190478142229,0.5372400315708924,0.013419297746629878,0.9833054380203385
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6678445950867746,0.5199660106646178,0.012949064723712638,0.9838188684213636,0.6942558558958424,0.5291557567175418,0.01348889802881919,0.9823329867062779
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7132874609910802,0.5503262612333264,0.013653858735340954,0.981489707063279,0.9341961705963231,0.6140977483130609,0.015167223112210328,0.9685933950401948
Local Model,209,S,Chemical + CS7,"(1495, 12)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7370430863927354,0.5608065008718426,0.013922428934059252,0.9802890940015352,0.7967253310613674,0.5876761981874806,0.014307946213651791,0.9768739328744942
Local Model,209,S,Chemical + CS7,"(1495, 12)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2300083710919634,0.9670865213548818,0.022732118352302492,0.9444600005605912,1.2880595321450758,1.0313193955903242,0.024787764303150432,0.9415951849614499
Local Model,209,S,Chemical + CS7,"(1495, 12)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0381285389652664,0.876870645059122,0.021702932695587193,0.9609836452837672,1.166445379674036,0.9732603279140355,0.023812645432822917,0.9490339339013351
Local Model,209,S,Chemical + CS7,"(1495, 12)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6915047183055398,0.5595011453370791,0.014298398681941634,0.9826011415950008,0.7898945335692088,0.6366556546413952,0.016358495817715223,0.9773418349505669
Local Model,209,S,Chemical + CS7,"(1495, 12)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0695272492321735,0.9312997315381016,0.024089267925522437,0.9585473771574357,1.1664814428675445,1.0374534287934551,0.02683492493085762,0.9496042029488982
Local Model,209,S,Chemical + CS7,"(1495, 12)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9302508061671333,0.7757355103621617,0.020593266099123785,0.9685589026361365,1.0699585053468421,0.8830346695637428,0.02297357231517865,0.9574689208356975
Local Model,209,S,Chemical + CS7,"(1495, 12)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7317696851176823,0.5941439641488572,0.015361785442544578,0.9806517125119046,0.8715214685544641,0.7091872717029943,0.01832623613667582,0.9716194212087783
Local Model,209,S,Chemical + CS7,"(1495, 12)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.13301967781884,0.9771154764536263,0.0257701852540395,0.9532851684149541,1.22966764087479,1.0540998239550439,0.027757115615998224,0.9450262045078375
