Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0222399845805512,0.7283979151617823,0.018104710100323246,0.9616968497176686,1.3098822557080356,0.8242272560662706,0.02071751919447955,0.9396787998199092
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0998795466186007,0.7693660457806744,0.019315764597200497,0.9562751822284368,0.9763069245947029,0.7422208051847106,0.018302029237827262,0.9645776984636806
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0623418914489782,0.7380761518453571,0.018429923334878823,0.9590103683672497,0.9710502975514695,0.7474173427032367,0.018558560813785846,0.9658484524131733
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.039736688891689,0.7518376416011565,0.018713605814935173,0.9609025168576032,1.0627942806836244,0.7093752927796131,0.017889506242064323,0.9583699194584806
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0155447166389728,0.7291440366277061,0.018175358697181346,0.9626232732027957,1.1463447302839265,0.7864516466049842,0.019634271456436297,0.9519705636336737
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1018274843878337,0.7661299116339376,0.019169044590269486,0.9561878977653916,0.9676120808767457,0.74999348749244,0.01873220510096442,0.9651970083869733
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9511445843352687,0.7144929219445249,0.01775723475043039,0.9671169626423658,1.3552969347697674,0.8775193090203777,0.022221562319074472,0.9336677653015023
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0714203907387942,0.7477990874392108,0.0186924442466828,0.9581847827941488,0.9258962553370357,0.7229757927287981,0.017908709650891377,0.9691243676914701
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0296289496796351,0.7360945965603686,0.018345732237952043,0.9615149990753378,1.2787783440418905,0.7961642898745442,0.01980447051631675,0.9406391363274634
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0800924870386912,0.7504846440253385,0.01871110019322023,0.9575802475631112,0.9060186198900649,0.6818427446962149,0.016955013436849707,0.9701637250948603
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0206840108600448,0.7411524640103746,0.018425797511738604,0.9621857079431019,1.1291372653525158,0.7469334331218549,0.018869595640967643,0.9535662297031706
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0047441686227137,0.7404167494154097,0.01853853594027085,0.9633651818776057,1.4804275501348356,0.8967605272877188,0.022273371204562624,0.9198659628406032
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0596145397824548,0.7357185205004007,0.018315558927152163,0.9592662985279417,0.9807544952934822,0.749190593603964,0.018774655351609836,0.9647430574973551
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0871918673077423,0.7625345592772016,0.019012835204484546,0.9569972229304016,0.8793737436429068,0.6896362076918517,0.017404817616567776,0.9721713707391111
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0677417922497878,0.7432831523515867,0.018618025953305042,0.958633067602004,0.9384208938448056,0.7385091861158426,0.01813174393092905,0.9679166382072327
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0446013798625888,0.7652998562268076,0.01936246731928322,0.962467222038632,1.3840458086354748,1.0529444809462813,0.02511190823555886,0.9392204172354313
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7449492064389336,0.5683529760883179,0.01436516864071445,0.979074379109468,0.9608989116642057,0.7511759686901077,0.018018913701639813,0.9675964399797198
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6441931786819833,0.48079811664088346,0.012210353577494037,0.9832703709960307,1.6918254636994294,1.0470612088816365,0.026159342068902875,0.8951340773067648
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7876637409828956,0.6240059943948777,0.015550442217581839,0.9758234227536311,0.8547403011415499,0.7195931786590519,0.018470591300641957,0.9716574302156565
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.395979457705389,0.7039642433248318,0.017804437811429877,0.931584278195284,1.0032130057755761,0.7935155965532937,0.018348242055536496,0.9709635720978691
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.0345730963169664,0.7536887327778318,0.01906604486572807,0.9631037070757961,1.6939951892715317,0.964029427843905,0.023358527067451465,0.8978716474727446
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9960697360641062,0.7458194639542014,0.01878051306064064,0.9653950901847284,0.7751444711375984,0.5931792015002673,0.014826479946836262,0.9766295680494724
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.925788759580385,0.6859929459266615,0.01725073631631939,0.9690501931892715,1.0953133632355192,0.83098531111035,0.020462037335102795,0.9541538950905919
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9601236579527485,0.732644579051683,0.018378026077454073,0.9663024840944286,1.1952329193895899,0.9309147158149623,0.023011520344641857,0.9435000782536365
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9577562413153439,0.7401572473039622,0.018639027691360652,0.9659611420879305,2.1052259597926986,1.0754998106215934,0.02588527580128294,0.8547681029261524
Local Model,209,S,Chemical,"(1495, 11)",,Decision Tree,,,,,,Out of time Split,"{""Test Size"": 0.2}",0.9645989260088867,0.7448875475939868,0.018767303304130553,0.9655367694835085,1.9478768676895937,1.012533691914008,0.024494338066433377,0.8724240231987591
