Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7576852396662254,0.5850552025876382,0.014786262990878905,0.9789570598585505,0.7782169527883075,0.6085324126277712,0.015609496905232728,0.9787084719766352
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8199873269779474,0.5998002561964683,0.015210297448259988,0.9756974392773398,0.7449514669996028,0.5990985655672708,0.015024443503429711,0.9793766127862125
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7736357283280979,0.5954629640446678,0.015081169325163955,0.9782620574238245,0.7353366137826023,0.5731782075482911,0.01453641900343614,0.9804160938615865
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7755289962611595,0.5942803117519242,0.015039940054153635,0.9782480526432961,0.7527992052066497,0.5827993840751625,0.014829283531276435,0.9791134294323669
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7429864806418461,0.5825642158984641,0.014790267536563664,0.9799937824631599,0.9766333255082031,0.6499928056784745,0.01626953785399202,0.9651389798775558
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7663082787331038,0.5895270621321282,0.014915031843041163,0.9788079034192121,0.7939798142148269,0.6091957827860709,0.015548951677575239,0.9765667279038254
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8058121541568112,0.5994114181667418,0.015162721555755095,0.9763981267243671,0.7626037188904261,0.5855984249046279,0.014814608164935652,0.9789983433463592
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8108313455187738,0.5997234561431724,0.015174357296018784,0.9760516497439411,0.7947783731190506,0.6042380990555801,0.015303244692999892,0.9772499012089743
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7786720318528152,0.5862076105798291,0.014815021551497701,0.9779890309257171,0.7821695688479426,0.6164076065667553,0.015729023519327763,0.9777918953275294
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7651491812330634,0.5952336432086713,0.015133473800451111,0.9787118228794314,0.7422043154309387,0.5652095344308614,0.014151758383703942,0.9799775460214829
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7593813775933669,0.5899340411290249,0.014938523820799611,0.9790688429456489,0.7751430634683469,0.5857780530135015,0.014927587501202462,0.978117134199145
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8130491476735572,0.5961144045155536,0.01508083683083699,0.9760107511851225,0.7905647432863898,0.6142983218182,0.015484243609842732,0.9771483485881075
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7616702270673626,0.5873564542187791,0.014819950336087804,0.978952911951723,0.760061852805414,0.5946423099054661,0.015380198009756041,0.9788250738365737
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7524677886692479,0.5824778617509392,0.014782281746529517,0.9794003453372657,0.958080733937954,0.6573036981995132,0.01647659022179051,0.9669669221791366
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8166553618531464,0.6072899807862236,0.01541732374124215,0.9758009415313736,0.7335677537481345,0.5687466398585566,0.014206941286241141,0.9803950835478874
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6271542310397212,0.5034493889811189,0.012846023693020339,0.986471232528386,0.7552616071509994,0.5849923539963914,0.013862658348890054,0.9819011240956417
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.662398274710997,0.5088547932963637,0.012843358245600754,0.9834551278903413,1.0800094149877628,0.8936812844902047,0.022822745819874667,0.9590652250967122
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.5800008044600607,0.4712591236100731,0.012081594628393345,0.986438389765819,0.8655536213157764,0.6707941421177535,0.01656334129558407,0.9725519672383331
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7132830221068658,0.5492375221670459,0.013890620643586067,0.9801739187055155,0.7469723205678459,0.610976893077906,0.01577009426604156,0.9783538890646545
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8732281731350717,0.6936063262520069,0.017749124353426345,0.9732296939578192,0.7040000223113936,0.5327930830483589,0.0128421302775941,0.9857011132612609
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.6251548450380963,0.502614257278331,0.012816775808801332,0.9865278913964459,0.8813469598111693,0.6740605434242076,0.01667380907764136,0.9723550504070182
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.6889743188905824,0.5397185485370102,0.013555009910511454,0.9834436613872144,0.7219470342603473,0.5790266985833098,0.014867516272166228,0.9797272761120233
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.6884050849842841,0.5398080645157429,0.01362503989460946,0.9828871527147021,0.8298775443249521,0.6350425827335021,0.01574008664256561,0.9736819506063884
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7176912668608882,0.5625551429161284,0.014167152361251031,0.9811713636349196,0.7986480926214117,0.6217189599518134,0.01611543452854823,0.9747736932894812
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7255721618203691,0.5669694558484577,0.014353850858666934,0.9804644239525427,1.060652922081154,0.7557540952581703,0.019009174637018667,0.9631352610880022
Local Model,209,S,Chemical + CS3 + CS7,"(1495, 13)",,Linear Regression,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",0.7156124970262372,0.560512910239206,0.014163404620452104,0.9810321428909459,1.0478601189475192,0.756378434768287,0.019139736245470138,0.9630807792939504
