Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7614655428766467,0.5632192968923515,0.013807629096937864,0.9787465578312671,0.7552825188700163,0.603537250123292,0.015125529608382057,0.9799449235502312
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.807600550705206,0.5831100852991825,0.014601767598106968,0.9764261253959177,0.7522566249331241,0.5956931736158252,0.014691631609584975,0.9789701546590446
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7680566367594944,0.5818147499824436,0.014473851402460275,0.9785744542491001,0.7659903925363588,0.5738541976265285,0.014248542337207704,0.978749283265266
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7624276496776624,0.5769844087071228,0.014341197847659082,0.9789767749968418,0.7185454030815734,0.5453764236092951,0.013620488216286778,0.9809709431110268
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7915550116093798,0.6216280021795048,0.015794159374348565,0.9772927066910748,1.0061900882578656,0.7012517539952537,0.01766163841111802,0.9629969875223968
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7960874142371077,0.6077438118465769,0.015001579879024389,0.9771288287545735,0.8186458127354466,0.6237919274779787,0.015634432943510135,0.9750881429888669
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8543998962890854,0.6525982407024481,0.016477199738246708,0.9734660918832314,0.8032968298082146,0.6252466029546713,0.015836050564651493,0.9766972153037093
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8147864951206928,0.5962179002155819,0.01492791278505896,0.9758174448778044,0.7843852471971443,0.6050018068141362,0.015146858027732376,0.9778410060616429
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7917051843310615,0.5763667498942594,0.014197985683516177,0.977246040062227,0.7602996955080719,0.6007353613607873,0.014836839661917818,0.9790164338497711
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7569074841015145,0.5793806302507578,0.014462581668916195,0.9791679582089526,0.7814364694298475,0.5748000384174488,0.014207719211636329,0.977804869374344
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7686989547899943,0.5879183628886028,0.014665626017026485,0.9785520429079453,0.793666715890587,0.5976846242030724,0.015008256964761496,0.9770587645473843
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7922960071634877,0.5730784936094757,0.014299539620599998,0.9772197762354615,0.7275378245863574,0.562381910241166,0.013944917484351149,0.9806467520690951
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7475889534507871,0.5663264060897563,0.014024449587740935,0.9797239287177334,0.726810476001741,0.555217806710847,0.014024269088106278,0.9806372789192466
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7419178006153757,0.5622983249932215,0.013866684600895882,0.9799739316131172,0.9576692952842629,0.6074202929850807,0.014910751363660801,0.9669952875690323
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8208954885934318,0.5940542348651177,0.014777380624912705,0.9755490030737392,0.7986234706204319,0.6018578902534812,0.014661059127314049,0.9767636093006365
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.3307512290246546,2.5475101710363366,0.06659007364323265,0.6184126993010336,5.8520113656498145,4.368138249715164,0.10833119384421257,-0.08659351149109495
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.7283740400095366,2.7838690530306134,0.0714517023989331,0.47583987413477535,3.4650661053563483,2.5935046195983866,0.0668651802232496,0.5786331434194312
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.916192144301938,2.8835057454129154,0.07447483835535597,0.38172448142041226,5.403221126463215,4.418641821543369,0.11526739963072281,-0.06961811799588968
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.920184804444161,2.9318923391557643,0.07491344233824569,0.4011387800046109,4.833612247940097,3.1946874936421708,0.086173815685449,0.09361130855766175
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.9859888964727634,2.846755566457326,0.07252821829620512,0.44221089482219256,5.507958201850941,4.571302382151286,0.1142769150585557,0.12473784212361105
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.0195595225590814,2.3472008725090485,0.06124309044088412,0.6863850847245303,5.67899751024453,4.405838012695308,0.11037736476210903,-0.023293326985656337
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.505813238527484,2.550270575359776,0.06581149686929672,0.5365503243387674,3.465636514955272,2.6758852005004883,0.06813055072408075,0.5784944035077704
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.531441135557324,2.621198933493643,0.06778145735873652,0.4972431348061218,4.83369753081026,3.992662874857579,0.10353060420662526,0.14398335447312927
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.832651998022478,3.522919515186774,0.09076508922227526,0.08991039513530019,5.30127533587606,3.458008448282875,0.09335002036324908,-0.09026377810628894
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.828030938624729,3.489751464652218,0.0909330741246349,0.18165214756856995,5.992842853067015,4.833425807952881,0.11992394499088647,-0.03615006719124447
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.032944907409063,2.3031152860888837,0.05958527053815735,0.6835984791758665,6.149015284632396,4.804531923929847,0.11872648778912241,-0.19968693878444554
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.632975059673276,2.6932792503963463,0.06941938046035574,0.502320373819941,3.32785935485369,2.6001564661661765,0.06718685637169405,0.6113423230353066
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.2294621606166647,2.367965027876977,0.06063598967889368,0.5795498931388313,4.180224474766656,3.4967065175374286,0.08990287354807652,0.35978996781684724
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.220174625870322,3.1662312990451964,0.07994065815862492,0.30597685699770827,4.598473503840058,3.1235228856404613,0.08381372139534339,0.1796517829756843
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.7805006736791285,2.762987065015978,0.07022184337952618,0.49823946731733215,5.286749667394568,4.280599816640218,0.10445356902078297,0.1936299784934472
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.32788479154436,2.48511763000488,0.06496091734812441,0.6182342718028797,4.982160312027469,3.718129192490177,0.09328727333571167,0.1166000374763897
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.606070602278171,1.232174760592964,0.03184214706806399,0.9100321178297035,2.3171737047819736,1.8779378837371,0.049402925612716496,0.7911576290492648
Local Model,209,S,Chemical + CS7,"(1495, 12)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1301849126195307,0.8667201485863364,0.022353017890492398,0.953875343355849,1.8662282904756662,1.4586330551698992,0.03756138553230652,0.8669070017540008
