Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1865000113108632,0.9417246506677415,0.023364866351142207,0.8823466805053471,1.3859753515316553,1.088316233652945,0.02684560688465863,0.8583238168614827
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.201689047313041,0.9378154506344775,0.02307022077136884,0.8826257024212214,1.3468121066164218,1.0427078500178246,0.025700854475663306,0.8517514360869007
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.167955774087008,0.9139556252744814,0.022487183287288076,0.890146399966864,1.334066948318561,1.0269928520889646,0.025400329936454958,0.8485618004992961
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1482278210338712,0.9011235886071591,0.022090157851911034,0.8941132841409386,2.081240933403432,1.0948121671993025,0.026722259609344528,0.6282384017532869
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1997398259462981,0.9451768096382117,0.023075508290564175,0.8832413628387508,1.3527320451979403,1.0305751420875293,0.025361660550861066,0.84950821038133
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1609347723023347,0.9110752530572545,0.022490933452782115,0.8907239612847533,1.4716037295245172,1.125249412824525,0.027767235325001447,0.8214957259575988
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1454664972678403,0.883728049915925,0.021810176709538418,0.8949739627046455,1.306885825627895,0.976131240338513,0.023750145239529997,0.8505046137589494
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1973460040183899,0.9452396144528371,0.023093065442367593,0.8830698896719443,1.5796561836833236,1.1056972702532601,0.02717906012647372,0.798894569869202
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2373174928509953,0.9816240570248961,0.024056618978239793,0.8741772522435876,1.4163679420763555,1.0504852403396687,0.025799360369288985,0.8432164685397853
Local Model,209,U,Chemical + Properties CS Less,"(1056, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.139336467839355,0.887400185850246,0.021916252136080484,0.8936675979589518,1.4568565685336485,1.123695608563901,0.02817889867517737,0.8309570072326959
