Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1010035200837516,0.8427914839739652,0.02082923707101909,0.8986914483512712,1.1684326865666907,0.8538445803246156,0.02097719319924686,0.8993084027426951
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1844345723351115,0.8896465158226069,0.022314658825552537,0.8859721458625359,1.5887368903378265,1.0616359898757803,0.026201850918560494,0.7937089285090562
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1828680908747555,0.8791629101464663,0.022038827231751407,0.8873232970572907,1.4470747309064809,1.0097446761114055,0.025215778429545158,0.8218187062241635
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0883783079702556,0.8275495730218188,0.020521765343365053,0.9048639528712971,1.182707919249323,0.8398762379298393,0.020873103534450876,0.8799465020850481
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0870944187966436,0.8020111150963074,0.01985636264374283,0.9041373571734876,1.2629722577544058,0.9261224855915637,0.022939920831282868,0.8688172072695175
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0652624429839852,0.792221451674778,0.01963160291109069,0.9079926470791404,1.2546993246682427,0.876635715981568,0.021999390446629713,0.8702384011512807
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.073449021162123,0.7959074764029477,0.019752399827124418,0.9077651500963841,1.2445493223871629,0.9052798079700703,0.022272082393042084,0.8644259032657772
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0904723173265272,0.8218296546000373,0.020309963922470118,0.9030123779638876,1.1522159694398242,0.8816537757039854,0.021871962727902965,0.8930042730396485
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1113758680146584,0.8500011680906852,0.021032337318432966,0.8984876727805253,1.0941533190745312,0.86263009712801,0.021299248646957366,0.9064368941613737
Local Model,209,U,Chemical + CS3 + CS7,"(1056, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2119342635845431,0.8871444093021387,0.02222071804003554,0.8796850054885438,1.412224004545953,1.00935624035305,0.02538201363921153,0.8411560206053681
