Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1056, 15)",1,Chemical + Properties CS Less,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5714636646497928,0.24373425971466167,1.2290840936085545,0.1836824810466063,0.03027166154655818,0.004660494496719076,0.7869006519199405,0.06046445611097797,4.560199721287811,1.5516539310574422,3.5371308112329287,1.2359687426467503,0.08604742164992812,0.02816902989538896,-0.7408428240517849,1.0965870230869157
Local Model,209,"(1056, 15)",1,Chemical + Properties CS Less,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.17323151154561,0.006254894897437368,0.9271119556155835,0.004807464717261042,0.022909661472535207,0.0001436429717700322,0.884577787293547,0.0012326867177555746,2.771461947616698,0.3045774301638492,2.2064657421231995,0.26387446787227803,0.05262199963463506,0.006131581572329132,0.41465912949659733,0.13138092118868064
Local Model,209,"(1056, 15)",1,Chemical + Properties CS Less,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1777145098169892,0.03006802814602604,0.9244961067032197,0.028551531299304725,0.022731460602474423,0.000634242660575562,0.8870634479655878,0.006161897619325608,1.4652381516521773,0.19609056556446278,1.0647770836938262,0.050003762983093746,0.026230183820789916,0.0012897657864900313,0.8210666188606093,0.05720028417351288
Local Model,209,"(1056, 15)",1,Chemical + Properties CS Less,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.168727045226502,0.08998500042160483,0.9262886306011329,0.0663825220259981,0.0228862258394087,0.0016295586130491602,0.8791249777739104,0.02053936872545873,3.1474536810102673,0.7014934087965553,2.3036967906084915,0.6417950659708528,0.05696759573838096,0.016160745011246425,0.11936066671963297,0.4947239580222221
Local Model,209,"(1056, 15)",7,Chemical + Properties CS Less,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0511391070516716,0.256982958054714,0.8636342822995967,0.23616943262148032,0.021267273335210925,0.0057699894513529235,0.9011249205167323,0.05122410887618272,7.30688223234643,3.0921376600037673,6.2430407165199195,2.5915620532535413,0.1531166958533395,0.05953979294164374,-3.7854146046041333,3.826819249376089
Local Model,209,"(1056, 15)",7,Chemical + Properties CS Less,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.0683363773506747,0.15233788838001977,0.8627262375293636,0.13304965880186626,0.02138387560122076,0.003250635832148387,0.902508241452073,0.026286217059092783,2.069882190766904,0.3061068880313936,1.644215354919431,0.30499965030951104,0.04015147905941158,0.007096578375652456,0.6666015410457424,0.09852994664730648
Local Model,209,"(1056, 15)",7,Chemical + Properties CS Less,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.570491669773625,0.2657365429973476,1.3544122403857008,0.2572029761897989,0.032974361641075894,0.005978918684800066,0.794414651888819,0.06702737785917266,2.057412555327337,0.7542460598201192,1.5814494513379096,0.3737933718973032,0.038909431571153244,0.00928773331791853,0.6123263249481261,0.37681715071383803
Local Model,209,"(1056, 15)",7,Chemical + Properties CS Less,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9876193277958968,0.09496297001756623,0.8032509315343555,0.09797850655852527,0.01965489825253815,0.002292130890234227,0.9132032070296077,0.018475128283730283,4.6390779272423766,2.1275843576198517,3.2812973603969673,1.3807022686518797,0.08186354859045655,0.03461559188050848,-1.2696874278824635,1.8128053537313946
Local Model,209,"(1056, 15)",14,Chemical + Properties CS Less,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9266533964019119,0.21578695642986762,0.7306833114982213,0.1743984425456585,0.018207981528727723,0.00450307061338147,0.9238993245360623,0.035141786962015406,4.827517784065845,3.3212140683905007,4.198381506227984,3.1576267428273526,0.10164377137564394,0.07552041332922284,-1.3864177409782876,2.6228820147395338
Local Model,209,"(1056, 15)",14,Chemical + Properties CS Less,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",0.92807170823079,0.04802181171354194,0.7205029513258842,0.042723834143545324,0.017717637695730037,0.0010822089198105514,0.9282897854296558,0.007514428711515257,1.8076355717105048,0.4117799944420693,1.4561980736298346,0.34682608237141554,0.03537158417821928,0.00786184631281248,0.7342140217797531,0.12375172567651009
Local Model,209,"(1056, 15)",14,Chemical + Properties CS Less,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1486805558992566,0.18432876461990233,0.9519373303483789,0.1750541540404956,0.023174592446137027,0.004125841812814047,0.8910141446273159,0.03259126205806553,1.7561223690106165,0.5191971419177973,1.3290627130805734,0.27380918155934586,0.0326242131066952,0.006733440468613049,0.7298241387273066,0.21017527150122547
Local Model,209,"(1056, 15)",14,Chemical + Properties CS Less,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9584865683443812,0.05831648572920426,0.7626812993882521,0.05197961655429918,0.01855904713500938,0.0012600505002130003,0.9204243230033639,0.009558964339311972,3.517383737380444,1.3487681507769103,2.5106653594970725,0.48615292909191204,0.06245426983126314,0.012758967493013336,-0.21845446436790672,0.9890335265860206
