Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1056, 12)",1,Chemical + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9004924443051034,0.10964635927963769,0.7081360680716348,0.07569363024630582,0.017645205209194218,0.0021014128792529747,0.9302102266432375,0.01730644215543676,1.193431585538096,0.26092631793844745,0.9683688319006637,0.2285508573933874,0.024087864211053318,0.005663745476104558,0.8802203367971292,0.058740014550325244
Local Model,209,"(1056, 12)",1,Chemical + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",0.8950751634406741,0.00847286105934949,0.7024934446265535,0.004992924964473253,0.017486497879522736,0.0001568803858552387,0.9328157395834246,0.0012731428290604604,1.4470081614742887,0.06859938400411335,1.0925268377148123,0.044036529195792685,0.026511955993739993,0.000990320170337907,0.8419865073483832,0.01483067350926319
Local Model,209,"(1056, 12)",1,Chemical + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9032520343669391,0.016162126290941478,0.7017664947031221,0.015280127649440837,0.017481446413507847,0.00039976174476066633,0.9335836430642616,0.0028662905560727175,1.0441658215948797,0.08482509982268568,0.7866804815048626,0.04932980234817003,0.019585137225247642,0.0012601846986760611,0.9103112230019554,0.015284142227055977
Local Model,209,"(1056, 12)",1,Chemical + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.8419673940611897,0.06249589625374825,0.6677874709620599,0.04031402878263396,0.01655989894818363,0.0010762315082334252,0.9376839491589295,0.006897034054119884,1.3504045123667248,0.11950716868750204,1.062545225837014,0.09130648702238937,0.026210370759832673,0.0025791220440879695,0.8497323916064302,0.023051166257787855
Local Model,209,"(1056, 12)",7,Chemical + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.993860864954789,0.18623708207847486,0.811256027221678,0.16130277364007173,0.02044421589759744,0.004258186606559027,0.9131646430956143,0.03260428950909276,1.4039982489103662,0.5318570700451565,1.1292289733886756,0.48458934556667216,0.02821484762051397,0.012150773532867221,0.81774962267632,0.1228261148606946
Local Model,209,"(1056, 12)",7,Chemical + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",0.8412947161847221,0.010613861224962226,0.6670545966197278,0.005560163556234847,0.01660005957306504,0.000115010546269459,0.9407381216522078,0.0014934940318295376,1.546625140336711,0.09271469400827685,1.155715134938557,0.09261424251513738,0.028561502488759397,0.0021360581917182265,0.8171880610003902,0.021540751502004473
Local Model,209,"(1056, 12)",7,Chemical + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.854844889678246,0.059049785857568024,0.6797801559903509,0.053525687068791725,0.017051577875533686,0.0013947868946351336,0.9404058285296044,0.008602949393876206,1.4221118023730963,0.2564724200020182,1.054772759998264,0.11037588685178365,0.026411025848246242,0.002740351096774177,0.8311331510449953,0.07460607756140922
Local Model,209,"(1056, 12)",7,Chemical + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9050825612450556,0.039889015797693,0.7360435086051723,0.03510563337452335,0.018348132013263765,0.0009069931068282993,0.9280623221538666,0.005027117571232579,1.9566288596319612,0.2961002959954655,1.5571853963340212,0.32396874184451463,0.03871572319137435,0.007663298497911776,0.6705173933626457,0.10507527912511078
Local Model,209,"(1056, 12)",14,Chemical + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.00243575127627,0.167422981394074,0.8193825520260228,0.1593250581193417,0.020640829352395106,0.00422507138315414,0.9127825283951612,0.031110733232350377,2.4731895759037976,1.2129640897990412,2.113010271857768,1.1081951517169262,0.05088056137313323,0.02739350433106649,0.34174688105797035,0.5160058699398742
Local Model,209,"(1056, 12)",14,Chemical + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",0.9500947115029174,0.06856070473654696,0.7532155472958276,0.061986743477893506,0.018863615515896284,0.001676143644015641,0.9246564319586607,0.01097258236002256,2.3284666614537923,0.3423238613678963,1.8904076579651088,0.2761105747254735,0.04614898833759873,0.006273595635400374,0.5716827050400063,0.11943165684282163
Local Model,209,"(1056, 12)",14,Chemical + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9427342548771095,0.06694996703237065,0.7529933049652445,0.06266280990084276,0.018883097232121726,0.001665393764028046,0.9280527506021579,0.010072706638974386,1.607980567912283,0.3997409485475405,1.19968568586996,0.2262257010601743,0.029716515588746308,0.005177042750308794,0.7813152942544153,0.12123689753438956
Local Model,209,"(1056, 12)",14,Chemical + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9351790180886211,0.057122899859600444,0.7515968735950888,0.05014770887104195,0.018780839969752286,0.0013049613186104157,0.9243137609368064,0.008315311658165118,2.700291750921336,0.9829881497237696,2.1558701197306336,0.854966921229089,0.05204866809391712,0.020095166493369804,0.2814655831051669,0.6371264006846351
