Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9991870910715922,0.7738048162561415,0.020750749637511758,0.8959552829310917,0.9700869199197213,0.7302606878146335,0.019764807144738696,0.9008774196546515
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9925107006576968,0.7492700381329532,0.02010544527156335,0.8978144453960211,0.9972273333176845,0.7814900572870821,0.020966314863083816,0.8937260314119235
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0631581604031815,0.7835387307426532,0.02072119241317285,0.883679137447721,1.2135549664113678,0.8752253626433897,0.022847611757545114,0.8372814172462031
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8444017696217496,0.6272465673914251,0.01680109858682517,0.9237710410828668,1.0436854465625973,0.7842851733485037,0.020907475615759914,0.89638381297903
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8981593575487803,0.6746591840471556,0.018042159495821684,0.91622122688517,0.8915177462802043,0.6690567503584182,0.01804433159856654,0.9152654881813975
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9831205424017397,0.7209906864503244,0.019204213584946127,0.8986707833864165,1.054488120192899,0.8081820313359656,0.021480203694190417,0.8863292888304514
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9634159419938382,0.7317422388299195,0.019614218519896396,0.9049111972537066,1.098171702342304,0.8355490456164715,0.02258120917796682,0.864376744471724
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9286784663957631,0.734338302073124,0.019891857663118954,0.9099257907511833,1.187727212124687,0.8701560866664814,0.023302077958218308,0.853681179183704
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8811986954473832,0.6596374444440145,0.017681097713872808,0.9190323530038274,1.5646883430001048,0.8501458945849267,0.02299575353826455,0.7441646264089348
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8844806338238742,0.6632031301131752,0.017774420486515723,0.9174514668356052,0.7841123511603412,0.601894162225387,0.016085256042175738,0.9385916070019523
