Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9180989500614524,0.6830988031394064,0.01829279222071306,0.9121573587031656,0.8515742983242718,0.6319791498318557,0.017083944480967797,0.9236170562086807
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.942374906059666,0.7062717377086412,0.01894724214633504,0.90787732570901,0.895189579206504,0.6715257671517366,0.01794385275525882,0.9143615916005539
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8996015148022398,0.6661527754982461,0.01786755576901765,0.9167158771658694,1.0761036331967133,0.7956289371974022,0.021145353658397727,0.8720540791027889
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9345817071765485,0.7150195624672755,0.019214589764042375,0.9066194835856234,1.149181100317389,0.8645138571448394,0.023168485706034095,0.8743781163491439
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9868820694797469,0.7839930969991789,0.02128450134343951,0.898851903328531,1.0296784701704758,0.7891918344700579,0.021516697717126936,0.886967427772374
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9221828181801912,0.6981439826345264,0.018807815379273306,0.9108430514477212,0.9043321676462625,0.7083338616599525,0.019171774361284102,0.9163971364892372
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8728381352403778,0.6656306371250765,0.017855211961959102,0.9219506756384065,1.0814867733198028,0.7958077981438421,0.021355848836477245,0.8684665860137852
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8771792934388071,0.6526480226550444,0.017558605499449972,0.9196387932720612,1.0692709827778797,0.7766665606431523,0.020833041203842943,0.8814115639123898
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9798120317853863,0.7517718326898273,0.0203448390369159,0.8998964766485662,1.1722333601364856,0.880452041084885,0.02385521819250022,0.8564070717469837
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0584493415497118,0.8019872258369679,0.021397551165071173,0.8817849260569364,0.8553813787863374,0.6436412216078297,0.017151084954462385,0.9269213146317987
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8948342849611872,0.6591329406091263,0.017685192384825025,0.9172361705730043,0.8643588623957035,0.7014822892739747,0.019024276061320473,0.919190792063595
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8950768761090385,0.6755081688978652,0.01811992011611087,0.916652253962237,1.036133252428845,0.7288751199211877,0.019342685018444303,0.8867014577877715
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9881424056478797,0.7390726446684184,0.019685932552892648,0.8962460960753942,1.0115018669379805,0.7748007169911553,0.02091567184180616,0.8992944363434365
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9936147158585448,0.7857131352500321,0.021470102637294607,0.8980657964604515,1.0788176156821658,0.8496930413212317,0.023018986470761334,0.8723242434000579
Local Model,209,V,Chemical + Physical,"(708, 17)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9409911996011311,0.7147665679770158,0.019171906000387158,0.9072650944385955,1.0660332874356464,0.803549610976636,0.02163345095913213,0.8833674964863653
Local Model,209,V,Chemical + Physical,"(708, 17)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7918330454965706,0.6325850572827044,0.01715499248628913,0.9330642263219648,1.1297913555303702,0.8776357650756853,0.024040934956960382,0.8629990775236905
