Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.251401809285723,0.9610588564403305,0.025937738257265724,0.8368000724880074,1.2128797270789315,0.9772327260767744,0.027101960303172773,0.8450517144345344
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2648596842852784,0.9837058642283504,0.026653712963420204,0.8340398528136616,1.1460026172491362,0.8594518976403946,0.023124579086238047,0.8596508553243968
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.235855217160123,0.9531576699608246,0.025920202180758647,0.8428200846700165,1.271671112527114,0.9736568132851195,0.026017792305053546,0.8213233254700882
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2073894697625882,0.9306729467822588,0.025242134629529366,0.8441465262192857,1.3792855897435816,1.0508692908664345,0.028250835166076366,0.8190340990952337
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2150665698134333,0.9354555124927452,0.025318475255450144,0.8466699269206439,1.3582120954280443,1.0476325146903949,0.02861945652872957,0.8033311700313311
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.252060841591827,0.9731569691614996,0.026329411207508632,0.8356491291239793,1.196553223654099,0.8866636691544496,0.024064301539306502,0.8536376962478749
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2286227275180515,0.9444582183369054,0.025577304273054546,0.8453539570179611,1.2955569256794246,1.018240933635141,0.027719921814184038,0.8112414344328591
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2157420538859787,0.9398928109622863,0.025474754180523217,0.8456336673572848,1.3720794449041793,1.0232123440162004,0.027684171539845207,0.8047345999772842
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2501865972752908,0.9542764247943555,0.025805397415751958,0.8370278088133701,1.2546111604031935,0.966700718815507,0.0264589027213685,0.8355161769003241
Local Model,209,V,Chemical + Properties CS Less,"(708, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.22810837111338,0.9462983184659479,0.025712819477792942,0.8408502036124559,1.2892621153241206,1.0210946194434334,0.027391364884020566,0.8339826087441651
