Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.019148000124271,0.7846354022885375,0.021060669052252526,0.8917567265330575,0.9860483008089947,0.7353979970367863,0.019911165879662216,0.8975887470890856
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0806099110619918,0.8285741738632771,0.02231995655816546,0.8788685255135894,1.0749086281462288,0.8234429292275872,0.022119352438854305,0.8765242567126992
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0809986428722649,0.8340017500698768,0.02254197332786961,0.8797425038263518,1.243087079594244,0.9815720840239173,0.026212321918370994,0.8292654736256589
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0983006683148384,0.8467553153870586,0.02269098297781493,0.8710372710184406,1.3435559633706053,1.0282172750919432,0.0274060377169567,0.8282883058029263
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1956686456384067,0.9376445918276607,0.02527780756627076,0.8515265228053417,1.3523844295371004,1.0407064721939403,0.028271636283534695,0.8050152389823468
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0490479991209578,0.8021269013098185,0.021716626123945412,0.8846249604336922,1.1699493481471828,0.9043649754054096,0.02440142295675422,0.8600737117582722
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0958690857272164,0.8643896385974673,0.023380449411462806,0.8769677195743748,1.2501164144344439,0.990198390584595,0.026851970738074098,0.824250303755093
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.012769535395763,0.7678927970859277,0.02064783105282237,0.8928749678414512,1.2881639376263228,0.9216332234127439,0.024684702279141896,0.8278888316742177
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1792931796014563,0.9296843984560135,0.024987533977523037,0.8549868451538276,1.201050355175012,0.9863058320173981,0.026573008576626006,0.8492604096309706
Local Model,209,V,Chemical + CS3 + CS7,"(708, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1793841078482328,0.9036518446772611,0.024193063373935435,0.8532279883102059,1.120371535152216,0.83420684489798,0.022156414743417997,0.874629523795998
