Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.944204488233243,0.7362867833868778,0.019920876667166014,0.9070908417495148,1.0089118197042621,0.7904492499123135,0.02167212128233253,0.8927844639696749
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9230400085347717,0.7134599382380279,0.019327579071983583,0.9116187454229912,1.0851135098504057,0.8227411726830719,0.0222228126399561,0.8741686394502034
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9415142697070701,0.7253757989027471,0.01964351834426609,0.9087746216679009,1.0659778811324139,0.8248276509029756,0.022157144760952725,0.8744506017182451
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9267548584888448,0.7126279962125901,0.019267735681856493,0.9081770033482565,1.150854568796078,0.8423327452747524,0.022513273680704493,0.8740119820129936
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9598993289285989,0.7500144649014487,0.02029846184087088,0.9043073516170539,1.0128166172330921,0.7669613614995423,0.020968056438509085,0.8906391233338613
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9528273222190304,0.7382364306770026,0.019978787177806958,0.9048191568918685,1.000604779678704,0.7686357363848613,0.020653710017081835,0.897649412340273
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.931408210186615,0.7180911424724451,0.019477597728628938,0.9111245431806404,1.0700563386614177,0.8300511266144242,0.022550314558954787,0.8712322949054384
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9101126303296857,0.7158571991398137,0.01936244810696377,0.913491259307524,1.1919715142081175,0.8767675211731804,0.023691160917862733,0.8526335802591319
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9504620056567873,0.7329204162382364,0.019799078556736793,0.9058038074167793,1.0112212345936138,0.8118164928246885,0.02200703110879021,0.8931444066289976
Local Model,209,V,Chemical + Physical,"(708, 17)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9610022010429509,0.7504737288863571,0.020339301286145403,0.902550084074185,1.0023024885755583,0.7482103658906124,0.02019707582390761,0.8996612329652688
