Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8985039283070663,0.6988548750076815,0.016618129175544404,0.9694225458435888,0.9222432842105122,0.7208585796078922,0.016918424737873528,0.9678736060777928
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9257183927296198,0.7342052304926469,0.01747788069702901,0.9678378479312472,0.8354914681016617,0.653483008007793,0.01540959069128332,0.9723751822894144
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8891571427656456,0.6910203759030051,0.016378174762989774,0.9697496434548374,0.9723910948937358,0.793461901206128,0.018755432667582853,0.9656985921052162
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8783494169977512,0.6899568727650692,0.016287888626352574,0.9709651376188966,1.006877170636473,0.7763266088949062,0.018568935916047174,0.9604912609303532
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8678330598538876,0.6716971217729841,0.015997553221515956,0.9714089913169299,0.9341488033053739,0.7153618624311321,0.017159717087529922,0.9673490741891524
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9013556111529197,0.7041356358542155,0.016655428727269342,0.9690463234192751,0.9449348755978502,0.760632356594462,0.01821201658689307,0.967041199214846
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9030039440900488,0.7136955432628838,0.016858736297257596,0.9683335361861577,0.9264919420092457,0.7221593685579384,0.017425258616317777,0.9697748427956429
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9101172297471031,0.7118752051405539,0.01688200276687981,0.9687576367556148,0.9303460808455708,0.720904981073024,0.01720161086996433,0.9666345767034896
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8935390604208004,0.700140186504202,0.016640024925847315,0.9704501408023929,0.9586480230996295,0.7530748808763574,0.017710403748311353,0.9615094148591211
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8571103066438259,0.6665147045548514,0.01597801833710755,0.9723153812639364,0.9479642039120784,0.7446883735739653,0.01748741285316665,0.9653016365653432
