Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0422777517999446,0.8079526561321598,0.019157130152321778,0.9588539358969065,1.2031388203729008,0.9376161284047403,0.022235951213081858,0.9453232795553851
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0294637845255352,0.812507653914218,0.01892946195910457,0.9602250665076997,1.164056104005091,0.8995741400388212,0.0206742202260783,0.9463755059903293
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9865058548871648,0.7652469856630002,0.01789864301599958,0.962763162558088,1.2450854763943546,0.9742635896890478,0.022633979289951273,0.943762198501801
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9376728957151997,0.7471732169058188,0.017415821439749284,0.9669106784846158,1.4745992602892288,0.9975606030756872,0.023649007128190815,0.915260049754183
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0379124084602576,0.8095320325552021,0.01879470436881072,0.9591042191682593,1.0050699660126794,0.7614321264890197,0.017742462007308925,0.9622031186514322
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9708361826721545,0.7582471233783383,0.017759567258937556,0.9640902968419831,1.081661704177797,0.8281920296805244,0.019225635154046544,0.9568132469915211
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9711214796784385,0.7642289396269519,0.017594489164365453,0.9633758634646107,1.5283121885759314,0.9912694458914278,0.02333864015588001,0.9177550144170586
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9960264338436399,0.7911053906265093,0.018334421593782402,0.9625811071089267,1.210586062221301,0.9247776522494793,0.02146324255049273,0.9435064439216974
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.963258354382671,0.7491864255096474,0.017440400835907213,0.9656589238711492,1.3900689900064087,0.9187447425162432,0.021734358464760788,0.9190701265027427
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0336966778172547,0.802591767564545,0.018803903753638485,0.9597328073049259,1.0560832961499966,0.8354730096193825,0.01934574779652257,0.9569352964329286
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0144803380935061,0.7637534075444294,0.017962098938813502,0.9604327373032886,1.2222784882766862,0.9004013512522134,0.0215081786935025,0.9466392605196757
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.979864486662375,0.7739472538932739,0.017925415990693184,0.9647080060655581,1.406344003648539,1.0075657646254748,0.023391718681327257,0.9134479898456559
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0972185787727382,0.8691929245466657,0.020561823805938097,0.954541031302659,1.4224036012847123,1.0049421178232327,0.024231196349436518,0.922694156638401
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9596731920734796,0.7446849742837542,0.01728820126852469,0.9642854695714023,1.1389803310173632,0.8884534665853681,0.0208645075127095,0.9546796037598985
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0752191179410828,0.8431124806256767,0.019487394331561308,0.9565223929578794,1.0181525277122685,0.803355849615419,0.018281093446607485,0.9597491294076019
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1697916288771215,0.9495813702933403,0.022013163027933404,0.9485506062582519,1.6588802263351357,1.3546845307221296,0.0323749980090079,0.8987458049658719
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9160284686807593,0.7377207460656634,0.017217791352172815,0.9687264960411818,1.2989049442161213,1.0533850089363423,0.025255762553217743,0.9345127574126746
