Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1249597356566783,0.8720098656002852,0.020960177548430964,0.9520669217255417,1.2619492507298589,0.9454547788122013,0.022624909104570656,0.9398473509777138
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0380211255187664,0.84060814082991,0.01979575673507371,0.959561065861041,1.0493785352697411,0.802151122895799,0.018618430641332492,0.9564207516358085
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0871531333596334,0.8567945699609263,0.02040032283043792,0.9547774655349153,1.2230552776312351,0.9437645713881679,0.022425253112877692,0.9457347045281622
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1319065252478013,0.8728378871167997,0.020861933943419047,0.9517823251198059,1.5548874728341,1.119441970976273,0.02730678400481685,0.9057810824438441
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.10807623754415,0.8727655568729961,0.020575668929071738,0.953388145748971,1.2678688517673085,1.0058008741624305,0.023818129298481695,0.9398532671573815
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9813819691079293,0.776924911347947,0.018417406543159136,0.9633059155518294,1.1317996014375473,0.9067149871675837,0.021538879922561198,0.9527168155072783
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.066414639052,0.8490533845238999,0.020009563874063226,0.9558355861927686,1.4052397786906037,1.0519258027029512,0.025524484772000526,0.9304677720140471
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1284054894313726,0.9052031961448119,0.02152826792329043,0.9519736495623838,1.3255065704487505,1.0296076670731658,0.024282909194942387,0.9322715177099641
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1287483095389967,0.8922567153006469,0.02127642566561251,0.9528455637129767,1.2482974963356714,0.9753421670139453,0.02313404459670529,0.9347362010240764
Local Model,209,W,Chemical + CS3 + CS7,"(1011, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1102514900396319,0.8486577735401064,0.02039129895133153,0.95354763376685,1.2458873561727495,0.9892957026415543,0.023600142169418182,0.9400647015940615
