Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.297616874958364,0.9510529499242801,0.02240328937152384,0.9362244323640271,1.4011376373607405,1.0472082015916053,0.024590796661290704,0.9258463426266839
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3751389284900781,1.047487589455358,0.0246037641433504,0.9290290744636183,1.4626415073125174,1.0786435533278063,0.025212818256041106,0.9153374841532177
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5221681182474511,1.170281409981518,0.027719268346773906,0.9113459260959502,1.7526102610677738,1.391832812469784,0.03270259730845639,0.8885703670008972
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3334613662640424,1.0233765846129836,0.023924158236217272,0.9330815285320471,1.6155538623083758,1.2069093949723948,0.02906232458340364,0.8982854539798895
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2982449679277652,0.9699271967148758,0.022586431562250778,0.9360161465027584,1.1759915157983456,0.8907949844209275,0.020516680107231008,0.9482545993855395
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3046810728461997,0.9809147164373111,0.022925110274026085,0.9351472149303418,1.4014778520366216,1.0514842667603126,0.024698666620084977,0.9274996467332036
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3056327049532916,0.9824817068055184,0.02288983511081366,0.9337993407082033,1.3986036605635062,1.0251671857172882,0.024389417280925283,0.9311229407172625
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.278929627216534,0.9552117346538453,0.02223460594841756,0.9383060607593707,1.5063413572421354,1.1207084693530998,0.026098366495898483,0.9125309571810493
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3602354952147075,1.037665585210209,0.0243814399513228,0.9315211373465391,1.5887651573825117,1.1329787339314357,0.026571101545385386,0.894280386883558
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3990400254610391,1.0518353984441384,0.02471274860340106,0.9262392386199709,1.347544462196209,1.064788822136305,0.024772951787996544,0.9298849380120195
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2319080160233387,0.8838386422336696,0.02072380975002447,0.9416547775239166,1.4272967003359889,1.0621124718576807,0.025161800745997828,0.9272370955581957
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3474456925310763,1.0248700069998038,0.0238984271662376,0.9332629967616971,1.5969161963911302,1.206213835914536,0.028028481338099865,0.8884015202466726
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2969616020255266,0.9948524418513766,0.023306660589544868,0.9364833608196348,1.5470378975064558,1.0321091869089862,0.02460495733005224,0.9085531939827389
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4160939089316522,1.0716930412980923,0.02543176997961182,0.9222353310472774,1.5212275099589772,1.1837613587332239,0.028658492614472376,0.919155665406593
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4219260486451242,1.0830907069561064,0.025226581002997128,0.9239628731857189,1.2666558871582123,0.9973695547273864,0.022780955468460623,0.9377030359349399
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.318131607078001,4.197945811585612,0.09905160931227724,-0.19458000955529764,8.089869800304553,6.522531686178074,0.14721007148854456,-1.691466475940639
Local Model,209,W,Chemical + Feature Engineering,"(1011, 30)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.667206654454025,4.250837622221954,0.09844082043750203,-0.17288801369481877,10.387445405881671,8.75865132401629,0.20043578289608077,-3.1585888509727678
