Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0592621860713916,0.8317895236562022,0.022428829318205303,0.9149029763005094,1.33263931786589,0.9065517505882961,0.024250124509513967,0.8845346977832249
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1527659891771291,0.8713823852146587,0.023585076246749426,0.8958833142758081,0.9363717041049855,0.7837066818904057,0.02095807122370578,0.9483656546438443
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0988879623246823,0.83019926517672,0.022338447751511614,0.916815200238083,1.1612761461843504,0.9374251423192869,0.025518237148147768,0.8643670311736188
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1340968268761236,0.8683233891761082,0.02334977306658101,0.9087438385108902,1.0366613913230067,0.8177278956609297,0.02255999870296154,0.9073065853106635
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0653529555385812,0.8091979503059523,0.02187193344051822,0.9163325018041457,1.297188604231337,0.9894046878782333,0.026405175436578904,0.8779392506443029
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0758080251695579,0.8266274687495042,0.02235384741734479,0.9167810828470053,1.302739100433767,0.9696286013936186,0.0259043206657074,0.8644649099866113
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0505226378710264,0.8300081817726955,0.02242465107327133,0.9155224526021712,1.3339125558624438,0.925109233255321,0.024518308872085712,0.8879395203663445
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1381819074165098,0.864617987817379,0.023279434768080212,0.9083861477070962,0.9943781899957147,0.7923768378740287,0.021577031315092088,0.9140623617378119
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1217679291538,0.8538834357224467,0.02302311809411619,0.9037018359334161,1.0887041094564214,0.858577237700246,0.023421298032879866,0.9250244394479465
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1196899731713377,0.8392832345333101,0.022617426238532558,0.9102252019715544,1.0952399524270535,0.8933369863779111,0.024107091948828638,0.9023167074750348
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.097549022384504,0.8366204039907625,0.02271544147689748,0.8969332239981072,1.1982015677272224,0.9029948258270376,0.023638553583078547,0.9314237653010721
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1060784817541338,0.8424802953968838,0.022656070955016885,0.9186250783024729,1.1950397670506738,0.9193034034361173,0.02509112855784212,0.8165001255702153
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0375390345701947,0.8279780700566408,0.022316530052490364,0.9234933111352877,1.3846662353481025,0.9567386511879585,0.025818214946104607,0.835788901628683
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1169702641833692,0.8329245616536859,0.022476038596301148,0.9098299577788989,1.0959263802853354,0.9005288755063893,0.024214808082533543,0.9061327942981074
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1456999070924025,0.8732470303349413,0.023520317538186397,0.9026141951625531,0.9564910905489931,0.7690810921640022,0.020944421881966768,0.9356715742539641
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2532413567321772,1.0354865732930354,0.02606798621464733,0.9213134241553746,1.2677288502385953,0.9827380156264429,0.024459982026892334,0.9121758266313099
