Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9191330440198449,1.3685416189583093,0.03686564409905638,0.7206699884231612,2.3246408686644964,1.7335019849010376,0.04656930691746314,0.648651592721295
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5490554981751696,1.1462083368030351,0.030677805324554486,0.8119938825869594,1.9172147630722889,1.3039921632747051,0.03456609131744067,0.7835370158148361
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.030271314030274,1.4359317552827753,0.03826592045536418,0.7160477590229591,1.869472192710958,1.316826731888293,0.03535153403382998,0.6484943769983065
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4977205309868977,1.0550053618675062,0.02791877200297198,0.840843825125939,1.2748933516473462,0.9737278259906549,0.02646667621825424,0.8598081569239865
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6328006536932018,1.1276544344793893,0.029958103407238923,0.8034667282371006,2.4592803923812823,1.571340560913087,0.04114850737087304,0.5612815721981115
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.347582967767708,0.9445749672192313,0.025258900598675235,0.8694239497484528,1.7226155995695627,1.1395437102956911,0.029938151969572033,0.7630189586517508
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.32628042848213,0.9374600146784031,0.024818804425395226,0.8653516029962434,2.0121185149418355,1.3756106268499326,0.03534788965282638,0.7450207316300705
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3482570643374412,0.9694761823314088,0.025682202520904463,0.8714467091289487,1.3011479840508593,0.9092952688944741,0.02479599737325155,0.8528590281617019
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5429247362997975,1.0926565569500588,0.02913110296816933,0.8178196837269935,1.276605659413952,0.9738220136190201,0.02620656916376709,0.8969107149289898
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9256303855432555,1.2914420452314583,0.034319872059875814,0.7344754270187752,2.5898902145349747,1.6105772256851167,0.042580988317264645,0.45378396723206926
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.509487071797854,1.0800010424867796,0.028834500424817146,0.8050471303161647,1.8091666283099592,1.387854900556742,0.03608787243611888,0.843659676904004
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5073421873089372,1.1067480240065304,0.02941011730496649,0.8488728802448335,2.011517966436219,1.3909937081877761,0.037586868983315265,0.48010111213721185
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4066043253497464,1.032455207765565,0.027260812274218903,0.859384105476388,1.6455933745270437,1.088601318831299,0.028581714274533935,0.7680697682853745
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.675386970790362,1.1350731467707835,0.03002315727836215,0.7971339760869597,1.6399485728889909,1.196383879356777,0.03163732779095413,0.7898102246308676
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5740470209011985,1.1159401579001533,0.029886417407401434,0.8161814628940044,1.8717732158637785,1.360258261362712,0.03607727812754725,0.7536528613750466
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.104550293880439,5.161653669256917,0.1310186055561934,-1.528741271212842,7.253528997088281,5.69108991622925,0.1478490424403293,-1.8751468146214916
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.301000427592132,3.858950414155661,0.09996630292051441,-0.18650516054443878,6.363327306216614,5.318095970153801,0.14582703014856382,-1.299828950408644
Local Model,209,X,Chemical + Physical,"(484, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.469773513307767,5.934463802136872,0.17008280209043783,-61.95639408645953,12.485780883060198,10.885436010360719,0.31496213295171466,-434.947795869301
