Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.101493387188607,0.8669252715985599,0.023158735277204568,0.9079823323216599,1.390339156344131,1.0080628149288167,0.026388692758547987,0.8743195405133848
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1681719063791187,0.9195577537674614,0.024628238303349367,0.8930818240945197,1.162799303577122,0.9180078801420558,0.024033213673142897,0.9203745979284053
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1281348952830195,0.8905771437849499,0.023704685195098347,0.9123283440715244,1.2330908969735095,0.9496964916740472,0.025702011074817052,0.8470729042782372
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1471780027436453,0.8993471032273246,0.023925295671515516,0.9066265193892828,1.1343215429824525,0.9074040049130172,0.024703632123481457,0.8890193170129265
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.120054360271414,0.8653428775748018,0.023059077563160498,0.9075199714751739,1.4422448398302272,1.121827681859338,0.029567277511243762,0.84911440843482
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1401387051174903,0.8878526022267886,0.023626628679618948,0.906530939029165,1.2803175533409001,1.0285147047534438,0.02752019716693753,0.8690901722077338
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1119562592877763,0.8839201914863682,0.023632911728041935,0.9053532134527079,1.4658082041043705,1.091001766244163,0.028355903560543575,0.8646830961741819
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1374002781171881,0.9035796133430732,0.02406051279147387,0.9085119333707528,1.30522814137833,0.9857299647380438,0.02633893463766332,0.8519347680043309
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1499719675312157,0.9098271313255768,0.024292645946030762,0.8987986103945066,1.1778112045669342,0.9673373428816627,0.02606075085017944,0.9122491443522054
Local Model,209,X,Chemical + Properties CS Less,"(484, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1285201072842168,0.884564498036179,0.02356872935884973,0.9088036489951381,1.2744286624636103,0.9425922234853045,0.024980084143232217,0.8677386976207001
