Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0482113624384257,1.5880171278619322,0.031274066121770513,0.41445785043404626,2.4231843146065333,1.6984298836757492,0.03374729523090648,0.2444628234951144
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0603935174843047,1.6037350613500205,0.031636074017183644,0.43431164098563313,2.114434448281074,1.6368490599823866,0.03220312550875342,0.3026602829988734
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.039902431968407,1.5857887500747094,0.031291672395424075,0.4260267007873153,2.2114598379447377,1.7157422551391417,0.033649723747397296,0.33576919277432926
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0661810729812387,1.6213237440967674,0.031984598084702984,0.4137635063493784,2.0619004913502614,1.579018156710101,0.030864253566224152,0.41775848999739384
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.053084446342897,1.5956245824067945,0.03145667419258187,0.41655703874652206,2.1309121219603897,1.6425948002732236,0.03268890135340935,0.3944817755010044
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0015154674857323,1.5576902782136173,0.030649743872879855,0.4102927357686551,2.3223240045065556,1.7531363439925876,0.03524952394482522,0.4078736718111976
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.063014906391912,1.6063922010918736,0.03172598596656404,0.43997136865224085,2.1197420882323197,1.6735869213880163,0.032397874980427274,0.24488055358972372
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0809108570792185,1.6285396905270553,0.03211637232957817,0.42385981083239443,2.0224765969234193,1.550372361706924,0.030489103360655297,0.3577939124541626
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.070200475498621,1.6051402669217087,0.031633320417763795,0.4070090581343605,2.3184450093556506,1.6390637186279047,0.03267697887828689,0.2841849663436937
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0514481351935108,1.5941131091332403,0.031448398281896286,0.42198716534661274,2.134889533202129,1.6731463666025963,0.03279612433827491,0.373058422799074
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.065272332566286,1.61167238457947,0.03180564831870442,0.4233631050957323,2.0873939459591373,1.5893562173768851,0.03116750923218374,0.36296422521334515
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.015528545050609,1.5665574374725872,0.03083685062183011,0.41564964078337996,2.2805705711809945,1.7856042208826224,0.035581517671084306,0.39355893921146423
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0529627850121437,1.59895842766572,0.03153722640738952,0.42741457555083584,2.1093525884529876,1.6319005051410596,0.03223632253050559,0.3624024567714723
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0736682072018175,1.6116281515137516,0.031750455510042304,0.4106974957177285,2.046858174804168,1.5687668915817587,0.031036918995946593,0.4213644786748042
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.06938021983656,1.6154212195639188,0.03189368757978846,0.42276516601088665,2.2746568246838317,1.630170845410509,0.031922572148243115,0.22808531582484048
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.223481161190265,1.8054585000486527,0.03560951201362437,0.724693677691416,2.403542551478256,2.000519256773444,0.038079751513857986,-0.1436476449714854
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.7966908794516823,1.5084397391238114,0.029032449100259494,0.47752375166211036,5.839750072424765,2.5684204579540038,0.050181873160818055,-4.653818939330273
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4558793306759703,1.15327269407183,0.022339938187287207,0.6357399173375733,1.508016848233469,1.1401129175509643,0.022059548244547783,0.42551094276310586
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.563740118286522,1.271061178622066,0.02503757441870098,0.3517492316370202,1.6683767405808423,1.1930580677398632,0.023269231676613128,0.07569274211753962
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9093325267293497,0.7137842239501256,0.014249993816966322,0.4838068563419906,1.4403452817928608,1.100749261885035,0.02279746380265646,0.12182769667073501
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.2562068856410926,1.8472395474261925,0.03641063977796619,0.7081748026246174,2.8942919860601912,2.3123894296937104,0.04508559223586439,-0.3923930089609644
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.3043678674790575,1.878004763977945,0.03684220172746199,0.5496007250222698,8.698101230930346,3.6549904214000457,0.07062745818476965,-11.99281459635015
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.3077952382598164,1.840432383564317,0.03601337068869297,0.46283862739528847,1.9278958130829573,1.5596521399699002,0.030664587128481816,0.1573698266769945
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.193621381798945,1.7279672210354982,0.0338638620333387,0.4434560582653647,2.686485166247497,2.153315707499287,0.04334795039147725,-1.768642354898284
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.1526676096498365,1.685932105326391,0.033175546509604574,0.4006930857791535,1.833601172552894,1.537190878171748,0.03130444726675713,-0.6466701612119121
Local Model,209,Z,Chemical + Mineralogical + Feature Engineering,"(1238, 23)",,Linear Regression,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",2.1707278816711626,1.7046550967390772,0.033524980414960444,0.4031840207555196,1.8486736744522274,1.546654181763816,0.031467219352206734,-0.8571650439744718
