Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5349627683331246,1.2258737398398047,0.023967706409478533,0.6711451038639494,1.6467617637585192,1.2777590936230079,0.025053436628849738,0.6510650353312328
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5533097232610775,1.2426585156989831,0.02431159177941496,0.6784910895080658,1.5101167499109744,1.2038044468049083,0.023613574404016954,0.644305623416623
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5097303193673262,1.2035337999131952,0.02357978476050309,0.6856078800222392,1.7738933473555276,1.3763145938996355,0.0269322265165229,0.5726183108608054
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5301461779643244,1.224779617509737,0.023972491026561692,0.6784844843313915,1.6232028938235723,1.2650018267303358,0.02473595272721616,0.6391610778575622
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4869133282108504,1.1783613734240497,0.023071178420485002,0.6939755770351637,1.7482700916313043,1.3833827030320898,0.027269243904272614,0.5924196903891751
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5157112199273481,1.209847614789251,0.02363481466488857,0.6618172064842726,1.7108295980332286,1.3504522600481597,0.02684267846568742,0.6786470732537042
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5254461298046753,1.2055577572909277,0.023664164012896147,0.6938041856882227,1.6445561068418424,1.312643257264168,0.025382001815949157,0.5454862790825568
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.536326878753689,1.226751833829014,0.024004091366312277,0.6859574636645442,1.6900969067087428,1.2690564955434498,0.0250019355298279,0.5515328651678986
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5199447253536138,1.2086918173596561,0.02362390736534841,0.6803469588818689,1.6165715372934024,1.2911724136908522,0.025523813839901856,0.6519857137954322
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5226221567544036,1.2152226052539266,0.02383236544500032,0.6815797424926339,1.6582858695890226,1.2925958579368462,0.025132503945736705,0.621735960321935
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5063345438886375,1.1947396704163222,0.023408375370699643,0.6932457111187402,1.6503132266515415,1.2957536758915087,0.025333516521864125,0.6018123886280096
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5306432711422446,1.218982839873344,0.023829256849831528,0.6629895387923239,1.6470160422251026,1.3200033464739405,0.026258305208629165,0.6837014320168004
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5158499062158275,1.2114602530123015,0.023703754522959964,0.6878304506707478,1.5947323368161417,1.2503653680124602,0.024390147583645053,0.6355618144028294
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5265784034134149,1.2211818683520341,0.02387838847066606,0.6806271628687214,1.731565843732635,1.2790092746255866,0.02524970466684152,0.5858977330107531
Local Model,209,Z,Chemical + Mineralogical + CS7,"(1238, 20)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5381136114397242,1.219745951632319,0.02389844506199506,0.6811042179230051,1.6426621478839833,1.3140922886157334,0.025540096959945795,0.5974368354593664
