Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1238, 23)",1,Chemical + Mineralogical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.1690388303050865,0.561061435479214,3.9780437585666095,0.44461274467031614,0.07764415886977728,0.00816840470058092,-5.241871096954975,3.8097890216962145,10.449367078987809,4.19858560895667,8.36373874282837,3.47318333864998,0.16264351882425873,0.06488649389438991,-27.83264733680632,18.65137955075674
Local Model,209,"(1238, 23)",1,Chemical + Mineralogical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.9183908246852432,0.012820667881693292,1.5283806702584937,0.01120031703095021,0.029547028342245877,0.0002542385062399767,0.5338526205696138,0.006244954026030305,1.9959879651103256,0.022749625821722526,1.6137218434323553,0.01954762700296,0.03287066987822448,0.00036704807839637443,-1.1652210371842198,0.049490536330955646
Local Model,209,"(1238, 23)",1,Chemical + Mineralogical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8301234035030136,0.03604363885464137,1.4409758579468896,0.030993246309667172,0.028063757573209832,0.0005916280586002915,0.5397306263581813,0.020918584249218865,2.088689037613633,0.12900536268983714,1.5979446818101941,0.07557313467617197,0.03121836362816582,0.001496198894757529,0.3906492738854181,0.09449265788125231
Local Model,209,"(1238, 23)",1,Chemical + Mineralogical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.8534153288160713,1.3663549493823146,2.227671419784423,0.9880155974774734,0.04315827270552071,0.01932525314311781,0.24657740969130354,0.5091204227934825,7.349827571080782,6.603792384305199,5.198995222566968,5.1988242094564034,0.10089275182704033,0.09923525813310412,-15.987136558064007,22.92865014721202
Local Model,209,"(1238, 23)",7,Chemical + Mineralogical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9547528233402773,0.4465549637980804,1.597821846948418,0.41104211340728125,0.031057554332210396,0.007711641394756239,-0.01943470423855791,0.7218247729974572,9.47415831378431,4.173059960714722,7.574891788439544,3.193738300054875,0.14747996508559894,0.060970755941620304,-25.19910616855448,16.697414098273434
Local Model,209,"(1238, 23)",7,Chemical + Mineralogical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.6495287483845686,0.17185968385067496,1.328648771709866,0.1467181578529064,0.025583687241722993,0.00269293374757773,0.6091848786762096,0.08342389992422565,2.6178149891338163,0.5021449152415768,2.12101022288913,0.4471874600299552,0.04324674551508892,0.009203346430112919,-2.7647006118859596,1.337702048442022
Local Model,209,"(1238, 23)",7,Chemical + Mineralogical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5010997501181789,0.06532292046403637,1.1924309122248986,0.054014511835038456,0.02315013836006142,0.0010135018776338464,0.6523568785713596,0.031072016269233057,1.972817052129802,0.09418156361559367,1.5733310336862123,0.08648819907713806,0.030611984758949936,0.0016954298594177024,0.29037936175868795,0.07988430643189907
Local Model,209,"(1238, 23)",7,Chemical + Mineralogical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9842680787335154,0.5199564673108666,1.620532824012257,0.47466175676195543,0.03117699544591705,0.009001807641802558,0.5662859401965237,0.17539234032081022,6.396304727260034,5.019012096319108,4.95306491817617,3.9423881078286844,0.09650137831518486,0.07590578741428393,-12.372793797416813,16.756653085343334
Local Model,209,"(1238, 23)",14,Chemical + Mineralogical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.866709412947463,0.2042529013491352,1.5199559496630421,0.18608856546546645,0.029022050549057415,0.0034912612224639425,0.4470178800809485,0.11783612291396198,2.1922339401282844,0.27219644284974964,1.6394340817290953,0.2183296732280188,0.03337060211271972,0.004487799840254638,-1.5967183566352896,0.6196752418356183
Local Model,209,"(1238, 23)",14,Chemical + Mineralogical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.684913416228783,0.1916235018244888,1.3567971250319137,0.17415699312393146,0.026164514235739178,0.0032615059545461223,0.5125680140598398,0.1061202377760579,2.223624785421561,0.15925699731208975,1.757380154556509,0.12886895498624418,0.03398379180781779,0.002388392208498027,0.02458294944531715,0.14764192685080146
Local Model,209,"(1238, 23)",14,Chemical + Mineralogical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9316418988258084,0.42160532059971606,1.5721793976213883,0.37172234051719716,0.03016800883371791,0.0068721661514254346,0.5064908515974119,0.18753388733943818,7.4031063154689525,6.693387104938258,5.979824100306981,5.697854673645937,0.11628944154890344,0.10928967585575158,-19.190755715696532,32.204449132895746
