Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9385794240195917,0.7392389337654313,0.017198224412213806,0.9652371412651719,0.9676919750250063,0.7257426498319076,0.0169270518320859,0.9638320537002194
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9382595260318428,0.731633443814959,0.017108472304511856,0.9660984812088382,0.9632038984474773,0.7553393558063629,0.017116244330897274,0.9596769758830713
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9322540334243264,0.7293350566144925,0.01692974117680472,0.9655975247158466,0.988429495221642,0.7553934159120006,0.017688021357017986,0.9624812380971138
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9377998413198904,0.7302975624356358,0.016909719443350426,0.9652205728925735,0.9763110217150969,0.7532157297037932,0.017799972722127567,0.9634873572005718
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9258500688414893,0.7104063299821753,0.01649648602972585,0.9662091776187597,1.0338701648240867,0.8146599752473276,0.019125809257578296,0.9584005688822625
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.925160312239179,0.7194604335881228,0.01672580981415956,0.9660851338416117,1.0097965545504304,0.7850623649920722,0.018182040989564514,0.9612235726169216
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9217900337270778,0.7183760295474245,0.016661160013142662,0.9662442385024966,1.0201550204273175,0.785727471926947,0.018414677446895684,0.9606574679870967
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9475942491402838,0.7376818716725888,0.017190543364544657,0.9651546088587082,0.9283513218395695,0.7249681997075652,0.016732653217565355,0.9643227739965955
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.938920549505261,0.7330420865898467,0.017036497994999737,0.9654102132564899,0.9721055464684041,0.7378979981744784,0.017393911756843374,0.9626196293895845
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9451425566488615,0.7341885697452005,0.017073892403169883,0.9650834381627074,0.9341730373944298,0.7379575783569655,0.017070447591663065,0.9649754428007878
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9349185545661309,0.7267996879199148,0.01696688350489356,0.9656972829028279,0.9687227346328017,0.7567110639207622,0.017265871894660088,0.9627281278269356
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9310577183689384,0.7225019965661632,0.016784138169943286,0.9666613169739078,0.9965069346544301,0.7757648198507746,0.01807999483777709,0.9566800667426709
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9442034900301866,0.7365431217697526,0.017079049374507164,0.9645947682376872,0.931811099538233,0.7293216756413551,0.017232934355928826,0.9668241764642348
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9462782234194382,0.7402788307327594,0.017166324570573162,0.9644773982694561,0.9242202224047341,0.6934465713006834,0.016263197013478566,0.9676093777477104
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9240390355812093,0.7173372457848604,0.016702845890375437,0.9663058614320508,1.036979476643305,0.8166933263417734,0.019046611270505956,0.9584477899299017
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7167361279620958,0.5614015014886643,0.013076794411013191,0.9780217290652669,1.0738307809918868,0.8473986747400746,0.019548306423284485,0.9543222567351717
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8288579106331511,0.6421310001181308,0.015086704860534693,0.9716955211796009,1.0587810910316453,0.8448465094469758,0.019870631569641282,0.9534809797352048
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8302382788206734,0.6753664045328448,0.015794381098744394,0.9719041884717001,1.1837229060414687,0.963033989354191,0.022339613900440678,0.9426985067244255
