Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1870908428634808,0.9235527427829077,0.021578104659866572,0.9443914802096186,1.5282816133991217,1.1897624411234038,0.027985213234180337,0.9097896544087837
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.284890227838899,1.0228064806332549,0.02359790497258235,0.9364222370951882,1.595343559792805,1.2144951956612737,0.027491095220463325,0.889382184122216
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.240106985327579,0.9871308193537334,0.023094475055203692,0.9391249323153553,1.5008334373226226,1.1734380293865612,0.027909833083941214,0.9134988065885108
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3204820842740517,1.0525110207809487,0.024802084032115795,0.9310447812333698,1.4093243561655158,1.1086341546506333,0.025826541094975904,0.9239167949427408
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2459131773110799,0.979642807768999,0.023045199768860988,0.9388082331216697,1.7205276330521602,1.370986486940968,0.03252458556632945,0.8847930470448075
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2335652502862495,0.9637329101562523,0.022582137410663724,0.9397051286380353,1.6375525903706605,1.2842839481384802,0.02990779506275076,0.8980257459636672
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.269936596206583,1.0074759628187027,0.02342050462644662,0.935930996338263,1.7279792554494346,1.3460170200892887,0.03177111482940824,0.8871225958432775
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.175009611985242,0.9335586905600962,0.021684501273806712,0.9464223883820001,1.5504415552704562,1.2088636437240945,0.02803654284698419,0.9004876094900683
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2478451868408689,0.9840515323370616,0.02295981274130152,0.9389041639257462,1.4887949258960382,1.1525030719990657,0.026894408312966783,0.9123228305459017
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.363816868203805,1.07176728399279,0.02500218039443132,0.9272975658924046,1.8232258697740702,1.419848103425939,0.033320605197506604,0.8665867555989254
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2370106684990245,0.9651363256026299,0.022399769717955695,0.9399479477135105,1.5531451392710955,1.2223232393342287,0.028141570450369722,0.9041909999833719
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1918683024341696,0.9334400927497967,0.02153705500871736,0.9453674124499525,1.3810999110435918,1.1029855377820106,0.02544839414365466,0.9167896549608127
Local Model,partner_i,Chemical + Mineralogical + Physical,"(1226, 37)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2409973744939196,0.9916995531679071,0.022965571215541384,0.9388385230655065,1.534276262543151,1.2171225878657117,0.028938154625781472,0.91005581613341
