Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0393502390056801,0.8310845044194451,0.01917034264137469,0.9573717733941348,1.0670321682773896,0.8345351645616955,0.019269157750765004,0.9560251268695552
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1172813876516245,0.8791034204636642,0.020137282118876842,0.9519273217597484,1.1579971791390007,0.8989361509984852,0.020200027854153785,0.9417183772900254
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.092085817409622,0.8742379510317627,0.020170866760834988,0.9527899257315748,1.1151416226174051,0.86351354170819,0.020057481021271428,0.9522451860082903
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1003387553228796,0.8701926454005509,0.020035342479201933,0.9521199127230865,1.0882387236549627,0.8730275991011658,0.020248209578804834,0.954635593273928
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0827700420089577,0.8580664266261623,0.019747485701964815,0.9537842614573583,1.1758125403625557,0.9392193541234876,0.02201319436043811,0.9461938941579251
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9889730153801458,0.7779814506063677,0.017977374948171553,0.9612452443409761,1.157672578303733,0.892454007776773,0.020591242690117462,0.9490350600346914
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1240949598068275,0.8931333287168115,0.020589878280201878,0.9498015977635452,1.2072025594396252,0.9525222155512603,0.022191658008081313,0.9449077817115135
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0855762489384126,0.8596346132859788,0.019874291194256315,0.9542678965755798,1.0498348959782842,0.819661790497452,0.01893923606608371,0.9543744231801498
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1263997874870528,0.8838868758486441,0.02039284372721088,0.9502176589619675,1.127607794346274,0.9103175571986624,0.021068301111666254,0.9497040634869738
Local Model,partner_i,Chemical + Mineralogical + CS3 + CS7,"(1226, 31)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.140027677151386,0.9060265427335704,0.020832988119549662,0.949199542166024,1.201399235500709,0.9702255560427286,0.022190140157579294,0.9420714444738696
