Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_i,"(1234, 32)",1,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.2227647399605917,0.2690769917362756,1.688813604627339,0.21767493618604805,0.03928717324396742,0.00507792855256357,0.804388001210319,0.04231517866278042,6.631108822406656,1.054054297388752,5.175602133433022,0.7448662984789405,0.11989578435928472,0.01617571244946327,-0.8407141876854252,0.4797772005605413
Local Model,partner_i,"(1234, 32)",1,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",0.9988795058476431,0.04313973853699325,0.7980385941051629,0.034988802533450124,0.01851228671579053,0.0008073042395916003,0.9607986179331265,0.003425614883335424,5.033404145194717,0.9556961148980851,1.5799786133965663,0.10966616627236889,0.03606242424951001,0.0025777838911857152,-0.06280221952251204,0.40688000367892285
Local Model,partner_i,"(1234, 32)",1,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9890125502369844,0.06897883594244447,0.7801635162568845,0.05573563412657466,0.01809113801634308,0.001255218787500355,0.9612793213637791,0.005552493923308497,1.8382902216761743,1.1116014601684892,1.077057538470377,0.11052289286631996,0.024939462445578407,0.0024277660087093944,0.8129083818347009,0.28576087684728513
Local Model,partner_i,"(1234, 32)",1,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3539977606134073,0.5670612141893312,1.0567909076857795,0.43338818667357815,0.024779427051766178,0.010336843879935855,0.9098831382918328,0.08726494642160554,4.9691824040208505,3.426414790586151,3.5533263618965467,2.674107174796583,0.08284098435028894,0.06257537577138148,-0.487210794964185,2.09447673195001
Local Model,partner_i,"(1234, 32)",7,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2204392247167948,0.3561412520084974,1.002123165487798,0.3246445201937744,0.02324361758855947,0.007347653720638384,0.9358564516402395,0.042262463666423944,5.20872674912307,1.3971660454962298,4.297479657332103,1.2346943248445819,0.09950935482308418,0.02859115058502842,-0.15701307067356146,0.5990876634625986
Local Model,partner_i,"(1234, 32)",7,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",0.9264664886088442,0.00919657236936132,0.7530730371832807,0.009998535642353874,0.017533070410080287,0.00022858146983456806,0.9664483714795479,0.0006677125530143608,3.2976904001227916,0.36540426950654714,1.63074907638794,0.18148399930025028,0.03658629542395996,0.004607112180530916,0.5480258581561835,0.09544136671416734
Local Model,partner_i,"(1234, 32)",7,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.840579782915054,0.106319629886087,0.671604752196716,0.08939726454836268,0.01555121969214739,0.0020652076391133155,0.9717897208768878,0.007161967244517627,1.863985239370069,1.0923948181670478,1.168607918658879,0.21240166137449204,0.02694423215547008,0.004483447846733041,0.8135509537247965,0.27462303158350326
Local Model,partner_i,"(1234, 32)",7,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9324776148901834,0.16905403018057036,0.7603771562422106,0.15544088383551785,0.017625828347298266,0.003585794353149703,0.9633822755655366,0.013485039104484857,4.658503270179309,2.8554612127564805,3.548276021688806,2.2951538334303523,0.08258710314985733,0.053989219938039026,-0.20859930127100448,1.3802664524555786
Local Model,partner_i,"(1234, 32)",14,Chemical + Mineralogical + CS7 + One-Hot,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2107586326184039,0.33936599587371047,0.9909829384708619,0.31877766600159285,0.02282441299754975,0.007325169099762844,0.939856237927448,0.03354124299685357,6.378057928443998,2.974229220558352,5.762453958242438,3.0253820946714027,0.12770301611076146,0.06264760795296351,-1.7197695084272326,2.421519958229181
