Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_i,"(1226, 37)",1,Chemical + Mineralogical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.26327541372764,0.18086224191781894,2.4997220753001534,0.1399629147624664,0.05805425805462735,0.00323315333335781,0.5800465951178329,0.05572605903295799,6.544543903414631,0.5270253777341194,5.05980407040135,0.45661008607645553,0.11827306150015679,0.011714497631569704,-0.7780778039606955,0.2486735176066183
Local Model,partner_i,"(1226, 37)",1,Chemical + Mineralogical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.1943615041043223,0.029652762118120506,0.9415849731082025,0.02504642834272057,0.021865115441961767,0.000573640176582894,0.9441550259044996,0.002772021360463596,1.8214789652806547,0.2695903735052201,1.4189738400260306,0.18599734612852775,0.03330414079911515,0.004437643603838374,0.8630290165962554,0.04010814362755101
Local Model,partner_i,"(1226, 37)",1,Chemical + Mineralogical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2496075449679083,0.0530161521748063,0.9863329686952358,0.045645845832199494,0.02296405746795182,0.0011066096257621434,0.9385125434079217,0.005331205213108732,1.5867384102110658,0.13518251922513713,1.2431329920555507,0.10718031378256285,0.029035230190238574,0.0026184956937525877,0.8999532717585963,0.016961456719748733
Local Model,partner_i,"(1226, 37)",1,Chemical + Mineralogical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9863383723511714,0.7029472184103588,1.5437929713255911,0.5315970852466128,0.03605689163768317,0.012557523740202456,0.8145607846694959,0.13511883362416174,5.248555902578721,3.738019191157016,3.888954322692616,2.5192383112152528,0.0914303476476893,0.05933488964596796,-0.6734662247388818,2.264388299550674
Local Model,partner_i,"(1226, 37)",7,Chemical + Mineralogical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.73352735968833,0.3705908949121068,1.423217261953747,0.3260793367335545,0.03243787785951373,0.007223847444077833,0.8774806471429594,0.049876382659708854,7.205669898177605,2.2081290473841757,5.863352839152024,1.7142233883564233,0.13935713387901189,0.04342493517883104,-1.246612284416924,1.3774560010477874
Local Model,partner_i,"(1226, 37)",7,Chemical + Mineralogical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",0.9920453219574553,0.02276378226042109,0.7956109248509619,0.01789502965354722,0.01873093566785832,0.00026567311190777945,0.9615746296642599,0.0017663698216813246,1.969280992472271,0.5821274999272331,1.6334165801778866,0.5152320063608122,0.03825016455117917,0.01267469075117072,0.8272820077313319,0.09748812921271241
Local Model,partner_i,"(1226, 37)",7,Chemical + Mineralogical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0349165479936913,0.11956548458222364,0.8324861897951789,0.10798854390881026,0.019067647568036306,0.002411612300156781,0.9574532409778086,0.00983497624568075,1.302902792610871,0.10344575813396152,1.037675774129075,0.091743602167805,0.0239794186408746,0.0020894317733460323,0.9332724629696141,0.010115178213312695
Local Model,partner_i,"(1226, 37)",7,Chemical + Mineralogical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2441931454859294,0.25923661984221164,1.0038693606765623,0.2283929723230817,0.023214033969452534,0.005108183574295896,0.9337388866551976,0.028847379405720058,4.541238418733569,3.4925119656705133,3.668390478797284,2.8305784321602374,0.08732655101023169,0.06885669453180823,-0.30557289523352865,2.002078153555621
Local Model,partner_i,"(1226, 37)",14,Chemical + Mineralogical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1809929676070188,0.2707885366898151,0.9587473624324601,0.23190759051767496,0.022257431128359546,0.0054968581740327035,0.942451148569201,0.03043317733969322,6.187444261628543,3.990810626600953,5.50034696967354,3.858565550392702,0.12513506377756875,0.08702949191791652,-2.6281681430557966,6.9244682195526925
