Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1448449628569484,1.6181156635284448,0.04394387004697189,-2.57015091293161,3.939696228165334,3.2931984226878095,0.09014812815295237,-17.72534450102439
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.959408025031399,2.2492587973431872,0.061246647923795056,-6.361676585115451,4.570815234494124,3.34226929269186,0.09047737045020557,-16.072742293707982
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2720367382939233,1.7574510574340838,0.04792300273152679,-3.282527218017883,3.5442846466227427,2.6618507896981662,0.07266191104661854,-9.548185471379794
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.244522540163566,1.757809010947627,0.0479709963983196,-3.5650273612898697,5.019652118960058,3.5053756527784388,0.09498764448147784,-14.76623987067412
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3957112279841937,1.8536923571330755,0.05052518282992325,-3.695489272347425,3.1204753393468847,2.39136146917576,0.06521370507304952,-7.671357318678721
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.515247705930666,1.9273374429563217,0.05249431017562095,-4.192112876258939,3.898052289670684,3.0008402568538064,0.08178662782097518,-12.37819444793183
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2432815890034594,1.6756634363314038,0.045665622450999345,-3.1455264946911488,3.8186562213767012,2.908908843994143,0.07900851868794967,-11.63506598278075
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.7927414041016103,2.067582549118416,0.05627746497057159,-5.633234046419098,4.939906451144504,3.7966849396868505,0.10296121580655171,-17.717396008380042
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4844525505104365,1.9184508788876473,0.05235589798578098,-3.9961447890423063,4.716081269840043,3.8257930336929014,0.1036587937812411,-20.270640178004847
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.291941322081316,1.7323129525998762,0.047159673712279554,-3.5023190261892054,3.8367116517113384,2.690397774300923,0.07380966450622761,-9.997397741628152
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.6981492383812284,2.0635199721266604,0.05608455189204937,-4.846852125222303,3.217836621660517,2.643633865728616,0.07212910842183962,-9.151903883727156
Local Model,partner_i,Chemical + Mineralogical,"(410, 31)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.7009250777020983,2.0340325657914367,0.055419026513231606,-5.159958565783261,4.402505573619269,3.323661059868049,0.0903226798643841,-14.698009475513633
