Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.470496030263213,1.9363729895615016,0.05260488835726496,-3.736560453421019,3.9887830731651692,3.1534732958165645,0.08618443111969115,-18.194870190419742
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.348024720391968,1.8484245858541397,0.05035847381980193,-3.634174355070299,3.347793073243929,2.616590313795139,0.07096672627750533,-8.158685907321072
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.039775326045082,2.3869583490418234,0.06503679778396652,-6.66571032215004,4.085694010247866,3.2582580519885593,0.08849426744027761,-13.01690876155096
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.362851954772972,1.8755579983315869,0.051111290175640964,-4.0590441094341125,4.324961887474633,3.252865605238008,0.0881399046297987,-10.704300387627116
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.558699614253006,1.9995641126865316,0.054453470694170135,-4.356122773659077,2.9804536863668463,2.283366110266716,0.06231634356404423,-6.910616453882609
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.157674956406501,1.7180278184937292,0.04675708369379981,-2.820802981445988,3.1437862757258146,2.418400229477306,0.065983899823169,-7.701782224952844
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.028960058927487,1.6417961585812477,0.04474906175898423,-2.3912445334870376,3.1256460524645653,2.374260972185837,0.06477037450240285,-7.46517583882536
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.509923616725052,1.9672990310482896,0.053495097157159444,-4.3577800858529026,4.003789367028422,3.1877183216374156,0.08656075013364772,-11.295619738242195
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.793965720120305,2.1356876710566137,0.0582019452980197,-5.318525593657249,4.268162101710978,3.3866081237792995,0.09196402940348465,-16.422072254415948
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.537432640504918,1.9824237590882865,0.05393810410771874,-4.518465349906749,3.864844589735309,2.8377875118720817,0.07760615684175706,-10.15926730346829
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3597245796878568,1.8273273154002891,0.049735047701700584,-3.472113403816648,3.7895028687020487,2.9076666948272027,0.07949342063813755,-13.07939513930005
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.7427732866191796,2.1745745147146867,0.05925573000359895,-5.352322497272913,3.795567447865453,2.944892743738688,0.08006442252210404,-10.668047396800215
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.329374646536853,1.824745585278771,0.049761736982324785,-3.5068771237052623,3.655001541068344,2.662268080362462,0.07205206192965041,-10.168283204379051
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.56328098983634,2.005696442069079,0.05458624420810002,-4.974807533921357,4.077372435603608,3.107629310793996,0.08427503077538026,-9.320502959036403
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5431278058855673,1.9895400186864407,0.05410112544549044,-4.065706136512864,3.4243483093136455,2.7408509603360813,0.07447285771498834,-11.949610524941962
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.256801111463488,6.695159031794632,0.18184410003284635,-53.604012667618456,10.930605476647658,8.452337265014648,0.22709421673206587,-84.70585696274811
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.984152657197402,4.23825126061073,0.11544215503044687,-23.33434462309117,10.286410649714076,8.402677423813763,0.23045918326955095,-495.89881049580566
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.329021947294865,5.71297149658203,0.15535032906507737,-55.73030245723401,9.053588420203608,7.171130348654348,0.1940453957795843,-230.4243082452108
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.038708559883471,3.8290458972637507,0.10689140084832452,-16.429119592239488,15.836368888327579,12.523354586432966,0.3323016932800658,-91.72380236474571
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.97351660221149,4.482824501624479,0.12097586557858661,-43.53117663836348,7.492274422319547,6.159031138700597,0.16720228370593002,-66.4655893011908
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.024861631567222,5.5513648693378235,0.15111014735961403,-38.52541699792312,10.428963635057375,8.326783460729262,0.22464568601244703,-77.0197167299342
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.516986488535926,3.832154259314909,0.10473578248018783,-18.98639958273159,10.31903882837451,8.726035791284898,0.23896548632879225,-499.0561055199774
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.52217944127828,5.137431981013369,0.13985971046383155,-43.927115997923465,10.47021604477991,8.310839653015144,0.22463233361546064,-308.5129079877297
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.625159065314157,5.32033500671387,0.14879751596855298,-29.13211323200736,15.11800437232703,11.411089813008024,0.30485058930573083,-83.50238112404716
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.150738027110388,4.682399074847882,0.12646510175026268,-46.21266115228708,7.760553424751144,6.384963428272915,0.17390815656975245,-71.38362885699223
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.41811705511293,5.72211334521955,0.15578145251209824,-43.07458947503587,10.80037712413067,8.453631344963522,0.22731610214591544,-82.67580584659434
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.132496609316536,3.377622721745423,0.09184402809646211,-15.728692366928495,7.51329331498353,6.526172525742481,0.17893568878776742,-264.09462892897506
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.501376964011027,4.247109926663911,0.11565278083764298,-30.96434899396593,9.250312049464126,7.446937000050271,0.2011871454304399,-240.5907190077374
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.435646464569549,5.178476920494668,0.1445540735769051,-27.43291117256642,14.666401609196,10.646969767177803,0.28365908312671195,-78.52929996304049
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.595726173846885,4.702736561114976,0.1269597317415374,-53.29117675559324,8.23717880531037,6.746925578397863,0.18275256900724113,-80.54774436202528
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",6.986476446641609,5.4697003500802275,0.1489712983737545,-38.8276071785109,10.903828530322084,9.121457310283885,0.2471031501432406,-99.59563947772055
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",4.571964872322257,3.5849912477576282,0.0973154563521994,-16.355761900917933,7.380858447386442,5.657404016045967,0.1545151341320293,-72.15071640829461
Local Model,partner_i,Chemical + Mineralogical + Feature Engineering,"(410, 39)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",4.266707531635352,3.345588563715375,0.09107987447214204,-16.29342587446458,6.724837313768652,5.686529580284572,0.15701122166363504,-40.550736117637086
