Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8732669673653402,0.7417885152305016,0.02031805314586825,0.4081811017564695,1.3282956473798497,1.1190341391214458,0.030856728649161197,-1.128598942905843
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8158541364698076,0.7124962225192898,0.019570784565517623,0.44051032117398936,1.193596480142577,0.9564214566858759,0.026192632996393267,-0.164209158107246
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8413527665101278,0.723909657175944,0.019928149522113685,0.4127464010846841,1.1726162960907287,0.9526153657494508,0.026184862003384348,-0.1546023081931709
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8066095219492571,0.7053925467700476,0.01940387036075914,0.4104479799694497,1.2870785231730948,1.029613029666059,0.028424983269262724,-0.03655172068575818
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8970221583954843,0.751588472505892,0.02063576918202995,0.3417084832484675,1.141039353129351,0.8997705506115414,0.024731728290099956,-0.15943610148672493
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8775831259529653,0.7591675549018656,0.0208632189645354,0.3679388012523396,1.2374283481682908,1.0021626542254092,0.027608148031581594,-0.3481626927483732
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.665008477314006,0.5582638600977429,0.015319952561026999,0.6356938739591644,0.9644121116336869,0.7437788335288463,0.02047857729963706,0.19409898763098388
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5920435124955464,0.48020621043879774,0.013155648295511418,0.7018937188516907,1.5942437689877458,0.9140228643649938,0.025059342669752484,-0.9494739497082789
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7852742300197063,0.6693715467685571,0.01843926477191922,0.5008669890340198,1.0474968265705398,0.8541931989716335,0.023356572069293036,-0.049357405840421364
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(410, 37)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7976299509964342,0.6872182590205446,0.018872690366455537,0.45470416265102886,1.2252957366731358,1.0156535171880952,0.027910603919168768,-0.12163991353572245
