Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5469408254305645,1.1818162857858738,0.024806464214599616,-0.6669793083449449,2.851684823783157,2.1893911602116427,0.04610333838167073,-5.664017128022542
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9406229894521343,1.4481193703099289,0.030468085049506988,-1.7662158902266367,3.8891258548167746,2.660358653349039,0.05595619254686443,-8.945393565707807
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5913100409211625,1.2292503919099507,0.0258830459986238,-0.8130263905124955,3.2721377676049546,2.477476937430246,0.05217177890995144,-6.743540503876285
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.675189674513871,1.2403187962582238,0.026104874601351073,-1.0602902367924836,20.51769702575869,4.088891582328732,0.08615425652461448,-276.311614373993
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8174793989732454,1.3996545166528551,0.029392202815228,-1.336711722777709,3.8707131159518853,2.702882265640515,0.05684197348449699,-10.424650590467422
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5996416630724337,1.2174358970240562,0.02562092007769996,-0.8687968852585519,3.646482193125848,2.41995343440721,0.050538889603710245,-8.00311736989363
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5418507740407867,1.1764272268194906,0.02473153506763826,-0.6658374897053054,3.3173742544913036,2.59822515279305,0.055036822767562735,-7.7663841505539395
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4260073391016692,1.106639107152035,0.02324759996186132,-0.4728933622586835,2.9454946907514525,2.22981137187541,0.047068047952258954,-5.086636836600949
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5755723606939473,1.2303916288677008,0.025875449680675865,-0.8121269595118212,3.3494116029273293,2.6536478315080934,0.05579454361139845,-6.631676026186827
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6893153973704598,1.278175161666228,0.026882115763717206,-1.009516911751676,16.2210346054298,3.9868075483936374,0.08417655424843846,-203.35543471776086
