Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1412583450679141,0.8764048865978351,0.018290081385727918,0.09270035851384284,1.0649509050712889,0.8152680861571024,0.017141407438058306,0.07062233797978268
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9500256299052765,0.7255769197767844,0.01520179958265816,0.33705977445347723,1.122998420358295,0.814689898940856,0.01693110384720406,0.170767586233044
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.991073126269869,0.7609051867082486,0.015929479852486342,0.296756187613464,1.0043401759446802,0.786451086739976,0.01647712850853861,0.2704785182232121
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9469132497651764,0.7269170992528076,0.01524394531941031,0.34170460568016436,1.1058430681088398,0.7937571310574584,0.016531731914725276,0.1944401099964862
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.062540004719882,0.8040928820369796,0.016802595537655507,0.2013495804851294,1.15502442019246,0.857506781131347,0.01801293906143596,-0.01728652355319449
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.00704267217308,0.7856122963965012,0.016448721677321566,0.25935100987755044,1.1345437704120616,0.8593096414606994,0.017936468062952654,0.12846019160982358
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1334783598468345,0.8696807260852973,0.018155534462047967,0.09972661427125651,1.0860063201434702,0.8266186682682752,0.017349981997553963,0.06050112681008046
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9864809235244338,0.7523924353548115,0.015722028089518076,0.2951362658756954,1.0689806281100145,0.8173699210686903,0.017204879374298,0.1983208813578946
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9793884223384492,0.7473141390360167,0.015673720831373646,0.29980042018639497,1.105404791429271,0.861689989364085,0.01796977831423098,0.16876165253114062
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.954121876474096,0.7257995728367562,0.015214287357957353,0.35897068346350336,1.060231917748474,0.7747713962778405,0.016157946194808728,0.12696664018964798
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0652919089446535,0.8124075432665658,0.017032434250237698,0.12529354629185918,1.3479513713006288,1.0114837122553753,0.020909815243544825,-0.07627399911048083
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0592231513639976,0.8050070134029466,0.016818519017827372,0.20030933412217222,1.1938467986463368,0.900114084402247,0.018901320592007494,-0.07567828000937893
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1069040462306263,0.8412372237846476,0.017571385848830147,0.09269588101744275,1.2232901312263071,0.9604348950691305,0.0200796205090779,0.045661595763594964
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0175113678660113,0.7715112585731049,0.016158820230427046,0.2815984946900377,1.067274925590175,0.8066483872156092,0.016844725695666914,0.05341743489346962
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9639897985133755,0.7436669457746627,0.01557502627101493,0.3681380730283551,1.0116593348170904,0.7717795992393511,0.016244928556851494,0.03553782533811034
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7547533458285012,0.5858732330775277,0.012302955325014799,0.5983653564989995,1.090379611765966,0.6962387171226402,0.014422704279842108,-0.08091193210180703
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.5674333383514403,0.44234056946233463,0.009350061100971576,0.5947894656443202,0.7494323982531867,0.5957409576133351,0.012699625205092354,-0.11095330138180559
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7316626968424687,0.5499423783043744,0.01158580121725081,0.3564180454758388,0.7212674935673054,0.5604417918322598,0.01174899080560332,-1.2242456847443957
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7332221545193187,0.5906279962314874,0.012344887872083722,0.7012687772403675,1.9170594510314833,1.573015924484025,0.03265962164411113,-0.1677336043168134
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9997176491827442,0.7669044485709758,0.015999021030402093,0.43664589823641164,1.075712813211516,0.8387182773687796,0.018065910224643468,-1.192581221546586
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7466047630742979,0.5825013359631898,0.012234984089478465,0.5956812524084607,1.239554370117787,0.9239107092000927,0.01940271407963638,-0.5997196155342173
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.8494521647299593,0.6398744609840129,0.013451111502769455,0.38317669213865313,1.026298608035159,0.8644056187780398,0.018294468984935083,-0.25633865250478594
Local Model,partner_i,Chemical + Mineralogical + Properties CS Less,"(594, 37)",,Decision Tree,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.8478678559273459,0.6345012090276346,0.013354220083869614,0.32141303197711113,0.7098966850630668,0.5586508114673946,0.011792285911077881,-0.07493184135960274
