Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8336354205163123,0.6453762174907484,0.013509278653951365,0.5158999524979215,0.906342043261753,0.7195769237870898,0.015136868174214994,0.3268415391482732
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7758512986631886,0.6010613612124793,0.012597868573693842,0.5578590798241443,1.109912158677135,0.8389615611869747,0.017425867811061202,0.18998101660595712
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8456349503568944,0.6464094382838196,0.013536067086178756,0.48801130936202863,0.9366635691984199,0.7256993846733015,0.015204714401880294,0.365482402482843
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8071756435427504,0.629457590203536,0.013200124255755454,0.521660189793361,1.0139003273193583,0.7390715014032981,0.01540499498419701,0.32282430746168056
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8176961706220409,0.6266411693156254,0.013118896083711758,0.5270120556993039,0.9727583547417906,0.7441015405169993,0.015629512271930126,0.2784425793421397
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8024476046256505,0.6278155276649872,0.013162102589855715,0.529726986348319,1.0220542040300113,0.7843505154136824,0.01632031430221323,0.2927180489310467
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8378199831943048,0.652367063823498,0.01365834137084008,0.5081310875367269,0.8798308958374611,0.6920313795073706,0.014581118709583557,0.38336243919797675
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8019581800651543,0.6189197259200252,0.012957997234617671,0.5341659533580001,0.9914539631406293,0.7749815227604709,0.016338477925318326,0.3103860982060217
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.774065695116427,0.6066304417660358,0.012717718572200094,0.5626113027334638,1.0541566571052596,0.7771829557018107,0.016155574167305474,0.24404978257030496
Local Model,partner_i,Chemical + Mineralogical + CS3,"(594, 32)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8484460168163889,0.6479703518522874,0.013566148696719281,0.4931042910383634,0.8863358403508973,0.681979033906582,0.01425111948627839,0.38986531789149836
