Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_i,"(594, 39)",1,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.671241250347789,0.6241575187636815,3.4833523418886454,0.501574195020164,0.07324074795447322,0.010241987887393172,-17.57899611975433,8.225217653373855,13.795931174086746,3.2614689594968658,11.039339558283485,3.118856664687012,0.23263953101514018,0.06439912641471447,-310.3173041419056,211.65586354766268
Local Model,partner_i,"(594, 39)",1,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.7114666246246515,0.11001971622624059,1.3130551923785303,0.06214195647112254,0.027644990947078108,0.0012966595448543952,-1.2308319152667255,0.28743915205177956,14.874540759331774,4.658052260292153,4.723434918400954,0.5149439508643615,0.09935310148355907,0.010866560516950294,-144.24011364264473,89.69938130931672
Local Model,partner_i,"(594, 39)",1,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7094345810687088,0.1766905615067497,1.305905389024571,0.13407464120655974,0.02746362545917128,0.002837056709219186,-1.1277861078113358,0.47081499041755925,6.424597592091776,5.876912867674649,2.980243453215213,0.6578908919124246,0.06277502457379538,0.013956634534431458,-55.79781560445587,110.55361482732556
Local Model,partner_i,"(594, 39)",1,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.6257393647236316,1.0130616733632114,1.942714291154069,0.6573021872484142,0.04107837023282739,0.014019152687393425,-5.43011718122406,4.558484521464299,10.279103923023008,4.872608110275934,7.106807214081892,3.8915100217977434,0.14950079646144382,0.08198445125954959,-144.1951405894915,124.17857604888948
Local Model,partner_i,"(594, 39)",7,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1487284386745233,0.2282974478868441,0.9101507157990412,0.1878185766611953,0.019166409349713472,0.003932531261450827,-0.0974372086672252,0.45704139452028275,8.050546584507728,2.7002873093668693,6.584460159584324,2.3513398766552345,0.13923373916933549,0.05044421899411535,-163.53999654915918,156.58221131221282
Local Model,partner_i,"(594, 39)",7,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",0.9296652607015425,0.058689323553461833,0.733841129457519,0.04537665106059242,0.015477610139814323,0.0009421020870472579,0.3364475961217681,0.085274672707871,10.215936933728235,4.6022388397973835,6.025831982097792,2.0245994668612104,0.12658784197400128,0.04270413998678512,-79.95828557471064,69.79743432557405
Local Model,partner_i,"(594, 39)",7,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0492797106802427,0.22401911148146825,0.8409960280967587,0.21445599787598868,0.017749648098949095,0.004559763213538618,0.16508372504150526,0.398361997649091,4.375219393620933,2.90829427364476,2.79194012216712,0.9136705946432496,0.058848311161453594,0.019335966324019214,-19.331506966399726,28.682478547185514
Local Model,partner_i,"(594, 39)",7,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2962787986499018,0.35745248395816565,1.088828972738219,0.3437324538510207,0.02296472685906058,0.007244422904425827,-0.5262367665231057,0.7452696864937968,8.386811449792107,4.714721682622533,6.490301551955574,3.9595133832034306,0.13692841037565462,0.08404384175675715,-103.34034866599815,129.31714582912787
Local Model,partner_i,"(594, 39)",14,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4710457397382832,0.24679948719896133,1.1808566686057265,0.20333807135469667,0.024828978615041884,0.004197404322224253,-0.8433048558756798,0.6929231916781488,7.860054039950436,2.826531577912801,7.029579231955792,3.0595922073575617,0.14854646481932826,0.06441383847712998,-180.35964782158786,264.1262467094106
Local Model,partner_i,"(594, 39)",14,Chemical + Mineralogical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",0.8741573283538719,0.08265297606721633,0.6904417095762326,0.07199366357884561,0.014539655232086978,0.0015440119077503194,0.4106394956778858,0.11415388569700917,7.8630586501968125,1.1715499451693236,4.9023825447514335,0.18118914591314922,0.10319810478273168,0.003627596477890983,-43.50389481781366,12.549448620213447
