Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8465035438829376,0.6502867385636782,0.014269728633504637,0.7097982263201645,1.2796225317574679,0.9661775699037526,0.02109610926255467,0.4223747506296909
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9376549572352053,0.7111657043857049,0.01562286304294052,0.6652683659285445,1.2182966504350237,0.9099097156942854,0.01984431472080026,0.34822147224475086
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.982912037034963,0.7645032028746058,0.016703132831353877,0.6011993734937668,1.210568135161415,0.9393193117018032,0.021017498019553972,0.42929399515365574
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9268083703945948,0.7163238980416938,0.015713902818179026,0.6563283472416308,1.111089242625214,0.8838969831881364,0.019073084250238247,0.4870070081561938
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1107489784540678,0.8745859184736725,0.019181022618570603,0.5482987526509057,1.2209332137206397,0.9499774446093738,0.020896049473466013,0.14659155327844886
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8306002703221128,0.6184818306656797,0.01351505307525372,0.7340786944676079,1.0487571200173909,0.8098076641239006,0.01783859864596496,0.5441748562513744
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.080349174578567,0.8457639362501088,0.018545373187409012,0.5540277183826214,1.0800745213579868,0.8842890147096574,0.019308456113372584,0.4979912339287931
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8141214010276675,0.6225945399249556,0.013647078038938066,0.7277388104837172,1.2215030220516152,0.867714352899484,0.018795188943035293,0.4895203859127263
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2223264572025954,1.017369985563584,0.02237076344741582,0.43798528709690254,1.439051916124005,1.2708389632206283,0.027893567072127277,0.02767610526320008
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.011953746800325,0.7850653189023425,0.017182757204697734,0.5891986613882257,1.091306348717112,0.8997838071643843,0.019907684271104464,0.5764515034026183
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8195407577315207,0.6333062844239229,0.013856870677005006,0.708915220621305,1.3510258935308288,1.076452085171793,0.02382991999327898,0.4565889474989191
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0556683265087579,0.8234810458026361,0.018045729009192726,0.5930330673447202,0.831608462213785,0.5901910635233726,0.013041050456229854,0.6162966916292182
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9547434319814403,0.7472099247695698,0.016367242476025418,0.6434394641070731,1.1100151917973053,0.8882239668370017,0.019479499563266292,0.4935203277470337
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0530253050287355,0.8368758697939683,0.018400090221708045,0.5607895081065504,1.3486633812513766,1.0479274254522661,0.022869880588147488,0.3238553596213283
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8289405903558922,0.6475589126446037,0.014163577377172906,0.7416167458916889,1.0988018561679405,0.7898742318506377,0.017094177002280653,0.4369506555482612
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6999804227495013,0.5356712902779174,0.011740741143563146,0.8341102585212052,0.4645752197871675,0.3836363358931109,0.008732749446407456,0.8853734939830198
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.4556923322643495,0.3871795051118213,0.008733816763515027,0.9150933392199759,1.3501090434324243,1.0898465083195454,0.024081521205989442,-0.6907455074671038
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6864033940065033,0.5004629912199842,0.011190699849706396,0.6836005163214438,1.469233087527137,1.1274070457175966,0.024404384359302776,-1.4320051436305619
Local Model,partner_i,Chemical + Mineralogical + Physical,"(230, 41)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.5980291617415328,0.4589505725436729,0.009857139630902567,0.7080700529944233,2.019393150824838,1.6177776336669993,0.03482133117258415,-4.156093198233165
