Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.643290822362092,3.606422268826029,0.0795301598356244,-7.731608851110666,6.689638195996879,5.226765549701191,0.11361852312168805,-14.786566074159488
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.25709641205452,3.276209167812179,0.0723570017918671,-5.899817780166333,5.984065594980038,4.780083905095638,0.1046123177293286,-14.724854638453763
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",5.138587091708929,3.8035438890042537,0.08372539576051033,-9.899685523337654,6.353260030297378,5.026538392771841,0.11213902720510309,-14.719083734922823
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.348491080367388,3.370847940444945,0.07460102714960087,-6.565558326354868,4.6022124161892055,3.7904793283213727,0.08213192140817406,-7.801300838729819
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.547367120031232,3.506728586943251,0.07723171465856626,-6.570760009162737,8.314866983173529,6.033410113790763,0.13472610986265504,-38.580723871565645
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.46764297771615,3.4559266048928965,0.07600992433451588,-6.693534723332398,7.550890103852537,6.08634583846383,0.13445091964775835,-22.62896680491654
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.1903944445888355,3.212954396786897,0.07085562633206892,-5.709488126870543,4.857928197494878,3.697439691294787,0.08143490227041351,-9.155610620356432
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.302330254582255,3.3277555444966187,0.07359967412817892,-6.6035233525528785,8.487143141595345,6.555148995440937,0.14342131228105853,-23.644066134156724
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",5.132356325187184,3.941440271294638,0.08683052530620983,-8.90847600415284,7.546880171786079,5.917964603589926,0.1301758065234799,-25.7419420403574
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",5.2584985454497515,4.058084570843242,0.0892364269068934,-10.092617580299423,6.439039373248917,5.177004150722339,0.11372337650382393,-13.745243285647566
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.4659480836386924,3.3387722761734655,0.07344109289025244,-7.643820177283784,7.763878277618025,5.720391874727992,0.1273793592949099,-16.945623734827052
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.50272184683392,3.5606277196303657,0.07834204615964535,-6.40379489018906,8.17870021326505,6.527724017267641,0.14426952662862078,-36.11302234707159
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.680933914248213,3.621938746908435,0.07998518795951605,-7.570870525751735,5.331750253488498,3.9289984081102443,0.08572323853543355,-10.685405046088627
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.755285930131103,3.6789184964221433,0.0809925016812942,-7.956706887334427,7.096798911086562,5.80721755649732,0.12831041447693609,-17.72222574749433
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",4.779157179140506,3.6442169106524904,0.08031530516716902,-7.588556548028748,6.7603517491076195,5.17921899712604,0.11322767526595426,-20.31308294768137
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",11.5466141475481,9.704273435804582,0.21649948545528208,-44.13953172863402,19.063364496041352,17.054119491577158,0.38258800669861404,-192.00656261497534
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.713560446298093,7.069462193383115,0.1585939954546299,-30.044853576170528,21.224029982580834,18.931666374206554,0.4222318525635054,-416.82675929065476
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",22.02770520237924,19.858692963918042,0.4443179708302711,-324.8482800107472,32.42070664052165,30.6188024520874,0.6728309107274175,-1183.20813906306
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.5943643156135705,5.300549189249669,0.11431139266303487,-34.496031229964196,6.9350263139072235,5.939311981201161,0.1279427888198965,-59.81003137332831
Local Model,partner_i,Chemical + Mineralogical + CS1,"(230, 32)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",13.274413314601956,11.319399886661097,0.24068586890273563,-143.60271851369987,13.49031059282537,11.166793632507314,0.23846980849850063,-328.152638729663
