Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6277493609766591,1.2883154909401213,0.030156750564292376,0.7970617465797867,1.6268647780382408,1.3360953366247963,0.03140762183680651,0.7316720966703179
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5965993306289055,1.2722476968289553,0.029654349093826773,0.8013335676800137,1.7190920979510134,1.3835297874703791,0.032242060951325424,0.7296100681974969
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5310637145686004,1.227351317417027,0.028763757668294938,0.8048226224667656,1.8640751394289439,1.472188695392337,0.03406154175252286,0.7503391634870328
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5347598202035002,1.2220898591354932,0.0286267614070717,0.806666945424631,1.84786393917219,1.45085278683617,0.03362860051061394,0.7467815897190397
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5918924198280973,1.273069362617755,0.029615041460015628,0.7913086497168982,1.7196474737117164,1.338196776617141,0.031683318668849804,0.782665249226689
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5285650959641375,1.2036826561862104,0.02812450924281834,0.8110554273037522,1.8821205049209508,1.5629472929606507,0.037004873593923716,0.7179500759981183
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.554685046812686,1.2490985805121848,0.029356890589158136,0.8033161410012729,1.7474011480251141,1.3576847781502237,0.031850914425116485,0.7662780636513634
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5968532725052895,1.2820590257078337,0.029974019532097253,0.7952152859329099,1.6922062342200273,1.3071624553373076,0.03026541764697716,0.7682799855522624
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5679243394383686,1.258955455703102,0.029424929370092837,0.7992932985842771,1.83107854383731,1.4082036140078593,0.0323683990935362,0.7436937085504284
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5922515827670558,1.2640896369327712,0.0293448412742784,0.8028810233073275,1.7389565602159964,1.3542887122744602,0.03191333293497215,0.7154412442593152
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5127477423685105,1.2085185533464664,0.02823474531698488,0.8155922033308979,1.8070673639808887,1.443176683181835,0.03419225792327726,0.7406453852933745
Local Model,partner_ii,Chemical + Mineralogical + CS3,"(1053, 15)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5731866908211083,1.2438039535921146,0.02917590494619355,0.7943246423331255,1.8022853642478904,1.441736659190101,0.03326276410859477,0.7672468418752427
