Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.253302659831683,1.776621004281963,0.04239021495037595,0.6054755177682694,2.1356694605068127,1.685011482687836,0.03967250402794448,0.5848135793271492
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6088431610508134,1.2821955755823813,0.030110943978619607,0.7882357565065135,1.865812931221813,1.442701847361302,0.03448388419414108,0.7440210175446506
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6177581708287867,1.2735331817310114,0.030095735395890513,0.7890951142896547,1.7435083517802417,1.3791434395049258,0.032284377586574806,0.7585256627698959
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.621414551341247,1.283900027741473,0.03023256093915264,0.7965404054275754,1.7516127989688284,1.395363680800251,0.03300558232508291,0.7149069456813839
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.633627987354249,1.2931858251746964,0.03048860061922097,0.7786461954244054,1.7566111071312753,1.3804629777151776,0.03262378308764902,0.7837924237376028
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6305785481583162,1.2956175939210346,0.030469162689464143,0.7902503594089183,1.7528942607140268,1.3802491816538274,0.03283855586283377,0.7379969107084303
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6450922443108125,1.2903105805364756,0.030410131355270605,0.7779331530243776,1.6634841648028773,1.36008241592363,0.03226103907252481,0.7978060747358318
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2414222966492563,1.7672905228979094,0.04208588132351674,0.6068212423165886,2.3108549264395912,1.7994910675722422,0.04290656617816557,0.5292477368614692
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6245726462620291,1.2813934431248986,0.030373444403007276,0.7907318658073854,1.6943835366311346,1.3177753874573073,0.03019194909241778,0.7538657024518063
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6221133733572526,1.2895742085037036,0.030280536954163707,0.7846205115837839,1.722003691420989,1.4038970906205743,0.033253058636295706,0.7823710693805384
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6263474831031324,1.2920867864691148,0.030338565139736276,0.7896835063541787,1.7544305052251803,1.3501331222469217,0.03252898194203062,0.7457418648505668
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.592029846688337,1.2779014574504903,0.030165712492124887,0.8004669760094228,1.7708043776894622,1.3622450593709103,0.03169759735778679,0.7277866500756391
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.229615765671622,1.7413376774206322,0.04162566124470793,0.599511965793009,2.2249186874917752,1.7708968219872818,0.04171498625956967,0.6141339011506624
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6754165837013517,1.331617028424019,0.03138767845077386,0.7768995720474354,1.637224044011875,1.2781168804987788,0.030120320754670082,0.7796632811762272
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.615563174835102,1.2652726416485025,0.02979839585261875,0.7862107244077066,1.77611613364052,1.4591868586117867,0.034577113704445085,0.7685498403685538
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.7419182926466563,1.3998471997494657,0.03223564609263082,0.7652652934488303,2.1100619018354245,1.5885628467767277,0.037186994741734085,0.6085005607361919
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.8164894099776774,1.4522906762136665,0.033610359437043276,0.6370061101131368,2.183961903090183,1.8705258041377304,0.04149721171118834,0.48554046861189437
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2860274475141151,1.0114147047869535,0.023526707147734766,0.8337236231855151,1.6234960451612077,1.3382825529887468,0.028904342842686618,0.8155891827559473
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.6970506181607576,1.360764574647062,0.031504351800051345,0.6748195419368918,2.1995157495139797,1.6664516129032252,0.038582591078123424,0.4678490312090886
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.9516852432542338,1.5508599911172904,0.03936230592312764,0.5183946326028843,2.260137895172179,1.9400226333955723,0.04925853614831408,0.21307253783442204
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.8032296345570769,1.4318237153618518,0.03312326583443652,0.7476456809939565,2.1136563269604336,1.7120792748917708,0.038909205482656056,0.5204613596513655
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.9041227627612534,1.53592970196096,0.03550896165437642,0.6748450340253036,2.125685597836178,1.7246213276665914,0.03942533323866745,0.5610119866495855
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.9822325940887895,1.59916660094889,0.036941110904371945,0.6384283531081401,2.274014936812958,1.8325854601248215,0.040889713410812586,0.5731922937977937
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.8762995915415457,1.502239580407764,0.03474045514675719,0.6896226949903618,1.9996075905204833,1.595751926482526,0.037888568067307206,0.4446327688563897
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.55891409407715,1.235923496011882,0.02855607657794948,0.7731394449216128,2.9959765060547583,2.535900196479832,0.06639516692150384,-0.13601645072444613
Local Model,partner_ii,Chemical + Mineralogical + CS7 + One-Hot,"(1057, 16)",,Decision Tree,,,,,,Out of time Split,"{""Test Size"": 0.2}",1.5561970005750745,1.2373763487193608,0.02851435824525095,0.7724486020911229,2.848267399036851,2.3438318807768983,0.0611507239311795,-0.04570298925975114
