Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3538645532488167,1.8705531648105793,0.04320429065163051,0.5756230481167477,2.8243018445224917,1.8162293612222538,0.04245829348910828,0.19130428283596013
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.210887163176057,1.7544440956749996,0.04051867805489311,0.6190519426591035,2.4284526000710986,1.9464860426193165,0.0449604644491488,0.4604254088115417
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.250004075642662,1.7726710503005076,0.04110347311576771,0.5784883719096362,2.996673310101595,2.0998618566142437,0.04759693517617886,0.354788065317291
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2289748210894906,1.7739590721990148,0.04109970000776332,0.5922109159674009,2.541766115035144,1.9934053548177082,0.04599525643927107,0.5208996714800908
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.240188249776551,1.791650727657802,0.04137428221938474,0.5867184197377338,2.3982066801266946,1.848476929437546,0.04373296647569679,0.5773084771009958
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2069531134633866,1.7436419723039567,0.04011532834048099,0.6061301314385872,2.9904412447458313,2.105371893932469,0.04973902874690295,0.28796444138715593
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2305143872109103,1.7570076690093923,0.04064284661156305,0.5951501940305532,2.2808515637696636,1.8474664096922668,0.04278374907358166,0.6017935525248659
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2537741868623216,1.7935574387937714,0.04158871901629494,0.5920674955152649,2.431959218612068,1.902528732082855,0.043174291660759284,0.5214034743751098
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.253254989750854,1.7870932624065723,0.0415143679984905,0.5854925385128036,2.364440322375133,1.859178868611654,0.042611437540511374,0.5726319674574225
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.237673504233281,1.7869119441891057,0.04133340827348888,0.6106873671262151,2.965310719297684,2.0540041387648813,0.04800870483169046,0.17256306754905792
